23.Aichi.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008140     0.009798     0.008990
   1975        1   0.000994     0.001269     0.001136
   1975        2   0.000646     0.000969     0.000811
   1975        3   0.000553     0.000656     0.000606
   1975        4   0.000322     0.000729     0.000531
   1975        5   0.000356     0.000586     0.000474
   1975        6   0.000367     0.000605     0.000489
   1975        7   0.000251     0.000442     0.000349
   1975        8   0.000229     0.000433     0.000334
   1975        9   0.000096     0.000113     0.000104
   1975       10   0.000193     0.000165     0.000179
   1975       11   0.000069     0.000265     0.000169
   1975       12   0.000146     0.000301     0.000225
   1975       13   0.000280     0.000219     0.000248
   1975       14   0.000077     0.000375     0.000228
   1975       15   0.000174     0.000375     0.000275
   1975       16   0.000219     0.000664     0.000440
   1975       17   0.000455     0.000842     0.000648
   1975       18   0.000224     0.000708     0.000468
   1975       19   0.000402     0.001204     0.000809
   1975       20   0.000554     0.000758     0.000658
   1975       21   0.000474     0.001029     0.000758
   1975       22   0.000396     0.000800     0.000603
   1975       23   0.000595     0.000895     0.000748
   1975       24   0.000441     0.001033     0.000744
   1975       25   0.000543     0.000731     0.000639
   1975       26   0.000391     0.000738     0.000566
   1975       27   0.000409     0.001058     0.000738
   1975       28   0.000599     0.000785     0.000694
   1975       29   0.000556     0.000868     0.000716
   1975       30   0.000536     0.000965     0.000756
   1975       31   0.000627     0.001210     0.000925
   1975       32   0.000647     0.000989     0.000823
   1975       33   0.000815     0.001043     0.000932
   1975       34   0.000737     0.001127     0.000937
   1975       35   0.000977     0.001341     0.001164
   1975       36   0.000961     0.001310     0.001142
   1975       37   0.001295     0.001816     0.001565
   1975       38   0.000938     0.001641     0.001303
   1975       39   0.001052     0.002177     0.001635
   1975       40   0.001405     0.002401     0.001919
   1975       41   0.001649     0.002073     0.001867
   1975       42   0.001199     0.002412     0.001826
   1975       43   0.001640     0.002939     0.002311
   1975       44   0.001909     0.003001     0.002471
   1975       45   0.002212     0.002986     0.002610
   1975       46   0.001727     0.003891     0.002836
   1975       47   0.002542     0.004711     0.003652
   1975       48   0.002507     0.004740     0.003644
   1975       49   0.002851     0.004865     0.003859
   1975       50   0.003086     0.005175     0.004105
   1975       51   0.004033     0.004769     0.004375
   1975       52   0.004543     0.005843     0.005117
   1975       53   0.004667     0.006483     0.005445
   1975       54   0.003924     0.007040     0.005248
   1975       55   0.004676     0.007963     0.006101
   1975       56   0.006092     0.008367     0.007098
   1975       57   0.005515     0.009937     0.007489
   1975       58   0.007768     0.010028     0.008790
   1975       59   0.007376     0.011219     0.009135
   1975       60   0.007221     0.012756     0.009762
   1975       61   0.009637     0.015430     0.012278
   1975       62   0.010827     0.015737     0.013056
   1975       63   0.010652     0.018055     0.014006
   1975       64   0.013119     0.020365     0.016443
   1975       65   0.012966     0.021049     0.016734
   1975       66   0.014824     0.023107     0.018689
   1975       67   0.017442     0.029603     0.023062
   1975       68   0.020890     0.035804     0.027902
   1975       69   0.020794     0.037200     0.028511
   1975       70   0.027864     0.039992     0.033450
   1975       71   0.029495     0.046225     0.037219
   1975       72   0.030988     0.052034     0.040612
   1975       73   0.038372     0.054788     0.045802
   1975       74   0.044905     0.065174     0.053938
   1975       75   0.046923     0.066962     0.055799
   1975       76   0.052288     0.082239     0.065569
   1975       77   0.061497     0.087651     0.072826
   1975       78   0.064404     0.097155     0.078297
   1975       79   0.082172     0.121795     0.098567
   1975       80   0.095661     0.120581     0.105903
   1975       81   0.102667     0.133475     0.115157
   1975       82   0.117623     0.143823     0.127752
   1975       83   0.135719     0.169184     0.148301
   1975       84   0.150456     0.177026     0.160264
   1975       85   0.153991     0.189579     0.166578
   1975       86   0.170003     0.225603     0.188677
   1975       87   0.186466     0.258296     0.209288
   1975       88   0.204245     0.281203     0.228262
   1975       89   0.234186     0.291673     0.251457
   1975       90   0.265761     0.303779     0.276714
   1975       91   0.265687     0.351414     0.288706
   1975       92   0.300367     0.353930     0.313901
   1975       93   0.325033     0.488242     0.363529
   1975       94   0.457260     0.353162     0.435365
   1975       95   0.441555     0.503805     0.453512
   1975       96   0.390742     0.588235     0.430931
   1975       97   0.355605     0.432339     0.372116
   1975       98   0.478264     0.174469     0.425360
   1975       99   0.717391     0.545455     0.684211
   1975      100   0.888889     0.000000     0.571429
   1975      101   0.260870     1.333333     0.562500
   1975      102   2.000000            .     2.000000
   1975      103   4.000000     3.000000     3.600000
   1975      104          .     3.000000     3.000000
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.007277     0.009444     0.008389
   1976        1   0.001280     0.001028     0.001150
   1976        2   0.000706     0.000964     0.000838
   1976        3   0.000358     0.000827     0.000598
   1976        4   0.000295     0.000527     0.000414
   1976        5   0.000341     0.000510     0.000428
   1976        6   0.000244     0.000285     0.000265
   1976        7   0.000310     0.000643     0.000481
   1976        8   0.000155     0.000295     0.000227
   1976        9   0.000092     0.000304     0.000201
   1976       10   0.000144     0.000226     0.000186
   1976       11   0.000107     0.000247     0.000179
   1976       12   0.000206     0.000221     0.000214
   1976       13   0.000169     0.000393     0.000283
   1976       14   0.000200     0.000191     0.000195
   1976       15   0.000050     0.000268     0.000160
   1976       16   0.000195     0.000540     0.000367
   1976       17   0.000336     0.000774     0.000555
   1976       18   0.000358     0.000906     0.000633
   1976       19   0.000410     0.000979     0.000698
   1976       20   0.000491     0.000890     0.000694
   1976       21   0.000411     0.000725     0.000572
   1976       22   0.000305     0.000870     0.000594
   1976       23   0.000562     0.000822     0.000695
   1976       24   0.000475     0.000763     0.000622
   1976       25   0.000404     0.000819     0.000616
   1976       26   0.000557     0.000850     0.000706
   1976       27   0.000640     0.000797     0.000719
   1976       28   0.000530     0.000837     0.000685
   1976       29   0.000529     0.000770     0.000652
   1976       30   0.000469     0.000692     0.000583
   1976       31   0.000679     0.000834     0.000758
   1976       32   0.000663     0.000929     0.000799
   1976       33   0.000833     0.000955     0.000896
   1976       34   0.000669     0.001151     0.000917
   1976       35   0.000856     0.001308     0.001088
   1976       36   0.000741     0.001543     0.001154
   1976       37   0.000964     0.001411     0.001195
   1976       38   0.000976     0.001853     0.001430
   1976       39   0.001275     0.001585     0.001435
   1976       40   0.001308     0.002222     0.001781
   1976       41   0.001336     0.002518     0.001946
   1976       42   0.001357     0.002588     0.001991
   1976       43   0.001522     0.002928     0.002248
   1976       44   0.001646     0.003018     0.002353
   1976       45   0.002311     0.003635     0.002992
   1976       46   0.002445     0.003621     0.003050
   1976       47   0.002939     0.004132     0.003550
   1976       48   0.003001     0.004098     0.003562
   1976       49   0.002888     0.004471     0.003693
   1976       50   0.003269     0.004255     0.003762
   1976       51   0.003988     0.005193     0.004575
   1976       52   0.004022     0.005594     0.004752
   1976       53   0.004352     0.006405     0.005256
   1976       54   0.005001     0.008492     0.006494
   1976       55   0.004998     0.007115     0.005895
   1976       56   0.005645     0.009739     0.007416
   1976       57   0.005762     0.009412     0.007373
   1976       58   0.005671     0.010016     0.007606
   1976       59   0.007515     0.011568     0.009343
   1976       60   0.008434     0.012093     0.010103
   1976       61   0.009193     0.012767     0.010829
   1976       62   0.009913     0.015945     0.012654
   1976       63   0.009799     0.017489     0.013280
   1976       64   0.011919     0.020777     0.015914
   1976       65   0.013376     0.021199     0.016946
   1976       66   0.013460     0.024831     0.018734
   1976       67   0.016880     0.026845     0.021499
   1976       68   0.018895     0.033254     0.025481
   1976       69   0.020199     0.036480     0.027791
   1976       70   0.024314     0.034728     0.029170
   1976       71   0.027140     0.045723     0.035628
   1976       72   0.030295     0.051293     0.039893
   1976       73   0.037779     0.054023     0.045126
   1976       74   0.041934     0.064000     0.051824
   1976       75   0.042816     0.073108     0.056138
   1976       76   0.053916     0.079633     0.065163
