05.Akita.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.010223     0.012988     0.011637
   1975        1   0.001711     0.001202     0.001451
   1975        2   0.000457     0.001215     0.000843
   1975        3   0.001160     0.001009     0.001083
   1975        4   0.000467     0.000559     0.000514
   1975        5   0.000233     0.000447     0.000342
   1975        6   0.000229     0.000445     0.000339
   1975        7   0.000109     0.000317     0.000214
   1975        8   0.000372     0.000469     0.000422
   1975        9   0.000126     0.000117     0.000121
   1975       10   0.000106     0.000606     0.000362
   1975       11   0.000209     0.000704     0.000461
   1975       12   0.000207     0.000595     0.000405
   1975       13   0.000203     0.000390     0.000298
   1975       14   0.000196     0.000094     0.000144
   1975       15   0.000193     0.000275     0.000235
   1975       16   0.000191     0.001010     0.000608
   1975       17   0.000306     0.000707     0.000508
   1975       18   0.000368     0.001002     0.000682
   1975       19   0.000812     0.001143     0.000972
   1975       20   0.001019     0.000993     0.001007
   1975       21   0.000474     0.001215     0.000821
   1975       22   0.000874     0.001877     0.001342
   1975       23   0.000620     0.001842     0.001199
   1975       24   0.000686     0.001037     0.000857
   1975       25   0.000717     0.001682     0.001192
   1975       26   0.000806     0.000553     0.000681
   1975       27   0.000278     0.000844     0.000560
   1975       28   0.000768     0.001111     0.000939
   1975       29   0.000288     0.001338     0.000806
   1975       30   0.000951     0.001872     0.001403
   1975       31   0.000588     0.001010     0.000793
   1975       32   0.000451     0.002188     0.001290
   1975       33   0.001217     0.002044     0.001615
   1975       34   0.000771     0.001235     0.000992
   1975       35   0.001268     0.001979     0.001603
   1975       36   0.000795     0.001818     0.001276
   1975       37   0.001323     0.001622     0.001463
   1975       38   0.001152     0.002291     0.001689
   1975       39   0.001709     0.002972     0.002310
   1975       40   0.000766     0.002869     0.001774
   1975       41   0.001732     0.003606     0.002632
   1975       42   0.002613     0.004700     0.003616
   1975       43   0.001675     0.003979     0.002781
   1975       44   0.001493     0.003086     0.002256
   1975       45   0.001714     0.003295     0.002469
   1975       46   0.001156     0.005793     0.003381
   1975       47   0.002711     0.004810     0.003727
   1975       48   0.002619     0.005688     0.004100
   1975       49   0.002341     0.004423     0.003331
   1975       50   0.003522     0.006492     0.004913
   1975       51   0.003465     0.005463     0.004372
   1975       52   0.004836     0.008939     0.006611
   1975       53   0.004593     0.007951     0.006022
   1975       54   0.004342     0.007405     0.005663
   1975       55   0.005027     0.010823     0.007583
   1975       56   0.004575     0.010723     0.007343
   1975       57   0.006141     0.011722     0.008693
   1975       58   0.007098     0.010746     0.008773
   1975       59   0.005168     0.016800     0.010500
   1975       60   0.008920     0.016049     0.012192
   1975       61   0.007720     0.015459     0.011237
   1975       62   0.009457     0.022671     0.015392
   1975       63   0.011108     0.022612     0.016300
   1975       64   0.015355     0.024688     0.019591
   1975       65   0.012990     0.028643     0.020080
   1975       66   0.016627     0.038639     0.026628
   1975       67   0.024173     0.036532     0.029759
   1975       68   0.017125     0.040068     0.027512
   1975       69   0.024951     0.045773     0.034209
   1975       70   0.029169     0.048764     0.037706
   1975       71   0.033140     0.057764     0.043855
   1975       72   0.036297     0.061925     0.047284
   1975       73   0.042803     0.064841     0.052165
   1975       74   0.041432     0.064690     0.051160
   1975       75   0.058052     0.070017     0.062942
   1975       76   0.054468     0.064570     0.058532
   1975       77   0.057432     0.086513     0.069146
   1975       78   0.067949     0.096064     0.078957
   1975       79   0.080730     0.115399     0.093662
   1975       80   0.109910     0.147932     0.124017
   1975       81   0.120766     0.140156     0.127845
   1975       82   0.121051     0.201953     0.148457
   1975       83   0.148202     0.138863     0.144901
   1975       84   0.174703     0.200006     0.183574
   1975       85   0.156738     0.213537     0.174937
   1975       86   0.169433     0.134084     0.158373
   1975       87   0.200669     0.243579     0.213917
   1975       88   0.190343     0.277977     0.213401
   1975       89   0.229900     0.284521     0.243626
   1975       90   0.314936     0.384612     0.332151
   1975       91   0.267395     0.381466     0.294518
   1975       92   0.269353     0.605069     0.341898
   1975       93   0.309091     0.562500     0.350254
   1975       94   0.272727     0.561973     0.317262
   1975       95   0.322477     0.781589     0.413579
   1975       96   0.418459     0.000000     0.336354
   1975       97   0.461538     0.000000     0.400000
   1975       98   0.666667            .     0.666667
   1975       99   2.400000     0.000000     1.500000
   1975      100   0.750000     6.000000     1.333333
   1975      101   0.000000            .     0.000000
   1975      102   0.000000            .     0.000000
   1975      103          .            .            .
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.009582     0.010556     0.010084
   1976        1   0.000927     0.001550     0.001245
   1976        2   0.000682     0.000762     0.000723
   1976        3   0.000456     0.000661     0.000560
   1976        4   0.000000     0.000782     0.000398
   1976        5   0.000000     0.000558     0.000285
   1976        6   0.000349     0.000335     0.000342
   1976        7   0.000114     0.000333     0.000226
   1976        8   0.000109     0.000316     0.000214
   1976        9   0.000248     0.000000     0.000120
   1976       10   0.000251     0.000350     0.000302
   1976       11   0.000000     0.000607     0.000311
   1976       12   0.000000     0.000101     0.000051
   1976       13   0.000000     0.000299     0.000153
   1976       14   0.000104     0.000100     0.000102
   1976       15   0.000000     0.000395     0.000201
   1976       16   0.000101     0.000583     0.000347
   1976       17   0.000099     0.001257     0.000686
   1976       18   0.000527     0.001270     0.000899
   1976       19   0.000374     0.001279     0.000820
   1976       20   0.001054     0.001557     0.001297
   1976       21   0.000625     0.001381     0.000984
   1976       22   0.000820     0.002231     0.001484
   1976       23   0.000325     0.001831     0.001033
   1976       24   0.000103     0.001470     0.000754
   1976       25   0.000488     0.001038     0.000757
   1976       26   0.000806     0.000921     0.000863
   1976       27   0.000359     0.000731     0.000543
   1976       28   0.000929     0.001030     0.000979
   1976       29   0.000875     0.001766     0.001320
   1976       30   0.000864     0.001956     0.001403
   1976       31   0.000271     0.002135     0.001185
   1976       32   0.000703     0.001639     0.001157
   1976       33   0.001236     0.001214     0.001225
   1976       34   0.000552     0.003243     0.001849
   1976       35   0.001218     0.001970     0.001576
   1976       36   0.001262     0.002225     0.001716
   1976       37   0.001251     0.001829     0.001523
   1976       38   0.000709     0.002301     0.001458
   1976       39   0.001247     0.002299     0.001743
   1976       40   0.001236     0.003108     0.002125
   1976       41   0.001150     0.003090     0.002079
   1976       42   0.001449     0.003602     0.002481
   1976       43   0.002334     0.005247     0.003733
   1976       44   0.002054     0.004642     0.003294
   1976       45   0.001397     0.004566     0.002911
   1976       46   0.002673     0.005294     0.003923
   1976       47   0.001927     0.005511     0.003643
   1976       48   0.002817     0.006106     0.004405
   1976       49   0.002728     0.005621     0.004121
   1976       50   0.003165     0.003987     0.003556
   1976       51   0.003101     0.005399     0.004177
   1976       52   0.004412     0.007743     0.005923
   1976       53   0.004624     0.008540     0.006316
   1976       54   0.004497     0.008713     0.006286
   1976       55   0.005105     0.009995     0.007208
   1976       56   0.004934     0.009373     0.006887
   1976       57   0.005784     0.012077     0.008611
   1976       58   0.006940     0.013125     0.009759
   1976       59   0.005332     0.013037     0.008861
   1976       60   0.006894     0.018527     0.012208
   1976       61   0.007698     0.015153     0.011105
   1976       62   0.011104     0.015919     0.013283
   1976       63   0.008723     0.019749     0.013656
   1976       64   0.011578     0.025838     0.017975
   1976       65   0.013962     0.025706     0.019255
   1976       66   0.017606     0.028654     0.022570
   1976       67   0.018907     0.037352     0.027224
   1976       68   0.021313     0.036337     0.028038
   1976       69   0.021520     0.038793     0.029262
   1976       70   0.026570     0.041055     0.032936
   1976       71   0.030024     0.053511     0.040143
   1976       72   0.034822     0.056412     0.044108
   1976       73   0.040936     0.072750     0.054361
   1976       74   0.041344     0.075188     0.055477
   1976       75   0.045297     0.067726     0.054523
   1976       76   0.060193     0.086130     0.070675
   1976       77   0.059055     0.097739     0.074416
   1976       78   0.077804     0.112992     0.091701
   1976       79   0.076038     0.117450     0.091914
   1976       80   0.109415     0.114324     0.111190
   1976       81   0.122135     0.105335     0.115920
   1976       82   0.129097     0.122269     0.126666
   1976       83   0.143522     0.185287     0.157447
   1976       84   0.147880     0.188692     0.162100
   1976       85   0.188265     0.212834     0.196752
   1976       86   0.209623     0.197572     0.205759
   1976       87   0.193997     0.210080     0.199032
   1976       88   0.178677     0.303346     0.215020
   1976       89   0.280091     0.191277     0.257843
   1976       90   0.289235     0.194925     0.265179
   1976       91   0.300096     0.191489     0.272800
   1976       92   0.258621     0.375000     0.283784
   1976       93   0.180822     0.545455     0.244344
   1976       94   0.337349     0.461538     0.354167
   1976       95   0.578947     0.000000     0.511509
   1976       96   0.264589     0.352319     0.282154
   1976       97   0.587889     0.000000     0.434594
   1976       98   1.043478     0.000000     0.827586
   1976       99   0.000000            .     0.000000
   1976      100   0.000000            .     0.000000
   1976      101   1.500000            .     1.500000
   1976      102   1.500000            .     1.500000
