02.Aomori.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.010751     0.013334     0.012069
   1975        1   0.001942     0.002045     0.001994
   1975        2   0.000401     0.001397     0.000908
   1975        3   0.000805     0.001472     0.001145
   1975        4   0.000320     0.000614     0.000470
   1975        5   0.000563     0.000998     0.000786
   1975        6   0.000320     0.000380     0.000351
   1975        7   0.000153     0.000440     0.000299
   1975        8   0.000260     0.000248     0.000254
   1975        9   0.000438     0.000083     0.000256
   1975       10   0.000077     0.000516     0.000301
   1975       11   0.000237     0.000151     0.000193
   1975       12   0.000159     0.000302     0.000233
   1975       13   0.000314     0.000225     0.000268
   1975       14   0.000464     0.000149     0.000304
   1975       15   0.000000     0.000445     0.000227
   1975       16   0.000077     0.000450     0.000266
   1975       17   0.000413     0.001499     0.000955
   1975       18   0.000377     0.001810     0.001071
   1975       19   0.000488     0.002199     0.001291
   1975       20   0.000284     0.001932     0.001057
   1975       21   0.000990     0.001922     0.001429
   1975       22   0.000600     0.001891     0.001214
   1975       23   0.000411     0.001255     0.000815
   1975       24   0.000461     0.001336     0.000880
   1975       25   0.000779     0.000992     0.000883
   1975       26   0.000421     0.001895     0.001146
   1975       27   0.000434     0.001470     0.000949
   1975       28   0.000508     0.001230     0.000863
   1975       29   0.000545     0.000929     0.000731
   1975       30   0.000417     0.001587     0.000983
   1975       31   0.000640     0.001876     0.001236
   1975       32   0.000970     0.001652     0.001296
   1975       33   0.001136     0.001663     0.001386
   1975       34   0.001417     0.002104     0.001742
   1975       35   0.000773     0.002162     0.001434
   1975       36   0.001243     0.001810     0.001513
   1975       37   0.001436     0.002087     0.001745
   1975       38   0.001495     0.002299     0.001879
   1975       39   0.001091     0.003949     0.002467
   1975       40   0.000999     0.002671     0.001803
   1975       41   0.001440     0.003500     0.002435
   1975       42   0.001180     0.006003     0.003514
   1975       43   0.001548     0.004188     0.002823
   1975       44   0.001970     0.004337     0.003119
   1975       45   0.001420     0.005156     0.003245
   1975       46   0.001996     0.006149     0.004021
   1975       47   0.001910     0.005213     0.003516
   1975       48   0.002633     0.004767     0.003671
   1975       49   0.004343     0.005861     0.005073
   1975       50   0.002917     0.007072     0.004881
   1975       51   0.004054     0.007363     0.005567
   1975       52   0.003679     0.006819     0.005054
   1975       53   0.004220     0.007061     0.005433
   1975       54   0.003809     0.007882     0.005537
   1975       55   0.005447     0.012444     0.008496
   1975       56   0.005164     0.011170     0.007823
   1975       57   0.005416     0.013785     0.009080
   1975       58   0.004787     0.012892     0.008376
   1975       59   0.007452     0.014075     0.010459
   1975       60   0.007029     0.014412     0.010415
   1975       61   0.011504     0.019224     0.015036
   1975       62   0.010744     0.020680     0.015295
   1975       63   0.008379     0.023804     0.015461
   1975       64   0.012407     0.027069     0.019063
   1975       65   0.013309     0.032067     0.021802
   1975       66   0.016900     0.029968     0.022896
   1975       67   0.015228     0.032913     0.023267
   1975       68   0.019708     0.039568     0.028702
   1975       69   0.028751     0.039756     0.033676
   1975       70   0.021883     0.049532     0.034039
   1975       71   0.026592     0.056361     0.039531
   1975       72   0.033485     0.066388     0.047646
   1975       73   0.039189     0.068708     0.051779
   1975       74   0.047655     0.072998     0.058093
   1975       75   0.052981     0.077959     0.063019
   1975       76   0.053364     0.084522     0.065940
   1975       77   0.063867     0.076183     0.068854
   1975       78   0.069242     0.095843     0.079733
   1975       79   0.069869     0.131580     0.093259
   1975       80   0.094369     0.124612     0.105704
   1975       81   0.103429     0.155134     0.122433
   1975       82   0.108786     0.144593     0.120983
   1975       83   0.116662     0.141496     0.124946
   1975       84   0.136835     0.170961     0.148500
   1975       85   0.158991     0.157422     0.158505
   1975       86   0.179718     0.200125     0.185153
   1975       87   0.162141     0.197867     0.172176
   1975       88   0.200008     0.273205     0.221485
   1975       89   0.204229     0.219159     0.208409
   1975       90   0.278464     0.279019     0.278626
   1975       91   0.266015     0.498548     0.325741
   1975       92   0.257090     0.421680     0.296848
   1975       93   0.272000     0.226351     0.261938
   1975       94   0.194332     0.452318     0.239952
   1975       95   0.298137     0.187324     0.279749
   1975       96   0.453782     0.214286     0.408163
   1975       97   0.428342     1.142857     0.623134
   1975       98   0.428113     0.000000     0.386723
   1975       99   0.363636            .     0.363636
   1975      100   0.857143            .     0.857143
   1975      101   1.200000            .     1.200000
   1975      102          .            .            .
   1975      103          .            .            .
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.010701     0.014153     0.012472
   1976        1   0.001267     0.002274     0.001780
   1976        2   0.000968     0.001647     0.001313
   1976        3   0.000320     0.001315     0.000826
   1976        4   0.000562     0.000540     0.000551
   1976        5   0.000239     0.000460     0.000352
   1976        6   0.000241     0.000843     0.000549
   1976        7   0.000320     0.000379     0.000350
   1976        8   0.000229     0.000586     0.000411
   1976        9   0.000173     0.000496     0.000338
   1976       10   0.000263     0.000167     0.000213
   1976       11   0.000231     0.000443     0.000339
   1976       12   0.000079     0.000302     0.000193
   1976       13   0.000160     0.000228     0.000195
   1976       14   0.000000     0.000153     0.000078
   1976       15   0.000239     0.000465     0.000354
   1976       16   0.000159     0.000543     0.000354
   1976       17   0.000473     0.000858     0.000667
   1976       18   0.000339     0.001035     0.000684
   1976       19   0.000480     0.001636     0.001038
   1976       20   0.000385     0.001528     0.000922
   1976       21   0.000469     0.001687     0.001042
   1976       22   0.001074     0.001687     0.001364
   1976       23   0.000255     0.001206     0.000710
   1976       24   0.000815     0.001324     0.001060
   1976       25   0.000917     0.001420     0.001159
   1976       26   0.000775     0.001273     0.001017
   1976       27   0.000561     0.001736     0.001140
   1976       28   0.000218     0.002061     0.001135
   1976       29   0.000591     0.001578     0.001078
   1976       30   0.000762     0.000943     0.000850
   1976       31   0.001037     0.001563     0.001292
   1976       32   0.001000     0.001778     0.001376
