12.Chiba.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008678     0.010449     0.009589
   1975        1   0.001096     0.001197     0.001148
   1975        2   0.000703     0.000774     0.000740
   1975        3   0.000378     0.000757     0.000573
   1975        4   0.000339     0.000757     0.000554
   1975        5   0.000328     0.000503     0.000418
   1975        6   0.000420     0.000520     0.000471
   1975        7   0.000157     0.000323     0.000243
   1975        8   0.000216     0.000322     0.000271
   1975        9   0.000296     0.000312     0.000304
   1975       10   0.000151     0.000144     0.000147
   1975       11   0.000261     0.000373     0.000318
   1975       12   0.000315     0.000531     0.000426
   1975       13   0.000111     0.000421     0.000271
   1975       14   0.000152     0.000182     0.000167
   1975       15   0.000194     0.000519     0.000360
   1975       16   0.000237     0.001324     0.000793
   1975       17   0.000491     0.000946     0.000728
   1975       18   0.000282     0.000553     0.000428
   1975       19   0.000265     0.000966     0.000649
   1975       20   0.000258     0.001160     0.000752
   1975       21   0.000358     0.001180     0.000804
   1975       22   0.000532     0.001012     0.000789
   1975       23   0.000484     0.000979     0.000745
   1975       24   0.000679     0.000913     0.000800
   1975       25   0.000538     0.000784     0.000663
   1975       26   0.000448     0.000730     0.000589
   1975       27   0.000392     0.000979     0.000685
   1975       28   0.000662     0.001103     0.000882
   1975       29   0.000570     0.001115     0.000842
   1975       30   0.000636     0.000708     0.000672
   1975       31   0.000649     0.001114     0.000882
   1975       32   0.000528     0.000947     0.000740
   1975       33   0.000779     0.001250     0.001019
   1975       34   0.000808     0.001329     0.001077
   1975       35   0.000886     0.001595     0.001254
   1975       36   0.001214     0.001387     0.001304
   1975       37   0.001211     0.001606     0.001418
   1975       38   0.001139     0.001492     0.001326
   1975       39   0.000954     0.002343     0.001691
   1975       40   0.000908     0.002748     0.001886
   1975       41   0.001391     0.002517     0.001990
   1975       42   0.001620     0.003323     0.002526
   1975       43   0.001648     0.003460     0.002611
   1975       44   0.001235     0.003639     0.002504
   1975       45   0.002068     0.003677     0.002912
   1975       46   0.002829     0.004063     0.003473
   1975       47   0.002477     0.004043     0.003289
   1975       48   0.003058     0.004677     0.003889
   1975       49   0.003651     0.005042     0.004350
   1975       50   0.003282     0.005494     0.004365
   1975       51   0.003141     0.005842     0.004409
   1975       52   0.003882     0.005797     0.004751
   1975       53   0.004502     0.006627     0.005455
   1975       54   0.003867     0.006393     0.004990
   1975       55   0.005184     0.009424     0.007094
   1975       56   0.005528     0.008720     0.006978
   1975       57   0.006650     0.009671     0.008018
   1975       58   0.005934     0.011296     0.008364
   1975       59   0.005936     0.012657     0.008991
   1975       60   0.007431     0.013516     0.010203
   1975       61   0.006954     0.014878     0.010550
