38.Ehime.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008772     0.012163     0.010507
   1975        1   0.001246     0.001753     0.001505
   1975        2   0.001505     0.001269     0.001384
   1975        3   0.000850     0.001132     0.000995
   1975        4   0.000260     0.001248     0.000765
   1975        5   0.000445     0.000170     0.000304
   1975        6   0.000179     0.000339     0.000261
   1975        7   0.000436     0.000577     0.000509
   1975        8   0.000203     0.000480     0.000345
   1975        9   0.000000     0.000194     0.000099
   1975       10   0.000346     0.000588     0.000469
   1975       11   0.000538     0.000521     0.000530
   1975       12   0.000182     0.000443     0.000314
   1975       13   0.000277     0.000444     0.000362
   1975       14   0.000274     0.000262     0.000268
   1975       15   0.000089     0.000340     0.000217
   1975       16   0.000259     0.000917     0.000594
   1975       17   0.000374     0.000847     0.000610
   1975       18   0.000868     0.001684     0.001256
   1975       19   0.000341     0.001779     0.000990
   1975       20   0.000869     0.000830     0.000852
   1975       21   0.000801     0.001275     0.001010
   1975       22   0.001344     0.001788     0.001542
   1975       23   0.000329     0.001802     0.000995
   1975       24   0.000705     0.000992     0.000838
   1975       25   0.001427     0.001358     0.001394
   1975       26   0.000685     0.001107     0.000888
   1975       27   0.000852     0.001701     0.001269
   1975       28   0.001190     0.001592     0.001388
   1975       29   0.000869     0.001592     0.001223
   1975       30   0.001332     0.001548     0.001437
   1975       31   0.000471     0.002338     0.001373
   1975       32   0.001040     0.001529     0.001277
   1975       33   0.000898     0.002138     0.001497
   1975       34   0.001508     0.002058     0.001772
   1975       35   0.000776     0.001651     0.001190
   1975       36   0.001239     0.001852     0.001530
   1975       37   0.001245     0.002329     0.001763
   1975       38   0.001720     0.002623     0.002150
   1975       39   0.002271     0.002431     0.002347
   1975       40   0.001534     0.003259     0.002353
   1975       41   0.001991     0.003217     0.002577
   1975       42   0.000961     0.003802     0.002330
   1975       43   0.002612     0.002998     0.002799
   1975       44   0.002132     0.005357     0.003698
   1975       45   0.002303     0.003877     0.003063
   1975       46   0.002551     0.005552     0.003994
   1975       47   0.002868     0.004674     0.003729
   1975       48   0.002753     0.005581     0.004092
   1975       49   0.003457     0.006062     0.004682
   1975       50   0.002860     0.004932     0.003823
   1975       51   0.003960     0.005043     0.004452
   1975       52   0.004576     0.006771     0.005544
   1975       53   0.004076     0.009517     0.006429
   1975       54   0.003748     0.008208     0.005669
   1975       55   0.004839     0.010172     0.007154
   1975       56   0.005476     0.012894     0.008713
   1975       57   0.007835     0.010646     0.009064
   1975       58   0.005148     0.014045     0.009062
   1975       59   0.009498     0.014769     0.011828
   1975       60   0.009610     0.014459     0.011749
   1975       61   0.008622     0.015714     0.011757
   1975       62   0.008170     0.018951     0.012959
   1975       63   0.011453     0.019637     0.015066
   1975       64   0.010251     0.018186     0.013760
   1975       65   0.012133     0.021939     0.016536
   1975       66   0.013842     0.024740     0.018779
   1975       67   0.013987     0.034041     0.022985
   1975       68   0.017456     0.035046     0.025485
   1975       69   0.017127     0.033821     0.024786
   1975       70   0.026095     0.038610     0.031759
   1975       71   0.023221     0.043963     0.032692
   1975       72   0.029816     0.041444     0.035036
   1975       73   0.036434     0.052729     0.043690
   1975       74   0.039490     0.062903     0.049933
   1975       75   0.041355     0.065864     0.052272
   1975       76   0.039362     0.067112     0.051581
   1975       77   0.055667     0.083044     0.067380
   1975       78   0.064736     0.084413     0.073181
   1975       79   0.065962     0.104729     0.082622
   1975       80   0.081042     0.097554     0.087993
   1975       81   0.078293     0.108171     0.090612
   1975       82   0.101809     0.141836     0.117677
   1975       83   0.113857     0.151244     0.128427
   1975       84   0.141444     0.160788     0.149319
   1975       85   0.124278     0.138078     0.129595
   1975       86   0.140801     0.169904     0.151497
   1975       87   0.152616     0.234078     0.181338
   1975       88   0.176711     0.232121     0.194656
   1975       89   0.213202     0.298524     0.240244
   1975       90   0.243487     0.246702     0.244449
   1975       91   0.256674     0.291494     0.266334
   1975       92   0.272131     0.371212     0.297435
   1975       93   0.195319     0.357541     0.233273
   1975       94   0.351494     0.258567     0.328342
   1975       95   0.651621     0.252692     0.533708
   1975       96   0.331898     0.723527     0.428622
   1975       97   0.502456     0.817280     0.572643
   1975       98   0.386598     0.000000     0.277971
   1975       99   0.870968     0.000000     0.675000
   1975      100   0.324324     6.000000     0.473684
   1975      101   0.947368     0.000000     0.720000
   1975      102   0.545455     4.500000     1.600000
   1975      103   0.000000            .     0.000000
   1975      104   0.000000            .     0.000000
   1975      105   0.000000            .     0.000000
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.007445     0.009316     0.008403
   1976        1   0.002316     0.001641     0.001971
   1976        2   0.000994     0.001828     0.001420
   1976        3   0.000667     0.000790     0.000730
   1976        4   0.000424     0.000969     0.000703
   1976        5   0.000346     0.000746     0.000550
   1976        6   0.000178     0.000339     0.000260
   1976        7   0.000537     0.000677     0.000609
   1976        8   0.000436     0.000247     0.000339
   1976        9   0.000203     0.000383     0.000295
   1976       10   0.000202     0.000194     0.000197
   1976       11   0.000173     0.000588     0.000384
   1976       12   0.000000     0.000173     0.000088
   1976       13   0.000183     0.000356     0.000271
   1976       14   0.000282     0.000274     0.000278
   1976       15   0.000189     0.000459     0.000326
   1976       16   0.000366     0.000720     0.000545
   1976       17   0.000355     0.000880     0.000619
   1976       18   0.000191     0.000792     0.000487
   1976       19   0.000219     0.001836     0.000980
   1976       20   0.000773     0.000808     0.000789
