18.Fukui.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008485     0.012738     0.010645
   1975        1   0.002152     0.002224     0.002188
   1975        2   0.000461     0.001020     0.000748
   1975        3   0.000475     0.000900     0.000693
   1975        4   0.001154     0.000781     0.000962
   1975        5   0.000172     0.000323     0.000250
   1975        6   0.000517     0.000163     0.000335
   1975        7   0.000000     0.000157     0.000080
   1975        8   0.000382     0.000370     0.000376
   1975        9   0.000000     0.000189     0.000097
   1975       10   0.000336     0.000650     0.000496
   1975       11   0.000171     0.000331     0.000252
   1975       12   0.000352     0.000000     0.000171
   1975       13   0.000178     0.000669     0.000431
   1975       14   0.000000     0.000332     0.000170
   1975       15   0.000168     0.000327     0.000249
   1975       16   0.000000     0.001457     0.000733
   1975       17   0.000000     0.001071     0.000541
   1975       18   0.000000     0.000216     0.000107
   1975       19   0.001096     0.001876     0.001472
   1975       20   0.000416     0.001878     0.001104
   1975       21   0.000195     0.000687     0.000421
   1975       22   0.000529     0.001241     0.000858
   1975       23   0.000988     0.001105     0.001043
   1975       24   0.000308     0.001157     0.000717
   1975       25   0.000556     0.000727     0.000639
   1975       26   0.000260     0.001592     0.000921
   1975       27   0.000402     0.000666     0.000534
   1975       28   0.000692     0.001378     0.001037
   1975       29   0.000239     0.000960     0.000599
   1975       30   0.000634     0.000440     0.000537
   1975       31   0.000881     0.000541     0.000713
   1975       32   0.001355     0.002078     0.001715
   1975       33   0.000515     0.001051     0.000782
   1975       34   0.001250     0.001672     0.001459
   1975       35   0.001016     0.001710     0.001358
   1975       36   0.000649     0.001135     0.000888
   1975       37   0.000577     0.001651     0.001098
   1975       38   0.001212     0.002084     0.001632
   1975       39   0.001026     0.002253     0.001615
   1975       40   0.001232     0.002501     0.001847
   1975       41   0.001237     0.001673     0.001452
   1975       42   0.002196     0.003173     0.002677
   1975       43   0.002851     0.003304     0.003075
   1975       44   0.002095     0.002994     0.002546
   1975       45   0.001576     0.002870     0.002222
   1975       46   0.001039     0.003890     0.002454
   1975       47   0.003211     0.003437     0.003324
   1975       48   0.001641     0.004247     0.002944
   1975       49   0.001440     0.004318     0.002855
   1975       50   0.003884     0.004568     0.004208
   1975       51   0.004476     0.004406     0.004445
   1975       52   0.003710     0.008760     0.005808
   1975       53   0.003152     0.005555     0.004131
   1975       54   0.004067     0.005859     0.004825
   1975       55   0.005644     0.007552     0.006482
   1975       56   0.006415     0.007791     0.007012
   1975       57   0.004773     0.009191     0.006655
   1975       58   0.005066     0.013008     0.008463
   1975       59   0.006737     0.010582     0.008419
   1975       60   0.008056     0.013936     0.010658
   1975       61   0.007890     0.013936     0.010544
   1975       62   0.008442     0.013702     0.010750
   1975       63   0.010155     0.015556     0.012506
   1975       64   0.012069     0.018472     0.014912
   1975       65   0.015585     0.024184     0.019510
   1975       66   0.014757     0.025850     0.019842
   1975       67   0.017494     0.029189     0.022807
   1975       68   0.018745     0.035465     0.026413
   1975       69   0.025413     0.035661     0.030149
   1975       70   0.021742     0.039264     0.029751
   1975       71   0.020598     0.042369     0.030511
   1975       72   0.026532     0.044930     0.034855
   1975       73   0.030180     0.057721     0.042721
   1975       74   0.040489     0.061767     0.050199
   1975       75   0.045121     0.075247     0.058643
   1975       76   0.050482     0.079210     0.062913
   1975       77   0.055062     0.078355     0.064742
   1975       78   0.065424     0.100592     0.080063
   1975       79   0.073540     0.107808     0.087787
   1975       80   0.098567     0.134059     0.112541
   1975       81   0.096260     0.123731     0.106551
   1975       82   0.084924     0.154029     0.110840
   1975       83   0.155880     0.176192     0.163419
   1975       84   0.139685     0.204540     0.162347
   1975       85   0.162835     0.189981     0.172012
   1975       86   0.180696     0.235726     0.199737
   1975       87   0.177053     0.252377     0.202756
   1975       88   0.222358     0.326110     0.255392
   1975       89   0.266553     0.223670     0.253574
   1975       90   0.302556     0.524598     0.360892
   1975       91   0.281435     0.523342     0.337366
   1975       92   0.256136     0.341707     0.275537
   1975       93   0.224784     0.155132     0.207330
   1975       94   0.297297     0.591935     0.376126
   1975       95   0.208056     0.171135     0.201836
   1975       96   0.352863     0.600000     0.397519
   1975       97   0.320000     0.928314     0.444962
   1975       98   0.521739     0.000000     0.485928
   1975       99   0.375000     0.000000     0.342857
   1975      100   0.375000     0.000000     0.315789
   1975      101   6.000000     3.000000     4.000000
   1975      102   0.000000            .     0.000000
   1975      103   4.000000            .     4.000000
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.007844     0.010109     0.008999
   1976        1   0.000799     0.001397     0.001103
   1976        2   0.000614     0.001184     0.000904
   1976        3   0.000767     0.000581     0.000672
   1976        4   0.000790     0.001049     0.000923
   1976        5   0.000329     0.000624     0.000481
   1976        6   0.000000     0.000161     0.000083
   1976        7   0.000172     0.000488     0.000335
   1976        8   0.000000     0.000157     0.000080
   1976        9   0.000191     0.000185     0.000188
   1976       10   0.000000     0.000567     0.000290
   1976       11   0.000337     0.000162     0.000248
   1976       12   0.000513     0.000828     0.000673
   1976       13   0.000176     0.000167     0.000172
   1976       14   0.000000     0.000171     0.000088
   1976       15   0.000360     0.000345     0.000352
   1976       16   0.000174     0.000341     0.000258
   1976       17   0.000676     0.000169     0.000422
   1976       18   0.000000     0.000372     0.000186
   1976       19   0.000432     0.001098     0.000762
   1976       20   0.000644     0.001864     0.001231
   1976       21   0.000825     0.001608     0.001195
   1976       22   0.000582     0.000895     0.000727
   1976       23   0.000529     0.001622     0.001038
   1976       24   0.000494     0.000544     0.000518
   1976       25   0.000308     0.000497     0.000400
   1976       26   0.000552     0.001145     0.000844
   1976       27   0.000391     0.000658     0.000524
   1976       28   0.000537     0.000666     0.000602
   1976       29   0.000862     0.000857     0.000859
   1976       30   0.000476     0.000965     0.000721
   1976       31   0.001052     0.001080     0.001066
   1976       32   0.000351     0.000544     0.000447
   1976       33   0.000507     0.000691     0.000598
   1976       34   0.000171     0.001225     0.000696
   1976       35   0.000538     0.001665     0.001094
   1976       36   0.001012     0.002115     0.001556
   1976       37   0.001082     0.001369     0.001223
   1976       38   0.000767     0.001642     0.001191
   1976       39   0.000866     0.001903     0.001365
   1976       40   0.001885     0.001329     0.001618
   1976       41   0.001058     0.001537     0.001290
   1976       42   0.001775     0.001852     0.001813
   1976       43   0.002536     0.002305     0.002422
   1976       44   0.001181     0.002106     0.001637
   1976       45   0.001744     0.003371     0.002558
   1976       46   0.002459     0.005019     0.003733
   1976       47   0.003461     0.001954     0.002714
   1976       48   0.002326     0.003089     0.002707
   1976       49   0.003477     0.003713     0.003595
   1976       50   0.002344     0.005471     0.003879
   1976       51   0.003889     0.006649     0.005196
   1976       52   0.002345     0.005160     0.003597
   1976       53   0.004765     0.006774     0.005598
   1976       54   0.003379     0.004034     0.003645
   1976       55   0.005312     0.006194     0.005685
   1976       56   0.004378     0.010973     0.007271
   1976       57   0.006946     0.009811     0.008186
   1976       58   0.006813     0.012001     0.009018
   1976       59   0.006823     0.011161     0.008675
   1976       60   0.006298     0.012633     0.009058
   1976       61   0.009853     0.012873     0.011185
   1976       62   0.009203     0.016705     0.012485
   1976       63   0.016054     0.018169     0.016978
   1976       64   0.013119     0.017143     0.014867
   1976       65   0.013025     0.020183     0.016189
   1976       66   0.014151     0.024407     0.018812
   1976       67   0.016168     0.024742     0.020074
   1976       68   0.020007     0.031290     0.025094
   1976       69   0.020179     0.035383     0.027108
   1976       70   0.021826     0.040243     0.030249
   1976       71   0.024090     0.039045     0.030845
   1976       72   0.025935     0.045089     0.034587
   1976       73   0.034886     0.066343     0.048913
   1976       74   0.033830     0.057960     0.044676
   1976       75   0.048010     0.064917     0.055607
   1976       76   0.047921     0.079930     0.062058
   1976       77   0.057309     0.080314     0.067117
   1976       78   0.067201     0.088570     0.075909
   1976       79   0.074094     0.095955     0.083057
   1976       80   0.083109     0.137679     0.105493
   1976       81   0.107413     0.123285     0.113537
   1976       82   0.095287     0.167334     0.121440
   1976       83   0.106953     0.188333     0.136234
   1976       84   0.126105     0.174312     0.143453
   1976       85   0.161459     0.220016     0.181384
   1976       86   0.195317     0.241462     0.210517
   1976       87   0.196783     0.231622     0.208320
   1976       88   0.163143     0.280140     0.201160
   1976       89   0.248133     0.279934     0.257904
   1976       90   0.234079     0.210076     0.227090
   1976       91   0.277387     0.298602     0.282402
   1976       92   0.273224     0.328700     0.284880
   1976       93   0.335878     0.453667     0.363260
   1976       94   0.169014     0.473497     0.233314
   1976       95   0.245614     0.460741     0.295845
   1976       96   0.437860     1.406800     0.545136
   1976       97   0.408951     0.428571     0.411644
   1976       98   0.375000     0.577478     0.411029
   1976       99   0.642857     0.000000     0.573431
   1976      100   0.571429     0.000000     0.500000
   1976      101   0.000000     0.000000     0.000000
   1976      102          .            .            .
   1976      103          .            .            .
   1976      104          .            .            .
   1976      105          .            .            .
   1976      106          .            .            .
   1976      107          .            .            .
   1976      108          .            .            .
   1976      109          .            .            .
   1976      110+         .            .            .
   1977        0   0.009417     0.007430     0.008396
   1977        1   0.001497     0.002242     0.001877
   1977        2   0.000797     0.001547     0.001177
   1977        3   0.001073     0.000443     0.000752
   1977        4   0.000000     0.000871     0.000447
   1977        5   0.000789     0.000897     0.000845
   1977        6   0.000493     0.000623     0.000560
   1977        7   0.000171     0.000322     0.000249
   1977        8   0.000172     0.000487     0.000334
   1977        9   0.000000     0.000314     0.000160
   1977       10   0.000000     0.000000     0.000000
   1977       11   0.000394     0.000189     0.000290
   1977       12   0.000337     0.000000     0.000166
   1977       13   0.000000     0.000166     0.000084
   1977       14   0.000000     0.000000     0.000000
   1977       15   0.000000     0.000000     0.000000
   1977       16   0.000000     0.000555     0.000282
   1977       17   0.000367     0.001099     0.000734
   1977       18   0.000532     0.001083     0.000805
   1977       19   0.000386     0.000588     0.000486
   1977       20   0.000214     0.000450     0.000330
   1977       21   0.000628     0.000226     0.000434
   1977       22   0.000000     0.000000     0.000000
   1977       23   0.000388     0.000863     0.000612
   1977       24   0.000529     0.000394     0.000465
   1977       25   0.000827     0.000358     0.000602
   1977       26   0.000462     0.001450     0.000945
   1977       27   0.000829     0.000991     0.000909
   1977       28   0.000519     0.000395     0.000457
   1977       29   0.000268     0.001725     0.001002
   1977       30   0.000863     0.001211     0.001039
   1977       31   0.000480     0.000959     0.000720
   1977       32   0.001473     0.001301     0.001387
   1977       33   0.000881     0.001262     0.001070
   1977       34   0.000510     0.002068     0.001285
   1977       35   0.000689     0.002461     0.001570
   1977       36   0.001433     0.002611     0.002015
   1977       37   0.000203     0.000633     0.000415
   1977       38   0.001301     0.002043     0.001666
   1977       39   0.000959     0.001664     0.001300
   1977       40   0.000697     0.001551     0.001108
   1977       41   0.000857     0.002451     0.001622
   1977       42   0.001237     0.002113     0.001660
   1977       43   0.001247     0.002995     0.002106
   1977       44   0.000677     0.003898     0.002263
   1977       45   0.001855     0.002666     0.002255
   1977       46   0.002095     0.003375     0.002734
   1977       47   0.003341     0.003599     0.003469
   1977       48   0.002087     0.003926     0.002999
   1977       49   0.001618     0.005125     0.003366
   1977       50   0.003309     0.004674     0.003990
   1977       51   0.002170     0.004935     0.003525
   1977       52   0.003530     0.005648     0.004532
   1977       53   0.003336     0.006189     0.004603
   1977       54   0.003326     0.004154     0.003669
   1977       55   0.004668     0.005942     0.005185
   1977       56   0.004320     0.008797     0.006211
   1977       57   0.006825     0.011961     0.009074
   1977       58   0.004507     0.007267     0.005699
   1977       59   0.005093     0.015591     0.009548
   1977       60   0.006127     0.011643     0.008474
   1977       61   0.008064     0.010546     0.009143
   1977       62   0.008456     0.015571     0.011588
   1977       63   0.010587     0.017027     0.013393
   1977       64   0.007617     0.014856     0.010771
   1977       65   0.013528     0.019169     0.015968
   1977       66   0.012665     0.020585     0.016152
   1977       67   0.015478     0.030761     0.022387
   1977       68   0.017938     0.029157     0.023012
   1977       69   0.020723     0.031491     0.025545
   1977       70   0.025978     0.041380     0.032948
   1977       71   0.027006     0.039992     0.032898
   1977       72   0.027544     0.043109     0.034524
   1977       73   0.036298     0.050676     0.042716
   1977       74   0.031498     0.061309     0.044607
   1977       75   0.041043     0.063397     0.050961
   1977       76   0.051363     0.079759     0.063922
   1977       77   0.057968     0.050146     0.054544
   1977       78   0.054063     0.102691     0.074490
   1977       79   0.065896     0.100426     0.079749
   1977       80   0.086733     0.116843     0.099127
   1977       81   0.087709     0.094646     0.090508
   1977       82   0.102048     0.152769     0.121256
   1977       83   0.129817     0.146436     0.135590
   1977       84   0.114720     0.165597     0.132390
   1977       85   0.134595     0.177138     0.149372
   1977       86   0.166133     0.202475     0.178164
   1977       87   0.193523     0.199402     0.195409
   1977       88   0.210456     0.263106     0.227258
   1977       89   0.260901     0.249238     0.257174
   1977       90   0.228452     0.393323     0.277547
   1977       91   0.325645     0.223879     0.296550
   1977       92   0.318099     0.283973     0.310043
   1977       93   0.282178     0.848919     0.393742
   1977       94   0.232258     0.483871     0.274194
   1977       95   0.305556     0.000000     0.244417
   1977       96   0.212766     0.567239     0.278417
   1977       97   0.556529     0.000000     0.524119
   1977       98   0.222099     0.750000     0.290182
   1977       99   0.580645     0.000000     0.481412
   1977      100   0.352941     0.000000     0.294262
   1977      101   0.461538     0.000000     0.375000
   1977      102   0.857143     0.000000     0.600000
   1977      103          .            .            .
   1977      104          .            .            .
   1977      105          .            .            .
   1977      106          .            .            .
   1977      107          .            .            .
   1977      108          .            .            .
   1977      109          .            .            .
   1977      110+         .            .            .
   1978        0   0.006013     0.007854     0.006963
   1978        1   0.001390     0.001484     0.001438
   1978        2   0.000830     0.001280     0.001059
   1978        3   0.000637     0.000308     0.000470
   1978        4   0.000153     0.000147     0.000150
   1978        5   0.000766     0.001015     0.000894
   1978        6   0.000945     0.000448     0.000690
   1978        7   0.000492     0.000311     0.000399
   1978        8   0.000000     0.000805     0.000414
   1978        9   0.000344     0.000324     0.000334
   1978       10   0.000327     0.000157     0.000240
   1978       11   0.000000     0.000554     0.000281
   1978       12   0.000197     0.000378     0.000290
   1978       13   0.000169     0.000000     0.000083
   1978       14   0.000171     0.000498     0.000337
   1978       15   0.000181     0.000518     0.000354
   1978       16   0.000394     0.000942     0.000674
   1978       17   0.000202     0.001195     0.000703
   1978       18   0.000195     0.000988     0.000588
   1978       19   0.001117     0.001355     0.001234
   1978       20   0.000404     0.000618     0.000509
   1978       21   0.000638     0.001571     0.001092
   1978       22   0.001021     0.000440     0.000741
   1978       23   0.000593     0.001498     0.001028
   1978       24   0.000766     0.000832     0.000798
   1978       25   0.000528     0.000771     0.000645
   1978       26   0.000494     0.000702     0.000595
   1978       27   0.000154     0.000635     0.000391
   1978       28   0.000138     0.000700     0.000418
   1978       29   0.000781     0.001037     0.000910
   1978       30   0.000537     0.000525     0.000531
   1978       31   0.001030     0.001185     0.001108
   1978       32   0.002143     0.000960     0.001551
   1978       33   0.001052     0.001296     0.001173
   1978       34   0.000705     0.001092     0.000897
   1978       35   0.001014     0.001046     0.001030
   1978       36   0.000854     0.002099     0.001473
   1978       37   0.000719     0.000931     0.000824
   1978       38   0.000812     0.002746     0.001767
   1978       39   0.000868     0.001604     0.001230
   1978       40   0.001727     0.002505     0.002103
   1978       41   0.001560     0.003048     0.002274
   1978       42   0.000687     0.002848     0.001722
   1978       43   0.002659     0.001925     0.002305
   1978       44   0.001425     0.003008     0.002201
   1978       45   0.001701     0.003934     0.002799
   1978       46   0.002530     0.002299     0.002416
   1978       47   0.001578     0.003044     0.002308
   1978       48   0.001935     0.002349     0.002140
   1978       49   0.001742     0.003952     0.002834
   1978       50   0.001804     0.005548     0.003667
   1978       51   0.002394     0.004502     0.003444
   1978       52   0.003262     0.007068     0.005123
   1978       53   0.004097     0.006918     0.005429
   1978       54   0.003931     0.007471     0.005500
   1978       55   0.003753     0.009305     0.006043
   1978       56   0.005745     0.005030     0.005455
   1978       57   0.005805     0.010000     0.007574
   1978       58   0.006867     0.009750     0.008128
   1978       59   0.006304     0.011374     0.008491
   1978       60   0.005638     0.013362     0.008905
   1978       61   0.008890     0.010424     0.009541
   1978       62   0.009145     0.013236     0.010920
   1978       63   0.005269     0.012928     0.008624
   1978       64   0.007377     0.015973     0.011106
   1978       65   0.013098     0.024583     0.018076
   1978       66   0.011848     0.021347     0.015933
   1978       67   0.013944     0.023539     0.018148
   1978       68   0.016859     0.027006     0.021419
   1978       69   0.017620     0.035426     0.025605
   1978       70   0.021461     0.032673     0.026437
   1978       71   0.028495     0.044801     0.035822
   1978       72   0.028260     0.042094     0.034507
   1978       73   0.031247     0.048717     0.039013
   1978       74   0.034149     0.055812     0.043701
   1978       75   0.033036     0.061756     0.045483
   1978       76   0.049393     0.058098     0.053202
   1978       77   0.047958     0.072040     0.058501
   1978       78   0.048884     0.104923     0.072974
   1978       79   0.065074     0.099299     0.079028
   1978       80   0.083470     0.100572     0.090186
   1978       81   0.091041     0.125341     0.104963
   1978       82   0.113877     0.106001     0.110729
   1978       83   0.103929     0.135785     0.115785
   1978       84   0.109002     0.144414     0.121087
   1978       85   0.128858     0.175000     0.144349
   1978       86   0.151279     0.190114     0.164402
   1978       87   0.169955     0.247450     0.195093
   1978       88   0.206551     0.220096     0.210741
   1978       89   0.200816     0.210424     0.203882
   1978       90   0.206885     0.271572     0.227058
   1978       91   0.200000     0.541914     0.294888
   1978       92   0.248201     0.410009     0.291793
   1978       93   0.269327     0.318584     0.280156
   1978       94   0.409091     0.310345     0.393443
   1978       95   0.401914     0.255319     0.375000
   1978       96   0.274510     0.558140     0.336735
   1978       97   0.687500     0.230769     0.590164
   1978       98   0.386910     0.000000     0.369060
   1978       99   0.486092     0.000000     0.418313
   1978      100   0.000000     3.920245     0.468819
   1978      101   0.000000            .     0.000000
   1978      102   0.750000     0.000000     0.545455
   1978      103   6.000000     0.000000     1.500000
   1978      104          .            .            .
   1978      105          .            .            .
   1978      106          .            .            .
   1978      107          .            .            .
   1978      108          .            .            .
   1978      109          .            .            .
   1978      110+         .            .            .
   1979        0   0.006307     0.007949     0.007148
   1979        1   0.001267     0.000510     0.000877
   1979        2   0.000346     0.001321     0.000845
   1979        3   0.000331     0.000159     0.000244
   1979        4   0.000950     0.000768     0.000858
   1979        5   0.000152     0.000147     0.000150
   1979        6   0.000457     0.000578     0.000519
   1979        7   0.000471     0.000149     0.000306
   1979        8   0.000164     0.000310     0.000239
   1979        9   0.000340     0.000321     0.000330
   1979       10   0.000172     0.000162     0.000167
   1979       11   0.000327     0.000626     0.000480
   1979       12   0.000190     0.000000     0.000094
   1979       13   0.000000     0.000000     0.000000
   1979       14   0.000338     0.000163     0.000249
   1979       15   0.000344     0.000499     0.000423
   1979       16   0.000367     0.000176     0.000269
   1979       17   0.000412     0.000993     0.000708
   1979       18   0.000216     0.001295     0.000756
   1979       19   0.000207     0.001073     0.000632
   1979       20   0.000589     0.000627     0.000607
   1979       21   0.000000     0.000871     0.000422
   1979       22   0.000425     0.000907     0.000658
   1979       23   0.000199     0.000860     0.000517
   1979       24   0.000196     0.001863     0.001004
   1979       25   0.000569     0.001016     0.000786
   1979       26   0.000526     0.001309     0.000906
   1979       27   0.000165     0.000516     0.000338
   1979       28   0.001083     0.001567     0.001324
   1979       29   0.000415     0.001789     0.001105
   1979       30   0.000260     0.001283     0.000776
   1979       31   0.000664     0.000785     0.000725
   1979       32   0.000516     0.001530     0.001028
   1979       33   0.000000     0.000479     0.000240
   1979       34   0.001051     0.000861     0.000956
   1979       35   0.000352     0.001641     0.000992
   1979       36   0.001014     0.002248     0.001627
   1979       37   0.000684     0.001052     0.000867
   1979       38   0.000538     0.000370     0.000455
   1979       39   0.001021     0.001487     0.001251
   1979       40   0.000652     0.002308     0.001465
   1979       41   0.000575     0.001452     0.000999
   1979       42   0.000522     0.002291     0.001370
   1979       43   0.001722     0.002462     0.002077
   1979       44   0.001781     0.003475     0.002597
   1979       45   0.001074     0.002658     0.001849
   1979       46   0.001703     0.001960     0.001829
   1979       47   0.002028     0.003723     0.002860
   1979       48   0.002275     0.002506     0.002390
   1979       49   0.004410     0.003271     0.003846
   1979       50   0.002618     0.004369     0.003482
   1979       51   0.002709     0.004614     0.003656
   1979       52   0.003148     0.004901     0.004020
   1979       53   0.003637     0.006151     0.004863
   1979       54   0.002991     0.006771     0.004773
   1979       55   0.002368     0.005532     0.003766
   1979       56   0.005445     0.008113     0.006544
   1979       57   0.005997     0.011739     0.008318
   1979       58   0.003756     0.007504     0.005334
   1979       59   0.005362     0.008970     0.006939
   1979       60   0.003549     0.010144     0.006389
   1979       61   0.006446     0.010636     0.008215
   1979       62   0.006238     0.013242     0.009208
   1979       63   0.007961     0.016041     0.011455
   1979       64   0.005818     0.018397     0.011298
   1979       65   0.008220     0.015609     0.011407
   1979       66   0.010640     0.022371     0.015691
