40.Fukuoka.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.006927     0.008661     0.007818
   1975        1   0.000961     0.001684     0.001333
   1975        2   0.000579     0.001301     0.000951
   1975        3   0.000537     0.000879     0.000713
   1975        4   0.000377     0.000575     0.000479
   1975        5   0.000296     0.000394     0.000347
   1975        6   0.000271     0.000601     0.000440
   1975        7   0.000238     0.000365     0.000303
   1975        8   0.000136     0.000352     0.000248
   1975        9   0.000106     0.000201     0.000155
   1975       10   0.000128     0.000370     0.000251
   1975       11   0.000168     0.000194     0.000181
   1975       12   0.000069     0.000230     0.000151
   1975       13   0.000242     0.000398     0.000322
   1975       14   0.000241     0.000393     0.000319
   1975       15   0.000335     0.000481     0.000410
   1975       16   0.000294     0.000813     0.000559
   1975       17   0.000463     0.000844     0.000659
   1975       18   0.000384     0.001171     0.000791
   1975       19   0.000451     0.001132     0.000801
   1975       20   0.000557     0.001085     0.000825
   1975       21   0.000396     0.000837     0.000614
   1975       22   0.000563     0.000691     0.000625
   1975       23   0.000608     0.001065     0.000825
   1975       24   0.000669     0.000767     0.000715
   1975       25   0.000737     0.000971     0.000848
   1975       26   0.000456     0.001434     0.000923
   1975       27   0.000541     0.001141     0.000831
   1975       28   0.000524     0.001322     0.000910
   1975       29   0.000787     0.001063     0.000921
   1975       30   0.000680     0.001418     0.001036
   1975       31   0.000781     0.001135     0.000951
   1975       32   0.000748     0.001004     0.000871
   1975       33   0.000640     0.001146     0.000884
   1975       34   0.000805     0.001629     0.001203
   1975       35   0.001016     0.002157     0.001566
   1975       36   0.000923     0.001963     0.001421
   1975       37   0.001333     0.002273     0.001781
   1975       38   0.001102     0.002590     0.001811
   1975       39   0.001264     0.002795     0.001997
   1975       40   0.001456     0.002903     0.002152
   1975       41   0.001367     0.003790     0.002537
   1975       42   0.002059     0.004887     0.003430
   1975       43   0.001677     0.004533     0.003065
   1975       44   0.002070     0.004668     0.003340
   1975       45   0.001977     0.005191     0.003545
   1975       46   0.002238     0.004985     0.003573
   1975       47   0.002588     0.005412     0.003963
   1975       48   0.002947     0.005404     0.004138
   1975       49   0.003150     0.007039     0.005012
   1975       50   0.003968     0.007706     0.005726
   1975       51   0.003642     0.006907     0.005122
   1975       52   0.004700     0.007413     0.005876
   1975       53   0.004125     0.009113     0.006235
   1975       54   0.004401     0.008476     0.006106
   1975       55   0.004188     0.010137     0.006717
   1975       56   0.005235     0.011028     0.007756
   1975       57   0.005351     0.012133     0.008326
   1975       58   0.006982     0.012630     0.009487
