07.Fukushima.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.010416     0.015060     0.012796
   1975        1   0.001813     0.002279     0.002051
   1975        2   0.000822     0.000735     0.000778
   1975        3   0.000784     0.001067     0.000928
   1975        4   0.000467     0.000635     0.000553
   1975        5   0.000542     0.000516     0.000529
   1975        6   0.000407     0.000844     0.000631
   1975        7   0.000581     0.000434     0.000506
   1975        8   0.000215     0.000552     0.000387
   1975        9   0.000071     0.000621     0.000351
   1975       10   0.000313     0.000541     0.000429
   1975       11   0.000063     0.000240     0.000153
   1975       12   0.000308     0.000177     0.000241
   1975       13   0.000241     0.000404     0.000324
   1975       14   0.000175     0.000508     0.000344
   1975       15   0.000229     0.000835     0.000536
   1975       16   0.000451     0.000998     0.000727
   1975       17   0.000487     0.000991     0.000737
   1975       18   0.000505     0.001068     0.000779
   1975       19   0.000625     0.001010     0.000810
   1975       20   0.000606     0.000909     0.000751
   1975       21   0.000931     0.001485     0.001196
   1975       22   0.000791     0.001526     0.001140
   1975       23   0.000432     0.000948     0.000678
   1975       24   0.000595     0.001379     0.000977
   1975       25   0.001307     0.001336     0.001321
   1975       26   0.000900     0.001337     0.001120
   1975       27   0.001134     0.001308     0.001223
   1975       28   0.000915     0.001233     0.001078
   1975       29   0.000504     0.001173     0.000844
   1975       30   0.000531     0.001499     0.001020
   1975       31   0.000679     0.000969     0.000826
   1975       32   0.000676     0.001806     0.001243
   1975       33   0.000901     0.001598     0.001249
   1975       34   0.001400     0.001368     0.001384
   1975       35   0.001014     0.001471     0.001239
   1975       36   0.001193     0.001597     0.001391
   1975       37   0.001603     0.002263     0.001923
   1975       38   0.000557     0.002407     0.001453
   1975       39   0.001231     0.002507     0.001849
   1975       40   0.001142     0.002794     0.001939
   1975       41   0.001676     0.003296     0.002457
   1975       42   0.001869     0.003283     0.002552
   1975       43   0.002372     0.003476     0.002910
   1975       44   0.002366     0.003396     0.002871
   1975       45   0.002238     0.004426     0.003307
   1975       46   0.002426     0.003809     0.003102
   1975       47   0.002788     0.005451     0.004094
   1975       48   0.002462     0.005525     0.003956
   1975       49   0.002542     0.005778     0.004095
   1975       50   0.002832     0.005831     0.004239
   1975       51   0.003792     0.006760     0.005141
   1975       52   0.003496     0.006570     0.004860
   1975       53   0.004096     0.006891     0.005328
   1975       54   0.004630     0.007345     0.005828
   1975       55   0.005463     0.010185     0.007578
   1975       56   0.006670     0.009871     0.008114
   1975       57   0.005635     0.010083     0.007628
   1975       58   0.006738     0.012350     0.009233
   1975       59   0.009214     0.011898     0.010417
   1975       60   0.008738     0.015078     0.011595
   1975       61   0.009238     0.016380     0.012432
   1975       62   0.011484     0.018424     0.014583
   1975       63   0.009587     0.021743     0.015009
   1975       64   0.012370     0.025205     0.018166
   1975       65   0.011954     0.025019     0.017887
   1975       66   0.016521     0.027312     0.021393
   1975       67   0.017666     0.034765     0.025317
   1975       68   0.018684     0.032148     0.024778
   1975       69   0.023276     0.038182     0.030012
   1975       70   0.020156     0.045885     0.031518
   1975       71   0.032008     0.045903     0.038132
   1975       72   0.038140     0.055045     0.045470
   1975       73   0.038549     0.055106     0.045730
   1975       74   0.044411     0.069781     0.055296
   1975       75   0.049671     0.073695     0.059808
   1975       76   0.049366     0.074732     0.059943
   1975       77   0.059749     0.095647     0.074260
   1975       78   0.066904     0.102974     0.081043
   1975       79   0.079839     0.124536     0.096672
   1975       80   0.090165     0.124079     0.102877
   1975       81   0.106101     0.129366     0.114862
   1975       82   0.106039     0.163561     0.127001
   1975       83   0.131998     0.161599     0.142539
   1975       84   0.137727     0.168632     0.148488
   1975       85   0.149989     0.159168     0.153089
   1975       86   0.170676     0.244094     0.194790
   1975       87   0.193586     0.215942     0.200347
   1975       88   0.199160     0.250280     0.213896
   1975       89   0.227257     0.248800     0.233715
   1975       90   0.285269     0.305482     0.290887
   1975       91   0.240274     0.250174     0.242611
   1975       92   0.273367     0.309595     0.281337
   1975       93   0.414097     0.292210     0.383719
   1975       94   0.408791     0.235997     0.371058
   1975       95   0.299827     0.092223     0.258295
   1975       96   0.558486     0.800000     0.611205
   1975       97   0.580084     0.272727     0.521331
   1975       98   0.254831     0.461538     0.299551
   1975       99   0.214286     0.000000     0.193548
   1975      100   0.857143            .     0.857143
   1975      101   0.000000            .     0.000000
   1975      102   0.000000            .     0.000000
   1975      103          .            .            .
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.009020     0.011992     0.010546
   1976        1   0.001665     0.001283     0.001469
   1976        2   0.000811     0.001256     0.001038
   1976        3   0.000631     0.001039     0.000838
   1976        4   0.000716     0.000751     0.000734
   1976        5   0.000399     0.000506     0.000454
   1976        6   0.000609     0.000387     0.000495
   1976        7   0.000203     0.000583     0.000397
   1976        8   0.000258     0.000185     0.000221
   1976        9   0.000000     0.000414     0.000211
   1976       10   0.000000     0.000345     0.000175
   1976       11   0.000313     0.000361     0.000337
   1976       12   0.000000     0.000180     0.000092
   1976       13   0.000248     0.000416     0.000334
   1976       14   0.000062     0.000355     0.000211
   1976       15   0.000122     0.000472     0.000299
   1976       16   0.000120     0.000703     0.000415
   1976       17   0.000411     0.000989     0.000702
   1976       18   0.000315     0.001554     0.000927
   1976       19   0.000147     0.001322     0.000717
   1976       20   0.000306     0.001415     0.000838
   1976       21   0.000596     0.001373     0.000969
   1976       22   0.000568     0.001606     0.001067
   1976       23   0.000782     0.001494     0.001123
   1976       24   0.000799     0.001660     0.001213
   1976       25   0.000594     0.001751     0.001162
   1976       26   0.001133     0.001200     0.001166
   1976       27   0.000733     0.001211     0.000975
   1976       28   0.000597     0.000851     0.000728
   1976       29   0.000835     0.001080     0.000961
   1976       30   0.000705     0.001491     0.001105
   1976       31   0.000615     0.001389     0.001006
   1976       32   0.000902     0.001047     0.000975
   1976       33   0.000898     0.002247     0.001575
   1976       34   0.000674     0.001212     0.000943
   1976       35   0.000665     0.002265     0.001459
   1976       36   0.000931     0.002102     0.001509
   1976       37   0.001353     0.001691     0.001519
   1976       38   0.001454     0.002866     0.002140
   1976       39   0.001184     0.003841     0.002471
   1976       40   0.001233     0.002977     0.002077
   1976       41   0.001611     0.003308     0.002430
   1976       42   0.001075     0.002922     0.001965
   1976       43   0.001803     0.005196     0.003441
   1976       44   0.001349     0.004470     0.002868
   1976       45   0.001905     0.004037     0.002950
   1976       46   0.002974     0.004829     0.003880
   1976       47   0.002625     0.005423     0.003991
   1976       48   0.003062     0.004497     0.003765
   1976       49   0.002801     0.005204     0.003970
   1976       50   0.003484     0.005663     0.004528
   1976       51   0.003752     0.005922     0.004768
   1976       52   0.001942     0.005885     0.003731
   1976       53   0.003433     0.007107     0.005061
   1976       54   0.004599     0.006936     0.005628
   1976       55   0.004812     0.008355     0.006374
   1976       56   0.004617     0.011472     0.007682
   1976       57   0.004043     0.008603     0.006097
   1976       58   0.005951     0.010900     0.008164
   1976       59   0.007498     0.013714     0.010256
   1976       60   0.008381     0.012687     0.010307
   1976       61   0.009020     0.013391     0.010985
   1976       62   0.007971     0.015707     0.011421
   1976       63   0.010194     0.020787     0.014905
   1976       64   0.012450     0.020973     0.016228
   1976       65   0.015170     0.025868     0.019975
   1976       66   0.011399     0.029045     0.019353
   1976       67   0.016413     0.031512     0.023172
   1976       68   0.019785     0.034775     0.026435
   1976       69   0.021815     0.041301     0.030569
   1976       70   0.026872     0.041800     0.033543
   1976       71   0.024698     0.045157     0.033642
   1976       72   0.030516     0.053512     0.040556
   1976       73   0.033845     0.057863     0.044141
   1976       74   0.043506     0.067839     0.053936
   1976       75   0.044234     0.070749     0.055446
   1976       76   0.055388     0.073388     0.062878
   1976       77   0.055177     0.090156     0.069534
   1976       78   0.072294     0.100428     0.083462
   1976       79   0.069577     0.123125     0.090009
   1976       80   0.093522     0.109909     0.099483
   1976       81   0.102522     0.128973     0.112282
   1976       82   0.116330     0.139436     0.124855
   1976       83   0.124380     0.175783     0.142622
   1976       84   0.130659     0.193956     0.152423
   1976       85   0.160619     0.184543     0.168777
   1976       86   0.202164     0.185647     0.196617
   1976       87   0.204842     0.238652     0.215595
   1976       88   0.215342     0.198873     0.210493
   1976       89   0.205175     0.312971     0.235101
   1976       90   0.299529     0.350358     0.314418
   1976       91   0.248597     0.280804     0.257459
   1976       92   0.262326     0.413427     0.295726
   1976       93   0.257812     0.285714     0.263804
   1976       94   0.391837     0.381739     0.389201
   1976       95   0.444444     0.606904     0.478609
   1976       96   0.298096     0.418021     0.321128
   1976       97   0.837359     0.000000     0.633374
   1976       98   0.221852     0.375000     0.256813
   1976       99   0.341978     1.333333     0.544341
   1976      100   1.600000            .     1.600000
   1976      101   0.000000            .     0.000000
   1976      102   0.000000            .     0.000000
   1976      103   0.000000            .     0.000000
   1976      104          .            .            .
   1976      105          .            .            .
   1976      106          .            .            .
   1976      107          .            .            .
   1976      108          .            .            .
   1976      109          .            .            .
   1976      110+         .            .            .
   1977        0   0.007769     0.011504     0.009680
   1977        1   0.001241     0.001181     0.001210
   1977        2   0.000763     0.000728     0.000745
   1977        3   0.000434     0.000952     0.000698
   1977        4   0.000439     0.000790     0.000617
   1977        5   0.000259     0.000685     0.000476
   1977        6   0.000000     0.000315     0.000161
   1977        7   0.000337     0.000257     0.000296
   1977        8   0.000203     0.000323     0.000264
   1977        9   0.000000     0.000123     0.000063
   1977       10   0.000286     0.000138     0.000211
   1977       11   0.000428     0.000069     0.000246
   1977       12   0.000127     0.000301     0.000216
   1977       13   0.000190     0.000543     0.000371
   1977       14   0.000253     0.000304     0.000279
   1977       15   0.000130     0.000564     0.000351
   1977       16   0.000261     0.000957     0.000613
   1977       17   0.000193     0.000885     0.000542
   1977       18   0.000188     0.000690     0.000439
   1977       19   0.000530     0.000892     0.000707
   1977       20   0.000514     0.001024     0.000761
   1977       21   0.000672     0.000968     0.000815
   1977       22   0.000364     0.001244     0.000789
   1977       23   0.000420     0.000963     0.000683
   1977       24   0.000324     0.000897     0.000601
   1977       25   0.000800     0.001241     0.001015
   1977       26   0.001068     0.001211     0.001139
   1977       27   0.000680     0.001574     0.001130
   1977       28   0.000562     0.001701     0.001142
   1977       29   0.000477     0.000897     0.000694
   1977       30   0.000608     0.001663     0.001154
   1977       31   0.000403     0.000871     0.000641
   1977       32   0.000613     0.001384     0.001003
   1977       33   0.000601     0.001407     0.001009
   1977       34   0.001049     0.002382     0.001719
   1977       35   0.000824     0.001214     0.001019
   1977       36   0.001030     0.002043     0.001534
   1977       37   0.001320     0.001684     0.001500
   1977       38   0.001276     0.002264     0.001760
   1977       39   0.001456     0.002892     0.002154
   1977       40   0.001539     0.002135     0.001828
   1977       41   0.001166     0.003323     0.002211
   1977       42   0.001886     0.003079     0.002462
   1977       43   0.001279     0.002724     0.001975
   1977       44   0.001353     0.003087     0.002189
   1977       45   0.001609     0.003125     0.002347
   1977       46   0.002175     0.004732     0.003427
   1977       47   0.002185     0.004001     0.003071
   1977       48   0.001581     0.005721     0.003600
