21.Gifu.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009321     0.011627     0.010504
   1975        1   0.001982     0.001507     0.001740
   1975        2   0.000660     0.001321     0.000998
   1975        3   0.000733     0.000929     0.000833
   1975        4   0.000248     0.000947     0.000606
   1975        5   0.000448     0.000366     0.000406
   1975        6   0.000324     0.000746     0.000540
   1975        7   0.000126     0.000244     0.000186
   1975        8   0.000449     0.000284     0.000364
   1975        9   0.000310     0.000438     0.000376
   1975       10   0.000134     0.000386     0.000263
   1975       11   0.000279     0.000268     0.000273
   1975       12   0.000145     0.000345     0.000247
   1975       13   0.000000     0.000355     0.000181
   1975       14   0.000219     0.000285     0.000253
   1975       15   0.000000     0.000284     0.000142
   1975       16   0.000411     0.000569     0.000488
   1975       17   0.000349     0.000847     0.000586
   1975       18   0.000286     0.001306     0.000747
   1975       19   0.000284     0.001367     0.000757
   1975       20   0.000426     0.001480     0.000884
   1975       21   0.000917     0.001884     0.001343
   1975       22   0.000753     0.001070     0.000897
   1975       23   0.000789     0.000976     0.000876
   1975       24   0.000682     0.001231     0.000943
   1975       25   0.000778     0.001382     0.001070
   1975       26   0.000669     0.000695     0.000682
   1975       27   0.000687     0.001184     0.000934
   1975       28   0.000656     0.001327     0.000991
   1975       29   0.000927     0.000673     0.000800
   1975       30   0.000610     0.001190     0.000898
   1975       31   0.000535     0.001672     0.001094
   1975       32   0.000924     0.000623     0.000776
   1975       33   0.000595     0.001649     0.001114
   1975       34   0.001121     0.001511     0.001314
   1975       35   0.000722     0.001737     0.001223
   1975       36   0.000930     0.001450     0.001187
   1975       37   0.001173     0.001820     0.001493
   1975       38   0.001204     0.002420     0.001806
   1975       39   0.001343     0.001619     0.001479
   1975       40   0.001848     0.002623     0.002230
   1975       41   0.001470     0.002120     0.001793
   1975       42   0.001898     0.002998     0.002451
   1975       43   0.001629     0.003071     0.002359
   1975       44   0.001894     0.002846     0.002377
   1975       45   0.002215     0.003210     0.002717
   1975       46   0.002573     0.004301     0.003447
   1975       47   0.003207     0.004817     0.004023
   1975       48   0.002279     0.005054     0.003674
   1975       49   0.003351     0.004446     0.003889
   1975       50   0.003081     0.005252     0.004123
   1975       51   0.003552     0.006628     0.004979
   1975       52   0.004828     0.005909     0.005305
   1975       53   0.003993     0.006457     0.005046
   1975       54   0.004166     0.007072     0.005406
   1975       55   0.005043     0.007843     0.006273
   1975       56   0.007052     0.007924     0.007442
   1975       57   0.006102     0.008897     0.007352
   1975       58   0.006319     0.011317     0.008568
   1975       59   0.007447     0.010826     0.008982
   1975       60   0.007859     0.013693     0.010516
   1975       61   0.007974     0.014429     0.010915
   1975       62   0.009400     0.013887     0.011422
   1975       63   0.012903     0.019328     0.015783
   1975       64   0.010529     0.021545     0.015533
