10.Gumma.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009979     0.012650     0.011339
   1975        1   0.001839     0.001589     0.001712
   1975        2   0.000692     0.001636     0.001173
   1975        3   0.000580     0.000802     0.000694
   1975        4   0.000467     0.000699     0.000586
   1975        5   0.000484     0.000592     0.000539
   1975        6   0.000494     0.000667     0.000583
   1975        7   0.000069     0.000520     0.000301
   1975        8   0.000480     0.000532     0.000506
   1975        9   0.000000     0.000000     0.000000
   1975       10   0.000148     0.000214     0.000181
   1975       11   0.000155     0.000223     0.000190
   1975       12   0.000161     0.000154     0.000157
   1975       13   0.000326     0.000155     0.000239
   1975       14   0.000163     0.000233     0.000199
   1975       15   0.000242     0.000463     0.000355
   1975       16   0.000235     0.001667     0.000964
   1975       17   0.000734     0.001369     0.001054
   1975       18   0.000350     0.000722     0.000534
   1975       19   0.000260     0.001565     0.000893
   1975       20   0.001089     0.001368     0.001223
   1975       21   0.000321     0.001159     0.000718
   1975       22   0.001185     0.001315     0.001247
   1975       23   0.000475     0.001634     0.001028
   1975       24   0.000632     0.001141     0.000879
   1975       25   0.000464     0.000967     0.000712
   1975       26   0.000722     0.001744     0.001231
   1975       27   0.000780     0.000940     0.000861
   1975       28   0.000708     0.001141     0.000927
   1975       29   0.000663     0.001201     0.000937
   1975       30   0.001052     0.000949     0.000999
   1975       31   0.000645     0.001191     0.000922
   1975       32   0.000708     0.001611     0.001164
   1975       33   0.000932     0.001194     0.001065
   1975       34   0.000730     0.001439     0.001089
   1975       35   0.001215     0.001618     0.001418
   1975       36   0.001312     0.002521     0.001922
   1975       37   0.000414     0.002386     0.001408
   1975       38   0.001044     0.002230     0.001644
   1975       39   0.001695     0.002412     0.002057
   1975       40   0.001211     0.002943     0.002081
   1975       41   0.001966     0.003142     0.002557
   1975       42   0.001766     0.003462     0.002617
   1975       43   0.001345     0.003670     0.002509
   1975       44   0.001927     0.003408     0.002669
   1975       45   0.002850     0.004057     0.003455
   1975       46   0.002388     0.004308     0.003349
   1975       47   0.001253     0.004499     0.002873
   1975       48   0.002784     0.004392     0.003585
   1975       49   0.002967     0.004883     0.003916
   1975       50   0.002994     0.004558     0.003751
   1975       51   0.003163     0.005866     0.004410
   1975       52   0.003649     0.007108     0.005138
   1975       53   0.003720     0.005494     0.004440
   1975       54   0.004040     0.005699     0.004721
   1975       55   0.004204     0.009351     0.006425
   1975       56   0.003442     0.008899     0.005877
   1975       57   0.006123     0.010985     0.008289
   1975       58   0.006340     0.012163     0.008932
   1975       59   0.008101     0.010082     0.008986
   1975       60   0.006587     0.013217     0.009545
   1975       61   0.010430     0.016293     0.013073
   1975       62   0.009235     0.014778     0.011764
   1975       63   0.011732     0.022083     0.016443
   1975       64   0.015588     0.022270     0.018642
   1975       65   0.013772     0.024326     0.018654
   1975       66   0.017677     0.025344     0.021274
   1975       67   0.020044     0.029221     0.024361
   1975       68   0.018108     0.036644     0.026881
   1975       69   0.022165     0.034837     0.028034
   1975       70   0.028409     0.041259     0.034245
   1975       71   0.029058     0.047771     0.037600
   1975       72   0.031320     0.052235     0.040737
   1975       73   0.035346     0.062576     0.047455
   1975       74   0.039724     0.069960     0.053092
   1975       75   0.044543     0.073314     0.057036
   1975       76   0.048761     0.082987     0.063215
   1975       77   0.061262     0.082854     0.070205
   1975       78   0.069110     0.108592     0.085388
   1975       79   0.088591     0.116822     0.100093
   1975       80   0.092464     0.119029     0.103006
   1975       81   0.103852     0.114768     0.108038
   1975       82   0.109025     0.150059     0.123974
   1975       83   0.115289     0.173670     0.136257
   1975       84   0.157976     0.161809     0.159352
   1975       85   0.147715     0.167385     0.154779
   1975       86   0.162525     0.220667     0.182480
   1975       87   0.190049     0.233741     0.204435
   1975       88   0.216036     0.264671     0.230530
   1975       89   0.176884     0.336753     0.220735
   1975       90   0.279693     0.281481     0.280155
   1975       91   0.275144     0.376840     0.301662
   1975       92   0.418162     0.379169     0.409346
   1975       93   0.346693     0.488644     0.377424
   1975       94   0.343284     0.355928     0.346156
   1975       95   0.370325     0.226287     0.344525
   1975       96   0.496720     0.375000     0.476115
   1975       97   0.506024     0.400000     0.477876
   1975       98   0.285714     0.705882     0.406780
   1975       99   0.620690     0.750000     0.648649
   1975      100   0.631579            .     0.631579
   1975      101   0.000000            .     0.000000
   1975      102          .     0.000000     0.000000
   1975      103   0.000000     1.500000     0.857143
   1975      104   0.000000            .     0.000000
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.009421     0.012774     0.011133
   1976        1   0.001858     0.000897     0.001369
   1976        2   0.000379     0.000670     0.000528
   1976        3   0.000815     0.000664     0.000738
   1976        4   0.000450     0.000800     0.000629
   1976        5   0.000200     0.000697     0.000455
   1976        6   0.000551     0.000393     0.000470
   1976        7   0.000352     0.000332     0.000342
   1976        8   0.000137     0.000324     0.000233
   1976        9   0.000319     0.000227     0.000272
   1976       10   0.000167     0.000561     0.000368
   1976       11   0.000148     0.000071     0.000109
   1976       12   0.000233     0.000446     0.000342
   1976       13   0.000323     0.000386     0.000355
   1976       14   0.000082     0.000315     0.000201
   1976       15   0.000417     0.000160     0.000286
   1976       16   0.000165     0.001282     0.000734
   1976       17   0.000080     0.001175     0.000635
   1976       18   0.000249     0.000664     0.000457
   1976       19   0.000532     0.001185     0.000853
   1976       20   0.000257     0.001553     0.000886
   1976       21   0.000499     0.002054     0.001248
   1976       22   0.000719     0.001659     0.001167
   1976       23   0.000587     0.000724     0.000653
   1976       24   0.000607     0.001170     0.000877
   1976       25   0.000757     0.001547     0.001142
   1976       26   0.000751     0.001425     0.001084
   1976       27   0.000890     0.001116     0.001003
   1976       28   0.000279     0.001327     0.000807
   1976       29   0.000641     0.000820     0.000732
   1976       30   0.000745     0.001053     0.000902
   1976       31   0.000964     0.001402     0.001187
   1976       32   0.000854     0.001473     0.001168
   1976       33   0.001129     0.001184     0.001157
   1976       34   0.001000     0.001537     0.001273
   1976       35   0.000585     0.001571     0.001086
   1976       36   0.001531     0.001278     0.001403
   1976       37   0.000874     0.001483     0.001182
   1976       38   0.001402     0.001959     0.001683
   1976       39   0.000963     0.003584     0.002288
   1976       40   0.000645     0.001862     0.001259
   1976       41   0.001855     0.002697     0.002278
   1976       42   0.001887     0.003291     0.002592
   1976       43   0.001763     0.003073     0.002421
   1976       44   0.002460     0.003617     0.003039
   1976       45   0.002246     0.004565     0.003406
   1976       46   0.002863     0.004197     0.003532
   1976       47   0.002550     0.004321     0.003435
