34.Hiroshima.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008365     0.010825     0.009627
   1975        1   0.001314     0.001329     0.001322
   1975        2   0.000825     0.001179     0.001006
   1975        3   0.000382     0.000688     0.000538
   1975        4   0.000750     0.000462     0.000603
   1975        5   0.000231     0.000744     0.000494
   1975        6   0.000285     0.000588     0.000440
   1975        7   0.000142     0.000497     0.000323
   1975        8   0.000278     0.000630     0.000459
   1975        9   0.000174     0.000386     0.000283
   1975       10   0.000105     0.000352     0.000231
   1975       11   0.000168     0.000160     0.000164
   1975       12   0.000461     0.000220     0.000338
   1975       13   0.000117     0.000281     0.000201
   1975       14   0.000176     0.000113     0.000144
   1975       15   0.000347     0.000496     0.000424
   1975       16   0.000394     0.001184     0.000798
   1975       17   0.000174     0.001346     0.000771
   1975       18   0.000243     0.001188     0.000721
   1975       19   0.000604     0.001263     0.000933
   1975       20   0.000764     0.001461     0.001106
   1975       21   0.000274     0.001046     0.000649
   1975       22   0.000152     0.000795     0.000466
   1975       23   0.000651     0.001141     0.000893
   1975       24   0.000682     0.000641     0.000661
   1975       25   0.000567     0.001305     0.000936
   1975       26   0.000703     0.000778     0.000740
   1975       27   0.000560     0.000796     0.000679
   1975       28   0.000533     0.001456     0.000999
   1975       29   0.000682     0.001138     0.000912
   1975       30   0.000498     0.001466     0.000983
   1975       31   0.000763     0.001186     0.000974
   1975       32   0.001248     0.001500     0.001374
   1975       33   0.000927     0.001258     0.001092
   1975       34   0.001244     0.002024     0.001633
   1975       35   0.001172     0.001469     0.001320
   1975       36   0.001263     0.002331     0.001796
   1975       37   0.001067     0.002491     0.001777
   1975       38   0.001117     0.001756     0.001436
   1975       39   0.001265     0.002368     0.001815
   1975       40   0.001545     0.003255     0.002395
   1975       41   0.001865     0.003421     0.002636
   1975       42   0.001513     0.002743     0.002123
   1975       43   0.001686     0.004193     0.002934
   1975       44   0.001917     0.003725     0.002820
   1975       45   0.001702     0.004624     0.003158
   1975       46   0.002013     0.004816     0.003401
   1975       47   0.002516     0.004549     0.003511
   1975       48   0.002695     0.005331     0.003977
   1975       49   0.003192     0.005821     0.004462
   1975       50   0.002318     0.005953     0.004041
   1975       51   0.003030     0.007372     0.005033
   1975       52   0.003827     0.008316     0.005846
   1975       53   0.004594     0.008019     0.006121
   1975       54   0.004767     0.007790     0.006117
   1975       55   0.004436     0.007901     0.005993
   1975       56   0.005716     0.009608     0.007469
   1975       57   0.006541     0.012242     0.009119
   1975       58   0.005121     0.010775     0.007686
   1975       59   0.007166     0.012820     0.009753
   1975       60   0.007978     0.015802     0.011568
   1975       61   0.008118     0.014175     0.010883
   1975       62   0.010927     0.015965     0.013221
   1975       63   0.011206     0.018987     0.014739
   1975       64   0.010918     0.017503     0.013906
   1975       65   0.012912     0.021618     0.016818
   1975       66   0.015798     0.024202     0.019597
   1975       67   0.016547     0.028267     0.021881
   1975       68   0.019023     0.032750     0.025257
   1975       69   0.017532     0.034387     0.025077
   1975       70   0.026246     0.034788     0.030023
   1975       71   0.022739     0.042271     0.031468
   1975       72   0.027972     0.043934     0.035066
   1975       73   0.030347     0.048387     0.038292
   1975       74   0.037158     0.055083     0.044973
   1975       75   0.040034     0.064951     0.050943
   1975       76   0.043276     0.068741     0.054276
   1975       77   0.051315     0.073922     0.060922
   1975       78   0.051854     0.089281     0.067772
   1975       79   0.079251     0.100025     0.087903
   1975       80   0.081322     0.100739     0.089265
   1975       81   0.090259     0.122110     0.103100
   1975       82   0.098194     0.133329     0.111932
   1975       83   0.114695     0.149228     0.128171
   1975       84   0.127612     0.150360     0.136406
   1975       85   0.151890     0.189427     0.165413
   1975       86   0.157748     0.190122     0.168915
   1975       87   0.162960     0.210733     0.178858
   1975       88   0.209317     0.269640     0.228213
   1975       89   0.207159     0.249866     0.220308
   1975       90   0.223124     0.306302     0.247730
   1975       91   0.250917     0.271940     0.256680
   1975       92   0.262429     0.222006     0.251484
   1975       93   0.297453     0.324640     0.304159
   1975       94   0.386717     0.496544     0.412348
   1975       95   0.379003     0.493403     0.409597
   1975       96   0.402441     0.396884     0.401177
   1975       97   0.262600     0.794118     0.361614
   1975       98   0.417848     0.428571     0.420184
   1975       99   0.422535     1.241379     0.561404
   1975      100   0.533333     0.857143     0.594595
   1975      101   0.473684     0.000000     0.409091
   1975      102   0.428571            .     0.428571
   1975      103   1.500000            .     1.500000
   1975      104   0.750000            .     0.750000
   1975      105   1.500000     0.000000     0.857143
   1975      106          .     6.000000     6.000000
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.008498     0.010308     0.009429
   1976        1   0.001370     0.001547     0.001460
   1976        2   0.000453     0.001059     0.000763
   1976        3   0.000496     0.000867     0.000686
   1976        4   0.000382     0.000527     0.000456
   1976        5   0.000309     0.000716     0.000518
   1976        6   0.000139     0.000350     0.000247
   1976        7   0.000428     0.000226     0.000324
   1976        8   0.000379     0.000271     0.000324
   1976        9   0.000111     0.000473     0.000297
   1976       10   0.000175     0.000221     0.000198
   1976       11   0.000211     0.000251     0.000232
   1976       12   0.000224     0.000372     0.000300
   1976       13   0.000115     0.000551     0.000338
   1976       14   0.000177     0.000339     0.000259
   1976       15   0.000237     0.000400     0.000320
   1976       16   0.000409     0.001583     0.001006
   1976       17   0.000511     0.000829     0.000672
   1976       18   0.000408     0.001034     0.000724
   1976       19   0.000487     0.001024     0.000757
   1976       20   0.000536     0.001206     0.000870
   1976       21   0.000408     0.001265     0.000830
   1976       22   0.000327     0.001147     0.000726
   1976       23   0.000603     0.001101     0.000847
   1976       24   0.000602     0.000898     0.000749
   1976       25   0.000851     0.000908     0.000879
   1976       26   0.000827     0.001479     0.001152
   1976       27   0.000742     0.001060     0.000901
   1976       28   0.000564     0.000871     0.000719
   1976       29   0.000656     0.001499     0.001082
   1976       30   0.000420     0.000897     0.000661
   1976       31   0.000645     0.001500     0.001073
   1976       32   0.000897     0.001101     0.000998
   1976       33   0.000847     0.001091     0.000968
   1976       34   0.000797     0.001485     0.001140
   1976       35   0.000881     0.001786     0.001332
   1976       36   0.001329     0.002221     0.001774
   1976       37   0.001324     0.002177     0.001750
   1976       38   0.001440     0.002106     0.001772
   1976       39   0.001170     0.002907     0.002036
   1976       40   0.001469     0.002448     0.001957
   1976       41   0.001340     0.002727     0.002028
   1976       42   0.001444     0.002536     0.001984
   1976       43   0.001983     0.003573     0.002770
   1976       44   0.001801     0.003530     0.002661
   1976       45   0.001697     0.004307     0.002998
   1976       46   0.002205     0.003606     0.002902
   1976       47   0.002179     0.004959     0.003553
   1976       48   0.002467     0.005239     0.003820
   1976       49   0.002703     0.005372     0.003999
   1976       50   0.002386     0.005927     0.004094
   1976       51   0.003846     0.006248     0.004982
   1976       52   0.003044     0.006814     0.004780
   1976       53   0.004177     0.008156     0.005961
   1976       54   0.005289     0.008510     0.006722
   1976       55   0.004377     0.007623     0.005823
   1976       56   0.004759     0.008055     0.006236
   1976       57   0.005503     0.010685     0.007831
   1976       58   0.004508     0.010138     0.007045
   1976       59   0.006210     0.012751     0.009167
   1976       60   0.006973     0.013015     0.009726
   1976       61   0.007615     0.014158     0.010605
   1976       62   0.010030     0.016902     0.013156
   1976       63   0.007266     0.017594     0.011946
   1976       64   0.010966     0.017946     0.014120
   1976       65   0.010663     0.023064     0.016263
   1976       66   0.012398     0.021179     0.016313
   1976       67   0.017761     0.025294     0.021148
   1976       68   0.015982     0.028798     0.021783
   1976       69   0.020658     0.035534     0.027364
   1976       70   0.021079     0.037002     0.028150
   1976       71   0.021847     0.039129     0.029419
   1976       72   0.025918     0.047799     0.035595
   1976       73   0.028198     0.051571     0.038471
   1976       74   0.031304     0.058842     0.043288
   1976       75   0.037562     0.063987     0.048926
   1976       76   0.046060     0.066671     0.054952
   1976       77   0.050679     0.077085     0.061939
   1976       78   0.057124     0.087497     0.069827
   1976       79   0.056037     0.094990     0.072311
   1976       80   0.081311     0.121580     0.097851
   1976       81   0.084850     0.106057     0.093379
   1976       82   0.103695     0.127649     0.113182
   1976       83   0.115739     0.135241     0.123242
   1976       84   0.121966     0.164319     0.138206
   1976       85   0.140590     0.159584     0.147770
   1976       86   0.153999     0.216871     0.176033
   1976       87   0.194963     0.241259     0.210506
   1976       88   0.179348     0.195968     0.184718
   1976       89   0.232849     0.276388     0.246085
   1976       90   0.220695     0.261569     0.232827
   1976       91   0.284776     0.370666     0.309442
   1976       92   0.285286     0.337256     0.299329
   1976       93   0.359979     0.467877     0.388187
   1976       94   0.368154     0.410413     0.378132
   1976       95   0.455276     0.415604     0.446099
   1976       96   0.332417     0.458400     0.362913
   1976       97   0.349500     0.822627     0.436033
   1976       98   0.465952     0.136364     0.407951
   1976       99   0.374912     0.187500     0.337437
   1976      100   0.466667     0.352941     0.448598
   1976      101   0.692308     0.000000     0.562500
   1976      102   1.125000     1.500000     1.200000
   1976      103   0.000000            .     0.000000
   1976      104   6.000000            .     6.000000
   1976      105   0.000000            .     0.000000
   1976      106   0.000000            .     0.000000
   1976      107          .            .            .
   1976      108          .            .            .
   1976      109          .            .            .
   1976      110+         .            .            .
   1977        0   0.007902     0.011222     0.009608
   1977        1   0.001049     0.001597     0.001331
   1977        2   0.000859     0.000860     0.000860
   1977        3   0.000661     0.001102     0.000887
   1977        4   0.000621     0.000988     0.000809
   1977        5   0.000340     0.000530     0.000437
   1977        6   0.000399     0.000465     0.000432
   1977        7   0.000231     0.000307     0.000270
   1977        8   0.000190     0.000272     0.000232
   1977        9   0.000142     0.000272     0.000209
   1977       10   0.000167     0.000263     0.000217
   1977       11   0.000175     0.000166     0.000170
   1977       12   0.000106     0.000252     0.000181
   1977       13   0.000168     0.000266     0.000219
   1977       14   0.000058     0.000443     0.000255
   1977       15   0.000299     0.000461     0.000381
   1977       16   0.000301     0.000590     0.000447
   1977       17   0.000296     0.000528     0.000413
   1977       18   0.000287     0.000862     0.000575
   1977       19   0.000293     0.001245     0.000767
   1977       20   0.000361     0.001411     0.000883
   1977       21   0.000470     0.001256     0.000860
   1977       22   0.000345     0.001123     0.000729
   1977       23   0.000654     0.000959     0.000803
   1977       24   0.000603     0.000828     0.000714
   1977       25   0.000418     0.001333     0.000872
   1977       26   0.000851     0.001198     0.001024
   1977       27   0.000452     0.001216     0.000834
   1977       28   0.000636     0.001036     0.000836
   1977       29   0.000282     0.001118     0.000703
   1977       30   0.000537     0.001151     0.000848
   1977       31   0.000371     0.000991     0.000683
   1977       32   0.000647     0.001412     0.001029
   1977       33   0.000676     0.001102     0.000888
   1977       34   0.000629     0.001551     0.001087
   1977       35   0.000757     0.001046     0.000901
   1977       36   0.001067     0.001566     0.001315
   1977       37   0.001121     0.001895     0.001507
   1977       38   0.001100     0.001703     0.001401
   1977       39   0.000964     0.002024     0.001493
   1977       40   0.000870     0.002376     0.001620
   1977       41   0.001878     0.002596     0.002235
   1977       42   0.001347     0.003964     0.002644
   1977       43   0.001287     0.002957     0.002112
   1977       44   0.001727     0.003737     0.002721
   1977       45   0.002497     0.004129     0.003307
   1977       46   0.002584     0.004834     0.003704
   1977       47   0.002157     0.004763     0.003451
   1977       48   0.002026     0.004999     0.003492
   1977       49   0.002477     0.005953     0.004169
   1977       50   0.002832     0.005615     0.004180
   1977       51   0.002746     0.006988     0.004787
   1977       52   0.002759     0.005266     0.003942
   1977       53   0.002998     0.007093     0.004880
   1977       54   0.004651     0.007337     0.005853
   1977       55   0.004036     0.008418     0.005980
   1977       56   0.004599     0.008633     0.006389
   1977       57   0.005216     0.008984     0.006900
   1977       58   0.005866     0.010793     0.008071
   1977       59   0.005862     0.010563     0.007974
   1977       60   0.007548     0.012631     0.009839
   1977       61   0.008014     0.014600     0.011002
   1977       62   0.008756     0.014655     0.011440
   1977       63   0.008260     0.017897     0.012622
   1977       64   0.009229     0.017304     0.012868
   1977       65   0.010362     0.019382     0.014416
   1977       66   0.012354     0.026457     0.018677
   1977       67   0.014291     0.024093     0.018633
   1977       68   0.015315     0.029700     0.021739
   1977       69   0.014412     0.034704     0.023532
   1977       70   0.023208     0.035838     0.028856
   1977       71   0.022808     0.040860     0.030750
   1977       72   0.024130     0.038292     0.030263
   1977       73   0.028003     0.047057     0.036331
   1977       74   0.032571     0.049404     0.039881
   1977       75   0.037281     0.059172     0.046675
   1977       76   0.041569     0.060700     0.049690
   1977       77   0.046631     0.065592     0.054713
   1977       78   0.053193     0.078549     0.063855
   1977       79   0.065261     0.095331     0.077618
   1977       80   0.066538     0.092737     0.077417
   1977       81   0.080594     0.111220     0.092960
   1977       82   0.094777     0.124552     0.106570
   1977       83   0.096859     0.133147     0.111003
   1977       84   0.109155     0.158015     0.127520
   1977       85   0.124824     0.156541     0.136762
   1977       86   0.135818     0.181896     0.152753
   1977       87   0.154293     0.207913     0.172445
   1977       88   0.175404     0.245692     0.198279
   1977       89   0.210013     0.219174     0.212905
