01.Hokkaido, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009860     0.012118     0.011019
   1975        1   0.001282     0.001786     0.001540
   1975        2   0.000915     0.001037     0.000978
   1975        3   0.000400     0.000970     0.000692
   1975        4   0.000635     0.000754     0.000696
   1975        5   0.000417     0.000640     0.000531
   1975        6   0.000397     0.000692     0.000548
   1975        7   0.000246     0.000390     0.000319
   1975        8   0.000304     0.000365     0.000335
   1975        9   0.000130     0.000374     0.000255
   1975       10   0.000325     0.000337     0.000331
   1975       11   0.000144     0.000278     0.000212
   1975       12   0.000171     0.000235     0.000204
   1975       13   0.000197     0.000473     0.000338
   1975       14   0.000296     0.000377     0.000337
   1975       15   0.000349     0.000401     0.000376
   1975       16   0.000126     0.000691     0.000416
   1975       17   0.000363     0.000924     0.000649
   1975       18   0.000609     0.001244     0.000927
   1975       19   0.000513     0.001040     0.000771
   1975       20   0.000632     0.001243     0.000925
   1975       21   0.000616     0.001100     0.000844
   1975       22   0.000572     0.001220     0.000876
   1975       23   0.000676     0.001158     0.000904
   1975       24   0.000618     0.001072     0.000835
   1975       25   0.000791     0.001413     0.001087
   1975       26   0.000553     0.001157     0.000842
   1975       27   0.000658     0.000996     0.000821
   1975       28   0.000777     0.001398     0.001076
   1975       29   0.000794     0.001103     0.000942
   1975       30   0.000892     0.001143     0.001013
   1975       31   0.000913     0.001425     0.001160
   1975       32   0.000830     0.001999     0.001393
   1975       33   0.000809     0.001657     0.001215
   1975       34   0.001107     0.001455     0.001274
   1975       35   0.001154     0.002063     0.001594
   1975       36   0.000866     0.001784     0.001311
   1975       37   0.000970     0.002255     0.001598
   1975       38   0.001219     0.002155     0.001682
   1975       39   0.001442     0.002006     0.001724
   1975       40   0.001586     0.002440     0.002014
   1975       41   0.001077     0.002967     0.002032
   1975       42   0.001713     0.003025     0.002381
   1975       43   0.001937     0.003542     0.002757
   1975       44   0.002120     0.003905     0.003036
   1975       45   0.001653     0.004665     0.003191
   1975       46   0.002080     0.004155     0.003133
   1975       47   0.003128     0.004934     0.004042
   1975       48   0.003048     0.005318     0.004194
   1975       49   0.003556     0.005548     0.004551
   1975       50   0.003098     0.005597     0.004326
   1975       51   0.003487     0.006028     0.004690
   1975       52   0.003871     0.007254     0.005409
   1975       53   0.004339     0.008678     0.006283
   1975       54   0.004536     0.009165     0.006612
   1975       55   0.005241     0.009222     0.007064
   1975       56   0.006130     0.012113     0.008904
   1975       57   0.005615     0.012154     0.008653
   1975       58   0.007559     0.012823     0.010037
   1975       59   0.007745     0.013136     0.010316
   1975       60   0.007397     0.013772     0.010472
   1975       61   0.008959     0.014919     0.011823
   1975       62   0.009062     0.018368     0.013486
   1975       63   0.011744     0.020089     0.015699
   1975       64   0.013811     0.021825     0.017644
   1975       65   0.014171     0.024993     0.019392
   1975       66   0.014954     0.027390     0.020976
   1975       67   0.018314     0.034426     0.026027
   1975       68   0.020093     0.033979     0.026765
   1975       69   0.020131     0.037616     0.028551
   1975       70   0.024661     0.039838     0.031864
   1975       71   0.029117     0.049432     0.038780
   1975       72   0.031561     0.051297     0.040798
   1975       73   0.040769     0.054367     0.047020
   1975       74   0.041644     0.061726     0.050733
   1975       75   0.050320     0.066846     0.057764
   1975       76   0.050798     0.072779     0.060632
   1975       77   0.059667     0.085045     0.070781
   1975       78   0.063145     0.083712     0.072043
   1975       79   0.076342     0.107964     0.089981
   1975       80   0.083398     0.108266     0.094035
   1975       81   0.094172     0.125763     0.107312
   1975       82   0.100306     0.155450     0.122926
   1975       83   0.131488     0.156062     0.141220
   1975       84   0.144915     0.173248     0.155758
   1975       85   0.153850     0.179756     0.163562
   1975       86   0.177664     0.226210     0.195070
   1975       87   0.190585     0.225320     0.202497
   1975       88   0.187792     0.190503     0.188681
   1975       89   0.198097     0.267513     0.221255
   1975       90   0.262600     0.307392     0.276752
   1975       91   0.242939     0.384121     0.284404
   1975       92   0.296835     0.396159     0.325660
   1975       93   0.294591     0.388826     0.319714
   1975       94   0.353635     0.358437     0.354911
   1975       95   0.272214     0.426631     0.314619
   1975       96   0.431633     0.194767     0.366149
   1975       97   0.482062     0.539530     0.499278
   1975       98   0.463397     0.867509     0.557992
   1975       99   0.556701     1.500000     0.717949
   1975      100   0.327273     0.461538     0.352941
   1975      101   0.230769     0.352941     0.279070
   1975      102   0.428571     0.000000     0.300000
   1975      103   0.000000     6.000000     0.461538
   1975      104   0.000000     0.000000     0.000000
   1975      105          .     6.000000     6.000000
   1975      106          .     0.000000     0.000000
   1975      107          .     6.000000     6.000000
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.009369     0.011208     0.010314
   1976        1   0.001213     0.001516     0.001368
   1976        2   0.000804     0.000996     0.000902
   1976        3   0.000523     0.000767     0.000648
   1976        4   0.000466     0.000400     0.000433
   1976        5   0.000431     0.000344     0.000387
   1976        6   0.000232     0.000662     0.000452
   1976        7   0.000163     0.000335     0.000251
   1976        8   0.000202     0.000433     0.000319
   1976        9   0.000330     0.000316     0.000323
   1976       10   0.000261     0.000199     0.000229
   1976       11   0.000210     0.000180     0.000194
   1976       12   0.000193     0.000231     0.000212
   1976       13   0.000196     0.000306     0.000252
   1976       14   0.000223     0.000618     0.000425
   1976       15   0.000348     0.000404     0.000377
   1976       16   0.000402     0.000719     0.000565
   1976       17   0.000228     0.000823     0.000532
   1976       18   0.000468     0.001370     0.000926
   1976       19   0.000533     0.001203     0.000867
   1976       20   0.000508     0.001178     0.000835
   1976       21   0.000533     0.001130     0.000820
   1976       22   0.000569     0.001012     0.000779
   1976       23   0.000631     0.001181     0.000891
   1976       24   0.000615     0.000859     0.000731
   1976       25   0.000487     0.001079     0.000770
   1976       26   0.000479     0.001449     0.000942
   1976       27   0.000555     0.001151     0.000841
   1976       28   0.000536     0.001133     0.000824
   1976       29   0.000694     0.001196     0.000936
   1976       30   0.000794     0.001177     0.000978
   1976       31   0.000666     0.001074     0.000862
   1976       32   0.000733     0.001161     0.000940
   1976       33   0.000677     0.001236     0.000946
   1976       34   0.000830     0.001560     0.001180
   1976       35   0.000823     0.001694     0.001242
   1976       36   0.000959     0.001789     0.001360
   1976       37   0.000967     0.001801     0.001371
   1976       38   0.001348     0.002372     0.001848
   1976       39   0.001148     0.001815     0.001478
   1976       40   0.001084     0.002894     0.001987
   1976       41   0.001491     0.002863     0.002178
   1976       42   0.001257     0.003113     0.002194
   1976       43   0.001234     0.003022     0.002144
   1976       44   0.001736     0.003882     0.002832
   1976       45   0.002199     0.004733     0.003497
   1976       46   0.002204     0.004525     0.003388
   1976       47   0.002694     0.004317     0.003516
   1976       48   0.002111     0.005080     0.003612
   1976       49   0.003357     0.005453     0.004413
   1976       50   0.002995     0.005795     0.004392
   1976       51   0.003101     0.006215     0.004628
   1976       52   0.004189     0.007194     0.005609
   1976       53   0.004331     0.008021     0.006005
   1976       54   0.004961     0.008771     0.006663
   1976       55   0.004875     0.009072     0.006751
   1976       56   0.005395     0.010875     0.007897
   1976       57   0.005955     0.010124     0.007882
   1976       58   0.006890     0.010972     0.008781
   1976       59   0.007589     0.012380     0.009837
   1976       60   0.007584     0.013898     0.010586
   1976       61   0.008322     0.014811     0.011442
   1976       62   0.010085     0.015451     0.012654
   1976       63   0.009410     0.018546     0.013734
   1976       64   0.012967     0.023479     0.017924
   1976       65   0.013082     0.022253     0.017446
   1976       66   0.014322     0.026806     0.020308
   1976       67   0.017395     0.026454     0.021753
   1976       68   0.018076     0.031422     0.024421
   1976       69   0.020863     0.037405     0.028753
   1976       70   0.023966     0.041503     0.032337
   1976       71   0.026037     0.042508     0.033780
   1976       72   0.028571     0.048021     0.037729
   1976       73   0.035222     0.051691     0.042854
   1976       74   0.037910     0.059929     0.047938
   1976       75   0.045594     0.062158     0.053008
   1976       76   0.047285     0.072218     0.058389
   1976       77   0.050851     0.085967     0.066298
   1976       78   0.067165     0.103375     0.082753
   1976       79   0.066376     0.092801     0.077611
   1976       80   0.093811     0.109327     0.100423
   1976       81   0.086316     0.112851     0.097519
   1976       82   0.093355     0.130212     0.108380
   1976       83   0.116055     0.149785     0.129602
   1976       84   0.125014     0.178265     0.145545
   1976       85   0.133803     0.177550     0.150207
   1976       86   0.144717     0.190233     0.161549
   1976       87   0.158808     0.230554     0.183594
   1976       88   0.193362     0.228609     0.205174
