28.Hyogo.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.007541     0.010162     0.008888
   1975        1   0.001059     0.001451     0.001260
   1975        2   0.000638     0.000879     0.000762
   1975        3   0.000428     0.000555     0.000493
   1975        4   0.000370     0.000748     0.000564
   1975        5   0.000192     0.000547     0.000374
   1975        6   0.000198     0.000586     0.000397
   1975        7   0.000369     0.000304     0.000336
   1975        8   0.000144     0.000270     0.000209
   1975        9   0.000208     0.000253     0.000231
   1975       10   0.000159     0.000386     0.000274
   1975       11   0.000254     0.000245     0.000249
   1975       12   0.000236     0.000140     0.000187
   1975       13   0.000123     0.000496     0.000314
   1975       14   0.000281     0.000360     0.000321
   1975       15   0.000216     0.000540     0.000380
   1975       16   0.000366     0.000803     0.000587
   1975       17   0.000372     0.000958     0.000666
   1975       18   0.000358     0.001130     0.000734
   1975       19   0.000333     0.001137     0.000720
   1975       20   0.000494     0.001113     0.000794
   1975       21   0.000624     0.001216     0.000914
   1975       22   0.000519     0.001140     0.000826
   1975       23   0.000633     0.000884     0.000758
   1975       24   0.000634     0.001265     0.000950
   1975       25   0.000796     0.000979     0.000888
   1975       26   0.000381     0.000876     0.000629
   1975       27   0.000711     0.000978     0.000845
   1975       28   0.000594     0.001076     0.000836
   1975       29   0.000686     0.000975     0.000831
   1975       30   0.000841     0.001144     0.000991
   1975       31   0.000888     0.001184     0.001036
   1975       32   0.000650     0.001254     0.000953
   1975       33   0.001180     0.001301     0.001241
   1975       34   0.001035     0.001742     0.001389
   1975       35   0.000898     0.001512     0.001206
   1975       36   0.000963     0.001582     0.001274
   1975       37   0.001149     0.001710     0.001430
   1975       38   0.001148     0.002249     0.001699
   1975       39   0.001229     0.002277     0.001754
   1975       40   0.001383     0.002431     0.001908
   1975       41   0.001625     0.003004     0.002317
   1975       42   0.001365     0.003074     0.002226
   1975       43   0.001880     0.003405     0.002649
   1975       44   0.002160     0.004614     0.003400
   1975       45   0.001624     0.004034     0.002840
   1975       46   0.002668     0.004213     0.003447
   1975       47   0.002265     0.004648     0.003469
   1975       48   0.002932     0.004223     0.003582
   1975       49   0.003216     0.006106     0.004651
   1975       50   0.003674     0.006178     0.004894
   1975       51   0.003587     0.006352     0.004883
   1975       52   0.004090     0.006537     0.005175
   1975       53   0.004739     0.007930     0.006106
   1975       54   0.004456     0.007557     0.005776
   1975       55   0.005321     0.008611     0.006743
   1975       56   0.005832     0.010430     0.007841
