08.Ibaraki.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009602     0.012745     0.011213
   1975        1   0.001695     0.001707     0.001701
   1975        2   0.000421     0.000940     0.000686
   1975        3   0.000807     0.000999     0.000906
   1975        4   0.000875     0.000512     0.000690
   1975        5   0.000555     0.000436     0.000494
   1975        6   0.000363     0.000592     0.000480
   1975        7   0.000355     0.000340     0.000347
   1975        8   0.000118     0.000449     0.000287
   1975        9   0.000123     0.000528     0.000330
   1975       10   0.000109     0.000528     0.000323
   1975       11   0.000000     0.000220     0.000112
   1975       12   0.000175     0.000226     0.000201
   1975       13   0.000357     0.000400     0.000379
   1975       14   0.000236     0.000679     0.000462
   1975       15   0.000403     0.000775     0.000593
   1975       16   0.000228     0.001586     0.000920
   1975       17   0.000593     0.001443     0.001024
   1975       18   0.000500     0.001429     0.000966
   1975       19   0.000745     0.001243     0.000993
   1975       20   0.000608     0.001845     0.001223
   1975       21   0.000410     0.001135     0.000768
   1975       22   0.000490     0.001372     0.000930
   1975       23   0.000406     0.001660     0.001036
   1975       24   0.000771     0.001181     0.000978
   1975       25   0.000811     0.001379     0.001099
   1975       26   0.000733     0.001067     0.000901
   1975       27   0.000476     0.001280     0.000881
   1975       28   0.000614     0.001640     0.001136
   1975       29   0.000397     0.001818     0.001127
   1975       30   0.000810     0.001030     0.000923
   1975       31   0.000811     0.001675     0.001252
   1975       32   0.001028     0.001428     0.001234
   1975       33   0.000880     0.001619     0.001267
   1975       34   0.000774     0.001587     0.001200
   1975       35   0.000611     0.001713     0.001185
   1975       36   0.000916     0.001814     0.001385
   1975       37   0.001316     0.002914     0.002156
   1975       38   0.000988     0.002703     0.001891
   1975       39   0.001552     0.002515     0.002057
   1975       40   0.001007     0.002899     0.001991
   1975       41   0.001427     0.002464     0.001963
   1975       42   0.001628     0.002707     0.002181
   1975       43   0.003532     0.003309     0.003418
   1975       44   0.002222     0.003443     0.002846
   1975       45   0.001854     0.004070     0.002984
   1975       46   0.002428     0.005149     0.003806
   1975       47   0.003406     0.004460     0.003935
   1975       48   0.003183     0.005415     0.004296
   1975       49   0.003133     0.005022     0.004069
   1975       50   0.002763     0.004808     0.003752
   1975       51   0.003610     0.007008     0.005181
   1975       52   0.004837     0.006678     0.005639
   1975       53   0.004636     0.007950     0.006016
   1975       54   0.004542     0.009192     0.006469
   1975       55   0.005581     0.008935     0.007008
   1975       56   0.005820     0.011647     0.008378
   1975       57   0.005873     0.011770     0.008512
   1975       58   0.006762     0.010675     0.008531
   1975       59   0.007965     0.014917     0.011111
   1975       60   0.006659     0.012874     0.009471
   1975       61   0.009531     0.014822     0.011937
   1975       62   0.009445     0.017796     0.013263
   1975       63   0.011385     0.019924     0.015310
   1975       64   0.012426     0.025590     0.018500
   1975       65   0.013724     0.024506     0.018711
   1975       66   0.013829     0.030086     0.021416
   1975       67   0.017691     0.031159     0.023923
   1975       68   0.020342     0.040885     0.029890
   1975       69   0.023624     0.042630     0.032433
   1975       70   0.029041     0.046987     0.037212
   1975       71   0.032087     0.049143     0.039831
   1975       72   0.031649     0.057118     0.043012
   1975       73   0.036140     0.057420     0.045582
   1975       74   0.041545     0.065283     0.051938
   1975       75   0.055587     0.081525     0.066736
   1975       76   0.049858     0.083850     0.064066
   1975       77   0.061570     0.099257     0.076838
   1975       78   0.073813     0.095145     0.082268
   1975       79   0.081922     0.125346     0.098696
   1975       80   0.092761     0.138533     0.110107
   1975       81   0.101232     0.121502     0.108691
   1975       82   0.101855     0.163268     0.123689
   1975       83   0.133138     0.162237     0.143148
   1975       84   0.153160     0.184209     0.163672
   1975       85   0.143498     0.200188     0.161631
   1975       86   0.165332     0.241151     0.187914
   1975       87   0.184643     0.256059     0.205865
   1975       88   0.210471     0.270486     0.226434
   1975       89   0.197637     0.230906     0.205727
   1975       90   0.226910     0.352153     0.254371
   1975       91   0.269061     0.434813     0.304377
   1975       92   0.287143     0.248671     0.279119
   1975       93   0.307243     0.402226     0.325766
   1975       94   0.317720     0.700475     0.386517
   1975       95   0.386995     0.526039     0.406912
   1975       96   0.334541     1.250000     0.414410
   1975       97   0.379114     0.483676     0.392157
   1975       98   0.586383     0.208261     0.496278
   1975       99   0.476190     0.461538     0.473684
   1975      100   0.818182     2.000000     1.071429
   1975      101   6.000000     6.000000     6.000000
   1975      102          .            .            .
   1975      103          .            .            .
   1975      104   0.000000            .     0.000000
   1975      105   0.000000            .     0.000000
   1975      106   0.000000            .     0.000000
   1975      107   6.000000            .     6.000000
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.009910     0.011136     0.010539
   1976        1   0.001267     0.001905     0.001594
   1976        2   0.000466     0.000756     0.000614
   1976        3   0.000416     0.001152     0.000792
   1976        4   0.000424     0.000630     0.000529
   1976        5   0.000385     0.000646     0.000519
   1976        6   0.000200     0.000336     0.000269
   1976        7   0.000566     0.000441     0.000502
   1976        8   0.000050     0.000289     0.000172
   1976        9   0.000175     0.000390     0.000285
   1976       10   0.000000     0.000467     0.000239
   1976       11   0.000327     0.000210     0.000268
   1976       12   0.000057     0.000219     0.000140
   1976       13   0.000410     0.000453     0.000431
   1976       14   0.000180     0.000346     0.000265
   1976       15   0.000299     0.000632     0.000469
   1976       16   0.000526     0.001358     0.000950
   1976       17   0.000347     0.001563     0.000966
   1976       18   0.000300     0.001233     0.000773
   1976       19   0.000378     0.001493     0.000938
   1976       20   0.000613     0.001352     0.000983
   1976       21   0.000602     0.001085     0.000843
   1976       22   0.000927     0.000992     0.000960
   1976       23   0.000645     0.001236     0.000941
   1976       24   0.000802     0.001139     0.000972
   1976       25   0.000619     0.001655     0.001142
   1976       26   0.001113     0.001309     0.001213
   1976       27   0.000642     0.001263     0.000955
   1976       28   0.000815     0.001399     0.001109
   1976       29   0.000555     0.001621     0.001097
   1976       30   0.000785     0.001324     0.001062
   1976       31   0.000799     0.001183     0.000996
   1976       32   0.000693     0.001504     0.001107
   1976       33   0.000963     0.001110     0.001039
   1976       34   0.000983     0.001452     0.001229
   1976       35   0.001102     0.001415     0.001266
   1976       36   0.001327     0.001796     0.001571
   1976       37   0.001237     0.001759     0.001510
   1976       38   0.001554     0.001695     0.001628
   1976       39   0.001414     0.002751     0.002118
   1976       40   0.001423     0.003614     0.002572
   1976       41   0.002005     0.003543     0.002805
   1976       42   0.001620     0.003241     0.002458
   1976       43   0.002120     0.003494     0.002825
   1976       44   0.001986     0.003326     0.002670
   1976       45   0.002215     0.005056     0.003667
   1976       46   0.002689     0.004855     0.003793
   1976       47   0.002552     0.004657     0.003618
   1976       48   0.001864     0.005250     0.003561
   1976       49   0.003181     0.006170     0.004669
   1976       50   0.003458     0.004429     0.003939
   1976       51   0.003437     0.007135     0.005224
   1976       52   0.003338     0.005140     0.004170
   1976       53   0.004414     0.006427     0.005290
   1976       54   0.004343     0.007667     0.005725
   1976       55   0.005160     0.008944     0.006724
   1976       56   0.005601     0.008865     0.006986
   1976       57   0.006459     0.008927     0.007540
   1976       58   0.006782     0.010359     0.008379
   1976       59   0.007349     0.014873     0.010740
   1976       60   0.008555     0.010364     0.009371
   1976       61   0.009275     0.015591     0.012128
   1976       62   0.009311     0.019240     0.013804
   1976       63   0.009415     0.021454     0.014894
   1976       64   0.010981     0.020800     0.015467
   1976       65   0.015954     0.020464     0.018025
   1976       66   0.013338     0.025187     0.018790
   1976       67   0.016937     0.030659     0.023293
   1976       68   0.018446     0.029675     0.023596
