17.Ishikawa.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008197     0.011123     0.009708
   1975        1   0.001341     0.001173     0.001255
   1975        2   0.000617     0.001266     0.000950
   1975        3   0.000633     0.000901     0.000771
   1975        4   0.000327     0.000523     0.000427
   1975        5   0.000462     0.000990     0.000733
   1975        6   0.000000     0.001028     0.000527
   1975        7   0.000234     0.000561     0.000401
   1975        8   0.000542     0.000513     0.000527
   1975        9   0.000000     0.000267     0.000137
   1975       10   0.000376     0.000120     0.000246
   1975       11   0.000260     0.000249     0.000255
   1975       12   0.000133     0.000257     0.000196
   1975       13   0.000000     0.000260     0.000133
   1975       14   0.000544     0.000258     0.000397
   1975       15   0.000401     0.000254     0.000325
   1975       16   0.000000     0.000874     0.000443
   1975       17   0.000397     0.000265     0.000331
   1975       18   0.000143     0.001300     0.000719
   1975       19   0.000143     0.001824     0.000989
   1975       20   0.000553     0.000945     0.000752
   1975       21   0.000269     0.001084     0.000676
   1975       22   0.000387     0.001335     0.000853
   1975       23   0.000243     0.001657     0.000932
   1975       24   0.000670     0.000808     0.000738
   1975       25   0.000859     0.001402     0.001127
   1975       26   0.000773     0.000796     0.000784
   1975       27   0.000585     0.001002     0.000794
   1975       28   0.000611     0.001425     0.001021
   1975       29   0.000581     0.000733     0.000657
   1975       30   0.000961     0.001133     0.001046
   1975       31   0.001396     0.001925     0.001658
   1975       32   0.000226     0.000926     0.000574
   1975       33   0.001608     0.001975     0.001791
   1975       34   0.000613     0.001127     0.000869
   1975       35   0.000422     0.001890     0.001149
   1975       36   0.001353     0.001896     0.001620
   1975       37   0.001697     0.002248     0.001966
   1975       38   0.000650     0.002256     0.001425
   1975       39   0.001280     0.001394     0.001335
   1975       40   0.001858     0.001451     0.001661
   1975       41   0.001052     0.002151     0.001582
   1975       42   0.001014     0.003748     0.002328
   1975       43   0.002157     0.003888     0.002988
   1975       44   0.002471     0.003109     0.002779
   1975       45   0.001455     0.003769     0.002571
   1975       46   0.002374     0.003739     0.003030
   1975       47   0.001907     0.004028     0.002925
   1975       48   0.002948     0.004278     0.003589
   1975       49   0.002775     0.006418     0.004517
   1975       50   0.004020     0.005084     0.004519
   1975       51   0.005268     0.007356     0.006228
   1975       52   0.003726     0.006169     0.004806
   1975       53   0.004923     0.008180     0.006334
   1975       54   0.004836     0.007509     0.006019
   1975       55   0.006141     0.008020     0.006997
   1975       56   0.005825     0.009610     0.007539
   1975       57   0.005260     0.011169     0.007906
   1975       58   0.008856     0.009808     0.009283
   1975       59   0.006792     0.015707     0.010784
   1975       60   0.007636     0.014934     0.010899
   1975       61   0.006200     0.018232     0.011563
   1975       62   0.009356     0.015519     0.012093
   1975       63   0.011621     0.018054     0.014475
   1975       64   0.011716     0.022813     0.016663
   1975       65   0.011756     0.028412     0.019166
   1975       66   0.017217     0.023614     0.020092
   1975       67   0.016759     0.028429     0.022007
   1975       68   0.020817     0.030470     0.025160
   1975       69   0.021424     0.034273     0.027125
   1975       70   0.022068     0.050378     0.034340
   1975       71   0.030201     0.045903     0.037159
   1975       72   0.037928     0.051792     0.044082
   1975       73   0.039673     0.057139     0.047303
   1975       74   0.043968     0.067780     0.054219
   1975       75   0.048030     0.071140     0.057891
   1975       76   0.049687     0.078256     0.061512
