03.Iwate.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.011522     0.014761     0.013176
   1975        1   0.001723     0.003111     0.002434
   1975        2   0.000913     0.000961     0.000937
   1975        3   0.000938     0.000537     0.000733
   1975        4   0.000664     0.000446     0.000552
   1975        5   0.000563     0.001055     0.000817
   1975        6   0.000549     0.000433     0.000489
   1975        7   0.000522     0.000418     0.000469
   1975        8   0.000197     0.000468     0.000336
   1975        9   0.000296     0.000188     0.000241
   1975       10   0.000259     0.000000     0.000127
   1975       11   0.000176     0.000414     0.000298
   1975       12   0.000000     0.000330     0.000169
   1975       13   0.000172     0.000329     0.000252
   1975       14   0.000169     0.000325     0.000249
   1975       15   0.000168     0.000161     0.000165
   1975       16   0.000168     0.001196     0.000696
   1975       17   0.000464     0.001251     0.000866
   1975       18   0.000579     0.001257     0.000921
   1975       19   0.001028     0.001682     0.001353
   1975       20   0.000727     0.001783     0.001242
   1975       21   0.000657     0.001574     0.001092
   1975       22   0.000298     0.001006     0.000632
   1975       23   0.000282     0.001232     0.000736
   1975       24   0.000269     0.001426     0.000830
   1975       25   0.001155     0.001750     0.001445
   1975       26   0.000720     0.001252     0.000981
   1975       27   0.000420     0.001453     0.000933
   1975       28   0.000403     0.001738     0.001068
   1975       29   0.001143     0.001853     0.001491
   1975       30   0.001753     0.002288     0.002012
   1975       31   0.000601     0.001511     0.001041
   1975       32   0.000585     0.001701     0.001121
   1975       33   0.001437     0.001481     0.001458
   1975       34   0.001123     0.002303     0.001684
   1975       35   0.001174     0.001890     0.001512
   1975       36   0.001590     0.002135     0.001848
   1975       37   0.000460     0.002898     0.001614
   1975       38   0.000712     0.003887     0.002220
   1975       39   0.001132     0.002532     0.001798
   1975       40   0.001294     0.002737     0.001979
   1975       41   0.002116     0.003051     0.002562
   1975       42   0.001377     0.004343     0.002801
   1975       43   0.001300     0.004045     0.002624
   1975       44   0.001421     0.003652     0.002500
   1975       45   0.001522     0.004077     0.002761
   1975       46   0.001920     0.003878     0.002874
   1975       47   0.001977     0.004489     0.003204
   1975       48   0.002682     0.004719     0.003672
   1975       49   0.002522     0.006009     0.004201
   1975       50   0.003201     0.004805     0.003966
   1975       51   0.003443     0.008113     0.005599
   1975       52   0.003721     0.007753     0.005483
   1975       53   0.004378     0.009330     0.006445
   1975       54   0.005362     0.009431     0.007050
   1975       55   0.005410     0.010561     0.007629
   1975       56   0.005818     0.010691     0.007967
   1975       57   0.006949     0.011491     0.008959
   1975       58   0.005573     0.012713     0.008760
   1975       59   0.008553     0.013794     0.010921
   1975       60   0.008693     0.019432     0.013585
   1975       61   0.010190     0.013611     0.011755
   1975       62   0.010947     0.017308     0.013890
   1975       63   0.010503     0.018315     0.014105
   1975       64   0.011372     0.024214     0.017213
   1975       65   0.015667     0.023471     0.019228
   1975       66   0.014202     0.027134     0.020184
   1975       67   0.018651     0.032649     0.025069
   1975       68   0.020165     0.039924     0.029203
   1975       69   0.023627     0.039474     0.030855
   1975       70   0.021094     0.050272     0.034125
   1975       71   0.025670     0.045906     0.034723
   1975       72   0.032251     0.053866     0.041863
   1975       73   0.038723     0.065147     0.050336
   1975       74   0.043069     0.061859     0.051223
   1975       75   0.047005     0.077645     0.060235
   1975       76   0.057529     0.083365     0.068400
   1975       77   0.064499     0.099162     0.078627
   1975       78   0.065641     0.094526     0.077386
   1975       79   0.084759     0.106244     0.093216
   1975       80   0.086871     0.116490     0.098586
   1975       81   0.093208     0.151150     0.116199
   1975       82   0.113084     0.146214     0.125863
   1975       83   0.133918     0.151808     0.140483
   1975       84   0.138483     0.173674     0.151347
   1975       85   0.180548     0.147317     0.168990
   1975       86   0.180669     0.234685     0.198513
   1975       87   0.207941     0.216243     0.210657
   1975       88   0.227513     0.265658     0.239049
   1975       89   0.215499     0.279091     0.233625
   1975       90   0.224645     0.312566     0.254304
   1975       91   0.290496     0.376103     0.317779
