37.Kagawa.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.012602     0.014328     0.013491
   1975        1   0.001893     0.001423     0.001650
   1975        2   0.000382     0.000834     0.000615
   1975        3   0.000917     0.001108     0.001016
   1975        4   0.000404     0.000892     0.000655
   1975        5   0.000280     0.000790     0.000543
   1975        6   0.000431     0.001487     0.000976
   1975        7   0.000140     0.000667     0.000410
   1975        8   0.000329     0.000000     0.000160
   1975        9   0.000169     0.000161     0.000165
   1975       10   0.000000     0.000423     0.000215
   1975       11   0.000155     0.000148     0.000151
   1975       12   0.000000     0.000151     0.000078
   1975       13   0.000320     0.000153     0.000235
   1975       14   0.000316     0.000454     0.000386
   1975       15   0.000293     0.000143     0.000217
   1975       16   0.000414     0.000686     0.000550
   1975       17   0.000295     0.000752     0.000522
   1975       18   0.000493     0.001265     0.000862
   1975       19   0.000338     0.001401     0.000823
   1975       20   0.000336     0.001457     0.000835
   1975       21   0.000469     0.000980     0.000696
   1975       22   0.000566     0.001536     0.001006
   1975       23   0.000391     0.000606     0.000490
   1975       24   0.000609     0.001355     0.000962
   1975       25   0.000754     0.001145     0.000943
   1975       26   0.000984     0.001116     0.001049
   1975       27   0.000787     0.001364     0.001078
   1975       28   0.000603     0.001421     0.001018
   1975       29   0.001829     0.000823     0.001322
   1975       30   0.000790     0.001949     0.001368
   1975       31   0.000561     0.001879     0.001213
   1975       32   0.000965     0.001731     0.001342
   1975       33   0.000542     0.001275     0.000903
   1975       34   0.000561     0.001161     0.000858
   1975       35   0.000952     0.002286     0.001614
   1975       36   0.000654     0.001568     0.001100
   1975       37   0.001468     0.002398     0.001916
   1975       38   0.001235     0.002249     0.001723
   1975       39   0.001227     0.002956     0.002062
   1975       40   0.001667     0.002585     0.002110
   1975       41   0.002217     0.002531     0.002369
   1975       42   0.002362     0.002069     0.002218
   1975       43   0.001441     0.002611     0.002015
   1975       44   0.002450     0.003148     0.002793
   1975       45   0.002614     0.002926     0.002767
   1975       46   0.002321     0.003124     0.002716
   1975       47   0.002376     0.005578     0.003948
   1975       48   0.002946     0.005125     0.004003
   1975       49   0.002845     0.004702     0.003733
   1975       50   0.004703     0.006290     0.005445
   1975       51   0.003273     0.006710     0.004847
   1975       52   0.003181     0.005299     0.004113
   1975       53   0.004050     0.005757     0.004775
   1975       54   0.004195     0.006144     0.005024
   1975       55   0.004959     0.006831     0.005766
   1975       56   0.005017     0.008044     0.006343
   1975       57   0.005360     0.010402     0.007549
   1975       58   0.005536     0.010747     0.007772
   1975       59   0.007958     0.012492     0.009946
   1975       60   0.007005     0.013505     0.009888
   1975       61   0.007292     0.017514     0.011813
   1975       62   0.007541     0.014140     0.010438
   1975       63   0.008615     0.018849     0.013096
   1975       64   0.008857     0.015018     0.011604
   1975       65   0.012544     0.018262     0.015125
   1975       66   0.012100     0.021709     0.016418
   1975       67   0.014234     0.031641     0.021952
   1975       68   0.016936     0.035023     0.025111
   1975       69   0.015961     0.036257     0.025241
   1975       70   0.020254     0.040628     0.029494
   1975       71   0.025082     0.038938     0.031401
   1975       72   0.029423     0.037394     0.033038
   1975       73   0.028373     0.049690     0.038028
   1975       74   0.033661     0.057052     0.044116
   1975       75   0.037060     0.052924     0.044015
   1975       76   0.041073     0.060266     0.049376
   1975       77   0.053685     0.077986     0.064016
   1975       78   0.062238     0.078875     0.069181
   1975       79   0.068241     0.098125     0.080563
   1975       80   0.070427     0.117157     0.089654
   1975       81   0.095609     0.127054     0.108517
   1975       82   0.095970     0.132739     0.110489
   1975       83   0.109980     0.157185     0.127783
   1975       84   0.117522     0.149041     0.129535
   1975       85   0.139256     0.198134     0.160893
   1975       86   0.173967     0.225686     0.191684
   1975       87   0.187912     0.246177     0.207788
   1975       88   0.178773     0.207899     0.187699
   1975       89   0.215048     0.258588     0.228095
   1975       90   0.245787     0.303305     0.263304
   1975       91   0.218462     0.205599     0.214794
   1975       92   0.335169     0.300310     0.325555
   1975       93   0.222597     0.287093     0.240627
   1975       94   0.409091     0.328430     0.387347
