46.Kagoshima.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.012061     0.013520     0.012811
   1975        1   0.002059     0.002275     0.002170
   1975        2   0.001020     0.001144     0.001083
   1975        3   0.001038     0.000540     0.000785
   1975        4   0.000482     0.000542     0.000513
   1975        5   0.000239     0.000848     0.000548
   1975        6   0.000000     0.001354     0.000689
   1975        7   0.000291     0.000560     0.000428
   1975        8   0.000159     0.000678     0.000425
   1975        9   0.000394     0.000300     0.000346
   1975       10   0.000205     0.000264     0.000235
   1975       11   0.000135     0.000456     0.000298
   1975       12   0.000267     0.000322     0.000295
   1975       13   0.000263     0.000316     0.000290
   1975       14   0.000697     0.000122     0.000404
   1975       15   0.000188     0.000536     0.000367
   1975       16   0.000562     0.000939     0.000756
   1975       17   0.000344     0.000732     0.000542
   1975       18   0.000614     0.001473     0.001034
   1975       19   0.001010     0.001066     0.001036
   1975       20   0.001134     0.002068     0.001543
   1975       21   0.000260     0.001954     0.000988
   1975       22   0.000483     0.002312     0.001276
   1975       23   0.000385     0.001437     0.000855
   1975       24   0.001321     0.001444     0.001378
   1975       25   0.000672     0.001599     0.001109
   1975       26   0.000788     0.001895     0.001316
   1975       27   0.000993     0.001623     0.001299
   1975       28   0.000945     0.001790     0.001358
   1975       29   0.000605     0.002043     0.001306
   1975       30   0.001359     0.001103     0.001235
   1975       31   0.000887     0.001734     0.001292
   1975       32   0.000479     0.002022     0.001214
   1975       33   0.000912     0.002028     0.001443
   1975       34   0.001415     0.002217     0.001793
   1975       35   0.001090     0.002348     0.001674
   1975       36   0.000635     0.002139     0.001331
   1975       37   0.001263     0.003245     0.002183
   1975       38   0.002347     0.003399     0.002836
   1975       39   0.001427     0.003451     0.002378
   1975       40   0.001078     0.002911     0.001942
   1975       41   0.002661     0.003489     0.003050
   1975       42   0.002452     0.004955     0.003626
   1975       43   0.001726     0.003955     0.002771
   1975       44   0.001671     0.004143     0.002834
   1975       45   0.002091     0.004304     0.003132
   1975       46   0.002659     0.004568     0.003549
   1975       47   0.002511     0.005215     0.003753
   1975       48   0.004068     0.006062     0.004979
   1975       49   0.003084     0.005286     0.004075
   1975       50   0.003360     0.006258     0.004628
   1975       51   0.004479     0.007174     0.005624
   1975       52   0.004224     0.007941     0.005761
   1975       53   0.005452     0.007639     0.006344
   1975       54   0.005133     0.008740     0.006615
   1975       55   0.006111     0.009235     0.007425
   1975       56   0.005241     0.009682     0.007122
   1975       57   0.007940     0.012326     0.009805
   1975       58   0.005781     0.012790     0.008760
   1975       59   0.006357     0.013035     0.009213
   1975       60   0.007772     0.015711     0.011206
   1975       61   0.008956     0.016940     0.012398
   1975       62   0.009492     0.019072     0.013656
