14.Kanagawa.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.007404     0.009663     0.008565
   1975        1   0.000859     0.001218     0.001044
   1975        2   0.000627     0.000817     0.000725
   1975        3   0.000460     0.000529     0.000495
   1975        4   0.000294     0.000420     0.000358
   1975        5   0.000273     0.000582     0.000432
   1975        6   0.000213     0.000637     0.000431
   1975        7   0.000213     0.000321     0.000269
   1975        8   0.000228     0.000433     0.000333
   1975        9   0.000177     0.000271     0.000225
   1975       10   0.000103     0.000255     0.000181
   1975       11   0.000091     0.000172     0.000132
   1975       12   0.000243     0.000345     0.000296
   1975       13   0.000077     0.000194     0.000137
   1975       14   0.000160     0.000327     0.000246
   1975       15   0.000302     0.000355     0.000330
   1975       16   0.000310     0.000859     0.000600
   1975       17   0.000360     0.000501     0.000436
   1975       18   0.000224     0.000802     0.000544
   1975       19   0.000270     0.000924     0.000640
   1975       20   0.000569     0.000704     0.000646
   1975       21   0.000452     0.000748     0.000621
   1975       22   0.000405     0.000694     0.000567
   1975       23   0.000557     0.000736     0.000656
   1975       24   0.000553     0.000960     0.000774
   1975       25   0.000540     0.000745     0.000649
   1975       26   0.000454     0.000717     0.000591
   1975       27   0.000487     0.000730     0.000612
   1975       28   0.000539     0.000745     0.000645
   1975       29   0.000565     0.000793     0.000682
   1975       30   0.000484     0.000841     0.000667
   1975       31   0.000625     0.000985     0.000809
   1975       32   0.000605     0.000987     0.000800
   1975       33   0.000720     0.001070     0.000899
   1975       34   0.000680     0.001506     0.001105
   1975       35   0.000825     0.001280     0.001061
   1975       36   0.000945     0.001362     0.001163
   1975       37   0.001380     0.001393     0.001387
   1975       38   0.000994     0.001756     0.001394
   1975       39   0.001110     0.002242     0.001704
   1975       40   0.001405     0.002275     0.001859
   1975       41   0.001430     0.002350     0.001911
   1975       42   0.001602     0.003128     0.002399
   1975       43   0.001623     0.002836     0.002256
   1975       44   0.001813     0.003677     0.002788
   1975       45   0.002124     0.003681     0.002937
   1975       46   0.002156     0.004219     0.003231
   1975       47   0.001977     0.004777     0.003438
   1975       48   0.002881     0.004689     0.003823
   1975       49   0.002879     0.004472     0.003696
   1975       50   0.002988     0.004864     0.003928
   1975       51   0.003764     0.005454     0.004581
   1975       52   0.003971     0.005537     0.004700
   1975       53   0.005174     0.006013     0.005557
   1975       54   0.005106     0.007707     0.006282
   1975       55   0.004224     0.007617     0.005772
   1975       56   0.005653     0.008694     0.007053
   1975       57   0.004807     0.009240     0.006879
   1975       58   0.006497     0.009814     0.008069
   1975       59   0.006795     0.010326     0.008483
   1975       60   0.007863     0.012257     0.009973
   1975       61   0.008758     0.013372     0.010964
   1975       62   0.008052     0.016426     0.012018
   1975       63   0.009832     0.016479     0.012963
   1975       64   0.011942     0.018816     0.015176
   1975       65   0.011898     0.023068     0.017104
   1975       66   0.013269     0.024060     0.018295
   1975       67   0.015632     0.025717     0.020309
   1975       68   0.017295     0.032403     0.024373
   1975       69   0.021305     0.036202     0.028255
   1975       70   0.025703     0.036180     0.030473
   1975       71   0.024479     0.043264     0.033006
   1975       72   0.030387     0.049200     0.038850
   1975       73   0.029685     0.053388     0.040192
   1975       74   0.039103     0.060177     0.048204
   1975       75   0.039683     0.066345     0.051040
   1975       76   0.042358     0.072021     0.054883
   1975       77   0.060058     0.079328     0.068046
   1975       78   0.061587     0.093156     0.074336
   1975       79   0.071039     0.103986     0.084139
   1975       80   0.082996     0.105719     0.091985
   1975       81   0.093586     0.121748     0.104217
   1975       82   0.110095     0.136510     0.119816
   1975       83   0.108689     0.139700     0.120129
   1975       84   0.131669     0.184609     0.150479
   1975       85   0.117799     0.171913     0.136273
   1975       86   0.156384     0.194967     0.169142
   1975       87   0.160896     0.218593     0.178786
   1975       88   0.203224     0.194522     0.200614
   1975       89   0.203445     0.222565     0.208880
   1975       90   0.210855     0.237076     0.218113
   1975       91   0.287167     0.375073     0.311213
   1975       92   0.322392     0.350548     0.329422
   1975       93   0.280843     0.338483     0.294296
   1975       94   0.414352     0.217764     0.369507
   1975       95   0.425190     0.272515     0.390394
   1975       96   0.537386     0.324324     0.485649
   1975       97   0.282979     0.313643     0.289511
   1975       98   0.437860     0.236314     0.406354
   1975       99   0.365854     0.800000     0.432990
   1975      100   1.615385     0.000000     1.312500
   1975      101   0.750000     0.000000     0.545455
   1975      102   1.500000     3.000000     2.000000
   1975      103   1.333333            .     1.333333
   1975      104   6.000000     3.000000     4.500000
   1975      105          .            .            .
   1975      106          .     0.000000     0.000000
   1975      107          .     0.000000     0.000000
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.006903     0.008990     0.007975
   1976        1   0.000842     0.000941     0.000893
   1976        2   0.000606     0.000512     0.000558
   1976        3   0.000235     0.000536     0.000390
   1976        4   0.000270     0.000530     0.000403
   1976        5   0.000245     0.000295     0.000271
   1976        6   0.000239     0.000372     0.000307
   1976        7   0.000160     0.000335     0.000250
   1976        8   0.000142     0.000254     0.000199
   1976        9   0.000290     0.000217     0.000252
   1976       10   0.000110     0.000354     0.000236
   1976       11   0.000185     0.000254     0.000221
   1976       12   0.000136     0.000236     0.000187
   1976       13   0.000266     0.000274     0.000270
   1976       14   0.000151     0.000236     0.000195
   1976       15   0.000129     0.000451     0.000297
   1976       16   0.000212     0.000693     0.000465
   1976       17   0.000300     0.000691     0.000509
   1976       18   0.000269     0.000867     0.000593
   1976       19   0.000272     0.000793     0.000561
   1976       20   0.000335     0.000658     0.000517
   1976       21   0.000393     0.000830     0.000642
   1976       22   0.000515     0.000889     0.000726
   1976       23   0.000400     0.000747     0.000593
   1976       24   0.000441     0.000543     0.000497
   1976       25   0.000499     0.000718     0.000617
   1976       26   0.000405     0.000768     0.000597
   1976       27   0.000653     0.000793     0.000726
   1976       28   0.000527     0.000873     0.000705
   1976       29   0.000538     0.000762     0.000653
   1976       30   0.000448     0.000771     0.000614
   1976       31   0.000624     0.000969     0.000800
   1976       32   0.000639     0.001141     0.000895
   1976       33   0.000929     0.001062     0.000997
   1976       34   0.000861     0.001312     0.001092
   1976       35   0.000732     0.001147     0.000945
   1976       36   0.000730     0.001395     0.001075
   1976       37   0.000725     0.001525     0.001142
   1976       38   0.000826     0.001460     0.001158
   1976       39   0.000993     0.001959     0.001499
   1976       40   0.001328     0.001914     0.001635
   1976       41   0.001444     0.002622     0.002059
   1976       42   0.001718     0.002976     0.002375
   1976       43   0.001443     0.003373     0.002450
