39.Kochi.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009739     0.011316     0.010544
   1975        1   0.001805     0.002336     0.002077
   1975        2   0.001944     0.001535     0.001734
   1975        3   0.000658     0.000627     0.000642
   1975        4   0.001020     0.000806     0.000910
   1975        5   0.000354     0.000663     0.000514
   1975        6   0.000182     0.001194     0.000705
   1975        7   0.000354     0.000507     0.000432
   1975        8   0.000824     0.000587     0.000702
   1975        9   0.000211     0.000396     0.000306
   1975       10   0.000177     0.000514     0.000348
   1975       11   0.000176     0.000341     0.000260
   1975       12   0.000358     0.000681     0.000523
   1975       13   0.000549     0.000173     0.000356
   1975       14   0.000544     0.000519     0.000531
   1975       15   0.000356     0.000509     0.000435
   1975       16   0.000705     0.000850     0.000779
   1975       17   0.000775     0.001526     0.001154
   1975       18   0.000684     0.002035     0.001363
   1975       19   0.000699     0.001986     0.001320
   1975       20   0.001281     0.002046     0.001628
   1975       21   0.000985     0.002675     0.001742
   1975       22   0.000902     0.001731     0.001279
   1975       23   0.000841     0.002094     0.001429
   1975       24   0.001101     0.001364     0.001227
   1975       25   0.000974     0.001216     0.001091
   1975       26   0.001170     0.002224     0.001681
   1975       27   0.000776     0.001479     0.001121
   1975       28   0.001383     0.001112     0.001250
   1975       29   0.001220     0.001875     0.001544
   1975       30   0.000377     0.002407     0.001369
   1975       31   0.000340     0.001816     0.001056
   1975       32   0.000858     0.001478     0.001158
   1975       33   0.000828     0.001959     0.001376
   1975       34   0.001167     0.002731     0.001920
   1975       35   0.000559     0.002651     0.001566
   1975       36   0.000779     0.002551     0.001632
   1975       37   0.001424     0.002581     0.001974
   1975       38   0.001853     0.003018     0.002407
   1975       39   0.001810     0.003817     0.002771
   1975       40   0.001297     0.003588     0.002395
   1975       41   0.001768     0.003696     0.002696
   1975       42   0.001529     0.005030     0.003210
   1975       43   0.002449     0.007189     0.004727
   1975       44   0.002312     0.004541     0.003386
   1975       45   0.002591     0.006243     0.004343
   1975       46   0.003222     0.003314     0.003267
   1975       47   0.002487     0.007515     0.004898
   1975       48   0.003451     0.004401     0.003901
   1975       49   0.002824     0.006240     0.004431
   1975       50   0.003907     0.006431     0.005080
   1975       51   0.003181     0.007374     0.005077
   1975       52   0.004298     0.007987     0.005889
   1975       53   0.005021     0.009704     0.006992
   1975       54   0.003985     0.006755     0.005152
   1975       55   0.005954     0.010428     0.007869
   1975       56   0.006370     0.009245     0.007618
   1975       57   0.004279     0.010589     0.006985
   1975       58   0.008860     0.014320     0.011185
   1975       59   0.008271     0.014112     0.010765
   1975       60   0.006197     0.013191     0.009215
   1975       61   0.010887     0.016690     0.013422
   1975       62   0.009677     0.019686     0.014026
   1975       63   0.009565     0.027628     0.017326
   1975       64   0.011924     0.021115     0.015928
   1975       65   0.013238     0.022712     0.017433
   1975       66   0.012349     0.031255     0.020752
   1975       67   0.015509     0.028595     0.021294
   1975       68   0.018418     0.033445     0.025261
   1975       69   0.013830     0.038043     0.024975
   1975       70   0.027397     0.035689     0.031135
   1975       71   0.026318     0.042837     0.033787
   1975       72   0.036049     0.048105     0.041441
