43.Kumamoto.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.010254     0.015895     0.013162
   1975        1   0.000926     0.001773     0.001359
   1975        2   0.000927     0.001490     0.001214
   1975        3   0.000397     0.000907     0.000659
   1975        4   0.000643     0.000918     0.000784
   1975        5   0.000562     0.000691     0.000628
   1975        6   0.000238     0.000531     0.000388
   1975        7   0.000298     0.000501     0.000401
   1975        8   0.000164     0.000628     0.000401
   1975        9   0.000165     0.000396     0.000283
   1975       10   0.000291     0.000211     0.000250
   1975       11   0.000221     0.000142     0.000181
   1975       12   0.000146     0.000282     0.000216
   1975       13   0.000288     0.000208     0.000247
   1975       14   0.000354     0.000611     0.000485
   1975       15   0.000209     0.000331     0.000271
   1975       16   0.000273     0.001304     0.000800
   1975       17   0.000438     0.000855     0.000649
   1975       18   0.000415     0.001594     0.001001
   1975       19   0.000430     0.000920     0.000666
   1975       20   0.000498     0.000666     0.000576
   1975       21   0.000550     0.000661     0.000601
   1975       22   0.000522     0.000902     0.000694
   1975       23   0.000714     0.001624     0.001128
   1975       24   0.000696     0.001370     0.001009
   1975       25   0.000326     0.000961     0.000624
   1975       26   0.000636     0.001342     0.000972
   1975       27   0.000533     0.001638     0.001068
   1975       28   0.000961     0.000939     0.000951
   1975       29   0.000724     0.000891     0.000805
   1975       30   0.000975     0.001513     0.001233
   1975       31   0.000519     0.001254     0.000868
   1975       32   0.000859     0.001560     0.001188
   1975       33   0.000990     0.001237     0.001105
   1975       34   0.001046     0.001690     0.001345
   1975       35   0.001113     0.002116     0.001578
   1975       36   0.000780     0.001957     0.001322
   1975       37   0.001110     0.003001     0.001981
   1975       38   0.001071     0.003109     0.002022
   1975       39   0.001523     0.002361     0.001916
   1975       40   0.001046     0.002784     0.001859
   1975       41   0.001569     0.002303     0.001915
   1975       42   0.001963     0.002739     0.002334
   1975       43   0.001470     0.003978     0.002681
   1975       44   0.002861     0.003966     0.003397
   1975       45   0.001977     0.004653     0.003268
   1975       46   0.002132     0.004084     0.003068
   1975       47   0.001927     0.005263     0.003524
   1975       48   0.002735     0.004734     0.003683
   1975       49   0.002959     0.004421     0.003632
   1975       50   0.003478     0.008490     0.005718
   1975       51   0.004644     0.005845     0.005168
   1975       52   0.004256     0.007837     0.005770
   1975       53   0.004640     0.006814     0.005545
   1975       54   0.003795     0.010568     0.006616
