26.Kyoto.fu, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.007486     0.009636     0.008588
   1975        1   0.001049     0.001135     0.001093
   1975        2   0.000666     0.000677     0.000672
   1975        3   0.000486     0.000599     0.000544
   1975        4   0.000201     0.000524     0.000367
   1975        5   0.000367     0.000396     0.000382
   1975        6   0.000377     0.000564     0.000473
   1975        7   0.000322     0.000103     0.000210
   1975        8   0.000188     0.000658     0.000428
   1975        9   0.000196     0.000496     0.000350
   1975       10   0.000355     0.000341     0.000348
   1975       11   0.000190     0.000182     0.000186
   1975       12   0.000201     0.000191     0.000196
   1975       13   0.000000     0.000335     0.000171
   1975       14   0.000000     0.000476     0.000244
   1975       15   0.000214     0.000337     0.000277
   1975       16   0.000215     0.001080     0.000660
   1975       17   0.000411     0.001219     0.000829
   1975       18   0.000230     0.000370     0.000303
   1975       19   0.000350     0.000919     0.000652
   1975       20   0.000546     0.000458     0.000498
   1975       21   0.000411     0.001064     0.000768
   1975       22   0.000468     0.000972     0.000741
   1975       23   0.000302     0.000729     0.000526
   1975       24   0.000557     0.000490     0.000523
   1975       25   0.000520     0.001040     0.000781
   1975       26   0.000472     0.001068     0.000769
   1975       27   0.000802     0.001261     0.001030
   1975       28   0.000620     0.000908     0.000763
   1975       29   0.000663     0.000739     0.000701
   1975       30   0.000794     0.000822     0.000808
   1975       31   0.000876     0.001299     0.001085
   1975       32   0.001099     0.000787     0.000945
   1975       33   0.000904     0.001315     0.001108
   1975       34   0.000846     0.001222     0.001034
   1975       35   0.000702     0.001657     0.001180
   1975       36   0.000825     0.001285     0.001055
   1975       37   0.001594     0.001317     0.001456
   1975       38   0.001288     0.002164     0.001725
   1975       39   0.001193     0.001893     0.001544
   1975       40   0.001356     0.002028     0.001694
   1975       41   0.001089     0.002386     0.001739
   1975       42   0.001544     0.002763     0.002154
   1975       43   0.002112     0.001651     0.001882
   1975       44   0.001845     0.003377     0.002609
   1975       45   0.001761     0.004246     0.002995
   1975       46   0.001427     0.003913     0.002651
