24.Mie.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.007639     0.010671     0.009192
   1975        1   0.001025     0.001194     0.001112
   1975        2   0.000505     0.000485     0.000495
   1975        3   0.000368     0.000843     0.000611
   1975        4   0.000152     0.000646     0.000406
   1975        5   0.000156     0.000884     0.000531
   1975        6   0.000235     0.000521     0.000382
   1975        7   0.000384     0.000363     0.000373
   1975        8   0.000271     0.000684     0.000483
   1975        9   0.000276     0.000350     0.000314
   1975       10   0.000240     0.000304     0.000273
   1975       11   0.000083     0.000236     0.000161
   1975       12   0.000085     0.000326     0.000208
   1975       13   0.000261     0.000252     0.000256
   1975       14   0.000000     0.000421     0.000214
   1975       15   0.000419     0.000417     0.000418
   1975       16   0.000080     0.001227     0.000649
   1975       17   0.000169     0.001232     0.000690
   1975       18   0.000459     0.001107     0.000769
   1975       19   0.000472     0.001478     0.000946
   1975       20   0.000471     0.001924     0.001152
   1975       21   0.000539     0.001245     0.000867
   1975       22   0.000927     0.000957     0.000941
   1975       23   0.000805     0.001402     0.001091
   1975       24   0.000378     0.000715     0.000543
   1975       25   0.000473     0.001128     0.000796
   1975       26   0.000742     0.001144     0.000941
   1975       27   0.000439     0.001337     0.000886
   1975       28   0.000698     0.001258     0.000978
   1975       29   0.000603     0.001221     0.000911
   1975       30   0.000712     0.001306     0.001005
   1975       31   0.000846     0.001815     0.001326
   1975       32   0.000620     0.000549     0.000584
   1975       33   0.000618     0.000866     0.000741
   1975       34   0.001149     0.001994     0.001566
   1975       35   0.000935     0.001416     0.001173
   1975       36   0.001287     0.001135     0.001211
   1975       37   0.001119     0.002464     0.001787
   1975       38   0.001138     0.001417     0.001277
   1975       39   0.001124     0.001738     0.001429
   1975       40   0.001383     0.002768     0.002073
   1975       41   0.002416     0.003356     0.002888
   1975       42   0.001893     0.003684     0.002796
   1975       43   0.001926     0.002782     0.002362
   1975       44   0.001369     0.003674     0.002557
   1975       45   0.002590     0.004049     0.003343
   1975       46   0.002360     0.003124     0.002750
   1975       47   0.003365     0.004065     0.003717
   1975       48   0.003031     0.003985     0.003507
   1975       49   0.003140     0.003895     0.003513
   1975       50   0.002964     0.005679     0.004264
