04.Miyagi.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009136     0.010932     0.010056
   1975        1   0.001261     0.001497     0.001382
   1975        2   0.000369     0.000877     0.000629
   1975        3   0.000696     0.000901     0.000801
   1975        4   0.000386     0.000552     0.000471
   1975        5   0.000133     0.000821     0.000487
   1975        6   0.000475     0.000257     0.000363
   1975        7   0.000326     0.000186     0.000255
   1975        8   0.000148     0.000422     0.000288
   1975        9   0.000228     0.000292     0.000261
   1975       10   0.000203     0.000131     0.000166
   1975       11   0.000209     0.000201     0.000205
   1975       12   0.000141     0.000266     0.000206
   1975       13   0.000278     0.000328     0.000303
   1975       14   0.000203     0.000387     0.000297
   1975       15   0.000267     0.000126     0.000195
   1975       16   0.000327     0.000682     0.000509
   1975       17   0.000197     0.001355     0.000795
   1975       18   0.000195     0.000601     0.000406
   1975       19   0.000630     0.001110     0.000879
   1975       20   0.000624     0.001011     0.000823
   1975       21   0.000614     0.001321     0.000972
   1975       22   0.000760     0.000997     0.000879
   1975       23   0.000448     0.001473     0.000958
   1975       24   0.000593     0.000972     0.000782
   1975       25   0.001014     0.001018     0.001016
   1975       26   0.000695     0.001325     0.001013
   1975       27   0.000577     0.000926     0.000753
   1975       28   0.000459     0.001295     0.000881
   1975       29   0.000770     0.000840     0.000806
   1975       30   0.000469     0.001164     0.000821
   1975       31   0.000743     0.001670     0.001211
   1975       32   0.000603     0.001476     0.001041
   1975       33   0.001226     0.001654     0.001440
   1975       34   0.000814     0.001471     0.001140
   1975       35   0.000360     0.002245     0.001292
   1975       36   0.000885     0.000922     0.000903
   1975       37   0.001238     0.001226     0.001232
   1975       38   0.000933     0.002419     0.001657
   1975       39   0.001053     0.002208     0.001612
   1975       40   0.001451     0.002056     0.001746
   1975       41   0.001557     0.002358     0.001950
   1975       42   0.002256     0.002920     0.002583
   1975       43   0.001402     0.003830     0.002597
   1975       44   0.002271     0.003163     0.002710
   1975       45   0.001800     0.004313     0.003035
   1975       46   0.002592     0.003538     0.003055
   1975       47   0.001879     0.004479     0.003155
   1975       48   0.002358     0.005493     0.003896
   1975       49   0.002752     0.004001     0.003357
   1975       50   0.002672     0.006298     0.004385
   1975       51   0.003256     0.004973     0.004044
   1975       52   0.003538     0.007900     0.005507
   1975       53   0.003865     0.005373     0.004541
   1975       54   0.004466     0.007461     0.005800
   1975       55   0.005980     0.008684     0.007192
   1975       56   0.004274     0.010427     0.007057
   1975       57   0.005800     0.010756     0.008045
   1975       58   0.005161     0.013233     0.008798
   1975       59   0.006783     0.009349     0.007936
   1975       60   0.006357     0.010898     0.008396
   1975       61   0.008515     0.014448     0.011163
   1975       62   0.009093     0.020070     0.013973
   1975       63   0.010102     0.019826     0.014442
   1975       64   0.011206     0.024349     0.017154
   1975       65   0.011466     0.026459     0.018350
   1975       66   0.013943     0.030321     0.021516
   1975       67   0.018912     0.032177     0.025006
   1975       68   0.019514     0.028610     0.023737
   1975       69   0.021303     0.034440     0.027344
   1975       70   0.021075     0.046141     0.032254
   1975       71   0.027793     0.045178     0.035521
   1975       72   0.033188     0.051991     0.041442
   1975       73   0.038401     0.063169     0.049183
   1975       74   0.037393     0.066631     0.049982
   1975       75   0.050950     0.077059     0.062023
   1975       76   0.052420     0.074126     0.061446
   1975       77   0.061322     0.082377     0.069929
   1975       78   0.075471     0.104987     0.087302
   1975       79   0.074438     0.108595     0.087796
   1975       80   0.085163     0.102864     0.091969
   1975       81   0.092375     0.123651     0.104319
   1975       82   0.110643     0.141253     0.122254
   1975       83   0.123838     0.167473     0.139262
   1975       84   0.134198     0.165595     0.144762
   1975       85   0.152316     0.187280     0.164037
   1975       86   0.181766     0.223517     0.195278
   1975       87   0.191638     0.192406     0.191882
   1975       88   0.227349     0.217131     0.224004
   1975       89   0.245483     0.221247     0.238373
   1975       90   0.290955     0.326008     0.301008
   1975       91   0.250023     0.229313     0.244418
   1975       92   0.324863     0.391003     0.343001
   1975       93   0.350515     0.385142     0.358939
   1975       94   0.353808     0.302939     0.343853
   1975       95   0.286733     0.827586     0.381783
   1975       96   0.306076     0.266667     0.298718
   1975       97   0.306569     0.193548     0.285714
   1975       98   0.281250     0.545455     0.348837
   1975       99   0.545455     0.000000     0.428571
   1975      100   1.333333     0.000000     1.000000
   1975      101          .     0.000000     0.000000
   1975      102          .     0.000000     0.000000
   1975      103          .            .            .
   1975      104          .     0.000000     0.000000
   1975      105          .     0.000000     0.000000
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.009463     0.009848     0.009662
   1976        1   0.001416     0.001584     0.001502
   1976        2   0.000898     0.001206     0.001055
   1976        3   0.000735     0.000583     0.000657
   1976        4   0.000189     0.000958     0.000584
   1976        5   0.000514     0.000305     0.000407
   1976        6   0.000332     0.000378     0.000355
   1976        7   0.000271     0.000384     0.000329
   1976        8   0.000260     0.000248     0.000254
   1976        9   0.000221     0.000281     0.000252
   1976       10   0.000076     0.000146     0.000112
   1976       11   0.000405     0.000326     0.000365
   1976       12   0.000139     0.000334     0.000239
   1976       13   0.000070     0.000532     0.000308
   1976       14   0.000138     0.000390     0.000268
   1976       15   0.000270     0.000445     0.000360
   1976       16   0.000133     0.001194     0.000680
   1976       17   0.000654     0.001116     0.000892
   1976       18   0.000328     0.000682     0.000510
   1976       19   0.000459     0.000973     0.000725
   1976       20   0.000502     0.001248     0.000886
   1976       21   0.000501     0.001438     0.000980
   1976       22   0.000308     0.000963     0.000639
   1976       23   0.000524     0.001288     0.000905
   1976       24   0.000391     0.001184     0.000786
   1976       25   0.001076     0.000980     0.001028
   1976       26   0.000353     0.000753     0.000554
   1976       27   0.000448     0.001073     0.000764
   1976       28   0.000472     0.000874     0.000675
   1976       29   0.000326     0.001222     0.000779
   1976       30   0.000768     0.001017     0.000894
   1976       31   0.000388     0.001681     0.001044
   1976       32   0.001140     0.001002     0.001070
   1976       33   0.000667     0.001204     0.000937
   1976       34   0.001155     0.001373     0.001264
   1976       35   0.000952     0.001531     0.001239
   1976       36   0.001288     0.001335     0.001311
   1976       37   0.001106     0.001619     0.001359
   1976       38   0.000754     0.002148     0.001439
   1976       39   0.001064     0.001993     0.001517
   1976       40   0.001315     0.002872     0.002068
   1976       41   0.001317     0.004184     0.002713
   1976       42   0.001492     0.002209     0.001844
   1976       43   0.001392     0.003005     0.002184
   1976       44   0.001877     0.004290     0.003063
   1976       45   0.002545     0.004270     0.003393
   1976       46   0.001945     0.004371     0.003136
   1976       47   0.001962     0.004517     0.003211
   1976       48   0.002388     0.003661     0.003012
   1976       49   0.002805     0.003970     0.003376
   1976       50   0.002758     0.005462     0.004065
   1976       51   0.003614     0.004797     0.004172
   1976       52   0.002850     0.006193     0.004382
