45.Miyazaki.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009666     0.012554     0.011142
   1975        1   0.001980     0.001546     0.001756
   1975        2   0.001117     0.000946     0.001029
   1975        3   0.001366     0.000437     0.000892
   1975        4   0.000465     0.000447     0.000456
   1975        5   0.000119     0.000339     0.000232
   1975        6   0.000354     0.000794     0.000579
   1975        7   0.000564     0.000658     0.000612
   1975        8   0.000129     0.000369     0.000252
   1975        9   0.000260     0.000248     0.000254
   1975       10   0.000339     0.000217     0.000277
   1975       11   0.000228     0.000000     0.000111
   1975       12   0.000113     0.000000     0.000055
   1975       13   0.000223     0.000215     0.000219
   1975       14   0.000219     0.000422     0.000322
   1975       15   0.000109     0.000516     0.000318
   1975       16   0.000109     0.001342     0.000743
   1975       17   0.000605     0.000708     0.000657
   1975       18   0.000144     0.001672     0.000889
   1975       19   0.000153     0.002456     0.001219
   1975       20   0.000140     0.001738     0.000853
   1975       21   0.000508     0.001942     0.001140
   1975       22   0.000585     0.001462     0.000976
   1975       23   0.000657     0.001728     0.001140
   1975       24   0.000424     0.002001     0.001148
   1975       25   0.000793     0.001126     0.000949
   1975       26   0.000375     0.001127     0.000735
   1975       27   0.000681     0.001235     0.000950
   1975       28   0.001092     0.001017     0.001055
   1975       29   0.000488     0.001515     0.000994
   1975       30   0.000923     0.001326     0.001119
   1975       31   0.000546     0.001914     0.001207
   1975       32   0.000662     0.002472     0.001528
   1975       33   0.001130     0.001539     0.001324
   1975       34   0.000748     0.001969     0.001326
   1975       35   0.001063     0.001830     0.001423
   1975       36   0.001349     0.002459     0.001871
   1975       37   0.000992     0.001832     0.001388
   1975       38   0.001073     0.001755     0.001395
   1975       39   0.001179     0.002249     0.001687
   1975       40   0.001629     0.002354     0.001974
   1975       41   0.001527     0.002347     0.001919
   1975       42   0.001818     0.004797     0.003238
   1975       43   0.001510     0.003411     0.002426
   1975       44   0.002869     0.005761     0.004276
   1975       45   0.002380     0.004561     0.003432
   1975       46   0.003360     0.004330     0.003825
   1975       47   0.002325     0.004590     0.003409
   1975       48   0.002234     0.005672     0.003871
   1975       49   0.003402     0.006415     0.004806
   1975       50   0.004776     0.009459     0.006890
   1975       51   0.003708     0.008212     0.005678
   1975       52   0.004507     0.007738     0.005874
   1975       53   0.004395     0.008309     0.006022
   1975       54   0.005747     0.009648     0.007382
   1975       55   0.004403     0.012323     0.007787
   1975       56   0.006774     0.012731     0.009338
   1975       57   0.007383     0.015528     0.010905
   1975       58   0.006178     0.012772     0.009067
   1975       59   0.008109     0.015106     0.011175
   1975       60   0.007783     0.015247     0.011045
   1975       61   0.009269     0.015773     0.012118
   1975       62   0.009255     0.021955     0.014802
   1975       63   0.010170     0.023499     0.015993
   1975       64   0.010768     0.022524     0.015869
   1975       65   0.011636     0.024786     0.017324
   1975       66   0.017159     0.029141     0.022455
   1975       67   0.015312     0.031773     0.022678
   1975       68   0.020201     0.032182     0.025645
   1975       69   0.018751     0.033572     0.025497
   1975       70   0.021548     0.041619     0.030603
   1975       71   0.026723     0.048397     0.036509
   1975       72   0.031064     0.052533     0.040676
   1975       73   0.035568     0.054161     0.043897
   1975       74   0.037548     0.072820     0.053180
   1975       75   0.042226     0.066297     0.052860
   1975       76   0.038980     0.060025     0.048184
   1975       77   0.059490     0.095782     0.074825
   1975       78   0.063386     0.076291     0.068768
   1975       79   0.066853     0.100801     0.080913
   1975       80   0.070218     0.133886     0.095950
   1975       81   0.099357     0.125840     0.109773
   1975       82   0.107544     0.123694     0.113882
   1975       83   0.117119     0.159799     0.133160
   1975       84   0.123976     0.165584     0.139740
   1975       85   0.145434     0.200799     0.166183
   1975       86   0.151976     0.182684     0.162379
   1975       87   0.205575     0.208022     0.206445
   1975       88   0.211205     0.270002     0.232258
   1975       89   0.157983     0.243729     0.186496
   1975       90   0.260149     0.278841     0.266430
   1975       91   0.235926     0.279250     0.249890
   1975       92   0.321521     0.236681     0.295067
   1975       93   0.315789     0.292790     0.309220
   1975       94   0.351906     0.127551     0.286236
   1975       95   0.453724     0.433735     0.448556
   1975       96   0.425960     0.677419     0.493442
   1975       97   0.445839     0.304646     0.411189
   1975       98   0.347222     1.380104     0.554849
   1975       99   0.307692     1.333333     0.500000
   1975      100   0.000000     0.000000     0.000000
   1975      101   2.571429     1.200000     2.000000
   1975      102          .     0.000000     0.000000
   1975      103          .            .            .
   1975      104   0.000000            .     0.000000
   1975      105   0.000000            .     0.000000
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.008832     0.013456     0.011194
   1976        1   0.001656     0.002324     0.001997
   1976        2   0.001420     0.001227     0.001320
   1976        3   0.000776     0.000730     0.000752
   1976        4   0.000565     0.000760     0.000664
   1976        5   0.000578     0.000555     0.000567
   1976        6   0.000591     0.001122     0.000864
   1976        7   0.000353     0.000226     0.000288
   1976        8   0.000225     0.000000     0.000111
   1976        9   0.000256     0.000368     0.000313
   1976       10   0.000260     0.000124     0.000190
   1976       11   0.000000     0.000217     0.000111
   1976       12   0.000114     0.000218     0.000167
   1976       13   0.000114     0.000219     0.000168
   1976       14   0.000000     0.000333     0.000169
   1976       15   0.000000     0.000334     0.000169
   1976       16   0.000227     0.000659     0.000447
   1976       17   0.000450     0.001966     0.001220
   1976       18   0.000616     0.000372     0.000494
   1976       19   0.000573     0.000768     0.000667
   1976       20   0.000582     0.000680     0.000627
   1976       21   0.000272     0.001492     0.000822
   1976       22   0.000751     0.002479     0.001522
   1976       23   0.000692     0.001265     0.000951
   1976       24   0.000543     0.001156     0.000823
   1976       25   0.000526     0.000987     0.000740
   1976       26   0.000882     0.000550     0.000725
   1976       27   0.000560     0.001610     0.001065
   1976       28   0.000971     0.001019     0.000995
   1976       29   0.001203     0.001752     0.001473
   1976       30   0.001456     0.000684     0.001075
   1976       31   0.000608     0.001783     0.001180
   1976       32   0.001218     0.001758     0.001479
   1976       33   0.000658     0.001444     0.001035
   1976       34   0.001498     0.001668     0.001579
   1976       35   0.001495     0.001811     0.001645
   1976       36   0.000791     0.002412     0.001553
   1976       37   0.000943     0.003087     0.001952
   1976       38   0.000370     0.001952     0.001116
   1976       39   0.001665     0.002565     0.002090
   1976       40   0.001770     0.003061     0.002384
   1976       41   0.001047     0.002085     0.001542
   1976       42   0.001646     0.004811     0.003158
   1976       43   0.001360     0.004183     0.002705
   1976       44   0.001631     0.003818     0.002684
   1976       45   0.001075     0.003595     0.002299
   1976       46   0.001433     0.004925     0.003117
   1976       47   0.002279     0.006321     0.004217
   1976       48   0.001715     0.004609     0.003098
   1976       49   0.003229     0.004587     0.003875
