20.Nagano.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008417     0.008094     0.008251
   1975        1   0.001587     0.001274     0.001426
   1975        2   0.001049     0.001059     0.001054
   1975        3   0.000566     0.000657     0.000613
   1975        4   0.000511     0.000484     0.000497
   1975        5   0.000522     0.000556     0.000540
   1975        6   0.000132     0.000500     0.000321
   1975        7   0.000255     0.000368     0.000313
   1975        8   0.000364     0.000555     0.000462
   1975        9   0.000150     0.000071     0.000109
   1975       10   0.000332     0.000192     0.000261
   1975       11   0.000205     0.000132     0.000168
   1975       12   0.000139     0.000333     0.000238
   1975       13   0.000000     0.000067     0.000034
   1975       14   0.000210     0.000202     0.000206
   1975       15   0.000277     0.000134     0.000204
   1975       16   0.000540     0.001126     0.000836
   1975       17   0.000147     0.000590     0.000368
   1975       18   0.000175     0.000373     0.000271
   1975       19   0.000276     0.001262     0.000736
   1975       20   0.000700     0.001368     0.001004
   1975       21   0.000730     0.000695     0.000714
   1975       22   0.000664     0.001422     0.001008
   1975       23   0.000798     0.001176     0.000972
   1975       24   0.000616     0.001515     0.001040
   1975       25   0.000615     0.000906     0.000755
   1975       26   0.001011     0.000997     0.001004
   1975       27   0.000601     0.000727     0.000663
   1975       28   0.000786     0.001081     0.000932
   1975       29   0.000740     0.001176     0.000956
   1975       30   0.001038     0.001071     0.001055
   1975       31   0.000919     0.001735     0.001326
   1975       32   0.000791     0.001530     0.001161
   1975       33   0.000597     0.001466     0.001033
   1975       34   0.000938     0.001089     0.001013
   1975       35   0.001017     0.001361     0.001187
   1975       36   0.000921     0.001596     0.001254
   1975       37   0.000941     0.002026     0.001477
   1975       38   0.001117     0.001974     0.001539
   1975       39   0.001801     0.001982     0.001890
   1975       40   0.001304     0.001833     0.001562
   1975       41   0.001641     0.002382     0.002005
   1975       42   0.001240     0.002316     0.001770
   1975       43   0.001295     0.003542     0.002406
   1975       44   0.001962     0.002839     0.002397
   1975       45   0.002325     0.002807     0.002562
   1975       46   0.001609     0.003185     0.002380
   1975       47   0.002252     0.004479     0.003343
   1975       48   0.001732     0.003697     0.002689
   1975       49   0.003037     0.003599     0.003307
   1975       50   0.002621     0.005466     0.003964
   1975       51   0.003396     0.005497     0.004371
   1975       52   0.003423     0.006611     0.004871
   1975       53   0.004760     0.006545     0.005549
   1975       54   0.004336     0.006451     0.005256
   1975       55   0.004275     0.008825     0.006261
   1975       56   0.006267     0.008963     0.007451
   1975       57   0.006495     0.008397     0.007339
   1975       58   0.006123     0.011898     0.008697
   1975       59   0.006938     0.013546     0.009893
   1975       60   0.007450     0.011848     0.009428
   1975       61   0.008782     0.011049     0.009800
   1975       62   0.010325     0.017095     0.013351
   1975       63   0.010740     0.018804     0.014362
   1975       64   0.009727     0.020015     0.014379
   1975       65   0.011459     0.020363     0.015484
   1975       66   0.015195     0.026248     0.020236
   1975       67   0.019587     0.029537     0.024105
   1975       68   0.019817     0.031343     0.025094
   1975       69   0.021595     0.034867     0.027642
   1975       70   0.019610     0.036521     0.027172
   1975       71   0.025325     0.044325     0.033865
   1975       72   0.030766     0.051236     0.039903
   1975       73   0.035522     0.052475     0.043049
   1975       74   0.042496     0.057399     0.049052
   1975       75   0.046023     0.076760     0.059411
   1975       76   0.050202     0.079029     0.062593
   1975       77   0.057350     0.071850     0.063462
   1975       78   0.065996     0.094598     0.077882
   1975       79   0.078170     0.105422     0.089323
   1975       80   0.092740     0.120624     0.103789
   1975       81   0.093188     0.140206     0.111464
   1975       82   0.114934     0.145898     0.126918
   1975       83   0.126109     0.158696     0.138325
   1975       84   0.141838     0.187807     0.158681
   1975       85   0.160503     0.178165     0.166889
   1975       86   0.158219     0.209476     0.175940
   1975       87   0.193536     0.241673     0.209720
   1975       88   0.216035     0.253925     0.228328
   1975       89   0.207954     0.265913     0.225899
   1975       90   0.241760     0.283976     0.254165
   1975       91   0.273972     0.304299     0.282392
   1975       92   0.296203     0.250031     0.284146
   1975       93   0.345992     0.401754     0.361303
   1975       94   0.322457     0.353079     0.329412
   1975       95   0.418605     0.467826     0.427615
   1975       96   0.413793     0.783743     0.475019
   1975       97   0.320537     0.193548     0.296241
   1975       98   0.557945     0.352941     0.524119
   1975       99   0.000000     0.000000     0.000000
   1975      100   0.300000     1.500000     0.500000
   1975      101   2.571429     3.000000     2.666667
   1975      102   1.200000            .     1.200000
   1975      103   6.000000            .     6.000000
   1975      104   3.000000            .     3.000000
   1975      105   3.000000            .     3.000000
   1975      106          .            .            .
