42.Nagasaki.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008866     0.010057     0.009478
   1975        1   0.001674     0.001385     0.001526
   1975        2   0.001217     0.000872     0.001041
   1975        3   0.000539     0.000440     0.000488
   1975        4   0.000616     0.001038     0.000831
   1975        5   0.000308     0.000221     0.000264
   1975        6   0.000685     0.000365     0.000521
   1975        7   0.000145     0.000424     0.000286
   1975        8   0.000161     0.000391     0.000278
   1975        9   0.000164     0.000157     0.000161
   1975       10   0.000218     0.000142     0.000179
   1975       11   0.000148     0.000355     0.000253
   1975       12   0.000295     0.000349     0.000323
   1975       13   0.000219     0.000209     0.000214
   1975       14   0.000216     0.000274     0.000246
   1975       15   0.000000     0.000204     0.000105
   1975       16   0.000220     0.000543     0.000388
   1975       17   0.000160     0.000765     0.000470
   1975       18   0.000471     0.001518     0.000994
   1975       19   0.000198     0.001156     0.000660
   1975       20   0.000280     0.001255     0.000740
   1975       21   0.000785     0.001198     0.000978
   1975       22   0.000652     0.001029     0.000828
   1975       23   0.000542     0.001485     0.000986
   1975       24   0.000904     0.001561     0.001219
   1975       25   0.000630     0.001982     0.001281
   1975       26   0.000613     0.001398     0.000991
   1975       27   0.000572     0.001451     0.000998
   1975       28   0.000518     0.001664     0.001074
   1975       29   0.000911     0.001459     0.001177
   1975       30   0.000543     0.001437     0.000972
   1975       31   0.000865     0.001183     0.001016
   1975       32   0.000374     0.001186     0.000753
   1975       33   0.000888     0.001557     0.001198
   1975       34   0.000696     0.001732     0.001177
   1975       35   0.000836     0.001725     0.001250
   1975       36   0.001058     0.001789     0.001399
   1975       37   0.001373     0.002695     0.001996
   1975       38   0.001521     0.001888     0.001696
   1975       39   0.001410     0.003567     0.002449
   1975       40   0.001553     0.003316     0.002403
   1975       41   0.002702     0.003630     0.003148
   1975       42   0.002017     0.004776     0.003343
   1975       43   0.002030     0.003945     0.002954
   1975       44   0.002017     0.004135     0.003047
   1975       45   0.002355     0.006086     0.004157
   1975       46   0.002545     0.006139     0.004269
   1975       47   0.002413     0.005507     0.003895
   1975       48   0.002798     0.005931     0.004304
   1975       49   0.003541     0.007451     0.005416
   1975       50   0.002626     0.006780     0.004572
   1975       51   0.003651     0.007828     0.005532
   1975       52   0.004160     0.006983     0.005376
   1975       53   0.004732     0.007972     0.006085
   1975       54   0.005249     0.010214     0.007299
   1975       55   0.005332     0.009771     0.007199
   1975       56   0.006102     0.011751     0.008537
   1975       57   0.006203     0.011207     0.008382
   1975       58   0.007309     0.012504     0.009588
   1975       59   0.007158     0.016726     0.011405
   1975       60   0.009263     0.015945     0.012258
   1975       61   0.008477     0.016990     0.012270
   1975       62   0.009011     0.018664     0.013280
   1975       63   0.012968     0.018521     0.015415
   1975       64   0.011225     0.025549     0.017526
   1975       65   0.015308     0.025542     0.019819
   1975       66   0.013426     0.024486     0.018349
   1975       67   0.018880     0.035463     0.026229
   1975       68   0.013865     0.040512     0.025870
   1975       69   0.022133     0.038678     0.029602
   1975       70   0.022527     0.047321     0.033413
   1975       71   0.024998     0.047773     0.035021
   1975       72   0.030055     0.055365     0.041105
   1975       73   0.038704     0.057497     0.046874
   1975       74   0.045689     0.065342     0.054114
   1975       75   0.048646     0.073033     0.058938
   1975       76   0.051265     0.073245     0.060377
   1975       77   0.062708     0.087891     0.072944
   1975       78   0.057506     0.083959     0.068084
   1975       79   0.068281     0.111248     0.085169
   1975       80   0.081460     0.113285     0.094044
   1975       81   0.093034     0.117774     0.102551
   1975       82   0.087339     0.124751     0.100830
   1975       83   0.134217     0.184469     0.151763
   1975       84   0.134314     0.196331     0.155918
   1975       85   0.155401     0.210380     0.174494
   1975       86   0.145712     0.172253     0.154637
   1975       87   0.201483     0.170826     0.191700
   1975       88   0.218292     0.269079     0.232870
   1975       89   0.219233     0.230181     0.222294
   1975       90   0.226554     0.354593     0.263592
   1975       91   0.285810     0.343028     0.301102
   1975       92   0.264300     0.542103     0.325390
   1975       93   0.310192     0.345665     0.318001
   1975       94   0.364486     0.541153     0.406408
   1975       95   0.202020     0.427960     0.251889
   1975       96   0.430769     0.315789     0.404762
   1975       97   0.484848     1.090909     0.636364
   1975       98   0.375000     1.285714     0.580645
   1975       99   0.333333     0.000000     0.266667
   1975      100   0.888889     2.571429     1.235294
   1975      101   0.428571            .     0.428571
   1975      102   0.000000            .     0.000000
   1975      103   0.000000            .     0.000000
   1975      104   1.200000            .     1.200000
   1975      105   6.000000            .     6.000000
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.009001     0.008907     0.008953
   1976        1   0.001660     0.000974     0.001308
   1976        2   0.000608     0.000945     0.000780
   1976        3   0.000228     0.000726     0.000482
   1976        4   0.000769     0.000732     0.000750
   1976        5   0.000154     0.000741     0.000453
