29.Nara.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008634     0.009091     0.008869
   1975        1   0.001129     0.002256     0.001706
   1975        2   0.000407     0.000775     0.000596
   1975        3   0.000519     0.000687     0.000605
   1975        4   0.000105     0.000301     0.000205
   1975        5   0.000326     0.000103     0.000211
   1975        6   0.000335     0.000634     0.000488
   1975        7   0.000222     0.000316     0.000270
   1975        8   0.000132     0.000249     0.000192
   1975        9   0.000136     0.000132     0.000134
   1975       10   0.000122     0.000238     0.000180
   1975       11   0.000131     0.000503     0.000321
   1975       12   0.000000     0.000263     0.000135
   1975       13   0.000000     0.000275     0.000141
   1975       14   0.000147     0.000140     0.000144
   1975       15   0.000427     0.000683     0.000558
   1975       16   0.000276     0.001075     0.000680
   1975       17   0.000270     0.000839     0.000549
   1975       18   0.000496     0.000856     0.000663
   1975       19   0.000343     0.001101     0.000686
   1975       20   0.000232     0.001388     0.000758
   1975       21   0.000000     0.001225     0.000570
   1975       22   0.000463     0.001269     0.000848
   1975       23   0.000550     0.001069     0.000800
   1975       24   0.000519     0.001573     0.001026
   1975       25   0.000185     0.001229     0.000683
   1975       26   0.000592     0.000373     0.000487
   1975       27   0.000419     0.001172     0.000783
   1975       28   0.000408     0.001085     0.000738
   1975       29   0.000685     0.000578     0.000633
   1975       30   0.000867     0.000930     0.000898
   1975       31   0.001049     0.001229     0.001137
   1975       32   0.000412     0.000751     0.000579
   1975       33   0.000507     0.001137     0.000821
   1975       34   0.000937     0.001275     0.001105
   1975       35   0.000958     0.001083     0.001021
   1975       36   0.000928     0.002206     0.001578
   1975       37   0.001141     0.001209     0.001176
   1975       38   0.000859     0.002093     0.001497
   1975       39   0.002245     0.002605     0.002431
   1975       40   0.001534     0.001851     0.001697
   1975       41   0.002258     0.002420     0.002341
   1975       42   0.000922     0.003131     0.002061
   1975       43   0.002276     0.002395     0.002337
   1975       44   0.001830     0.002907     0.002389
   1975       45   0.002878     0.003581     0.003241
   1975       46   0.001866     0.003466     0.002684
   1975       47   0.001897     0.003765     0.002840
   1975       48   0.001791     0.004706     0.003245
   1975       49   0.002131     0.004647     0.003362
   1975       50   0.002251     0.004428     0.003294
   1975       51   0.004279     0.007940     0.005992
   1975       52   0.003894     0.004985     0.004386
