15.Niigata.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008592     0.012182     0.010417
   1975        1   0.001195     0.001811     0.001508
   1975        2   0.000789     0.001268     0.001033
   1975        3   0.000163     0.000979     0.000581
   1975        4   0.000222     0.000468     0.000349
   1975        5   0.000504     0.000782     0.000648
   1975        6   0.000331     0.000624     0.000482
   1975        7   0.000261     0.000401     0.000332
   1975        8   0.000000     0.000283     0.000145
   1975        9   0.000242     0.000525     0.000386
   1975       10   0.000053     0.000258     0.000158
   1975       11   0.000277     0.000159     0.000217
   1975       12   0.000113     0.000216     0.000166
   1975       13   0.000227     0.000163     0.000194
   1975       14   0.000276     0.000106     0.000189
   1975       15   0.000327     0.000468     0.000399
   1975       16   0.000270     0.000611     0.000446
   1975       17   0.000233     0.001330     0.000796
   1975       18   0.000482     0.001685     0.001091
   1975       19   0.000363     0.001500     0.000920
   1975       20   0.000407     0.001191     0.000781
   1975       21   0.000441     0.001410     0.000898
   1975       22   0.000575     0.001592     0.001057
   1975       23   0.001007     0.001207     0.001103
   1975       24   0.000643     0.001139     0.000885
   1975       25   0.000542     0.001078     0.000807
   1975       26   0.000443     0.001013     0.000730
   1975       27   0.000504     0.001096     0.000807
   1975       28   0.000552     0.001277     0.000923
   1975       29   0.000804     0.001213     0.001012
   1975       30   0.000821     0.001376     0.001101
   1975       31   0.000954     0.001600     0.001279
   1975       32   0.000756     0.001168     0.000962
   1975       33   0.000810     0.001569     0.001191
   1975       34   0.000874     0.001694     0.001287
   1975       35   0.000999     0.001638     0.001320
   1975       36   0.000957     0.001747     0.001352
   1975       37   0.000881     0.003177     0.002013
   1975       38   0.000884     0.002278     0.001567
   1975       39   0.000939     0.002525     0.001722
   1975       40   0.000910     0.002249     0.001573
   1975       41   0.001357     0.002713     0.002027
   1975       42   0.001079     0.004088     0.002565
   1975       43   0.001608     0.003158     0.002374
   1975       44   0.001652     0.004011     0.002825
   1975       45   0.002173     0.004283     0.003219
   1975       46   0.002526     0.003661     0.003084
   1975       47   0.002000     0.004278     0.003123
   1975       48   0.002205     0.004540     0.003354
   1975       49   0.001868     0.004944     0.003365
   1975       50   0.002889     0.006388     0.004542
   1975       51   0.003377     0.007229     0.005107
   1975       52   0.002655     0.006944     0.004509
   1975       53   0.004503     0.007559     0.005810
   1975       54   0.004218     0.007942     0.005822
   1975       55   0.005324     0.010725     0.007708
   1975       56   0.004829     0.009325     0.006833
   1975       57   0.006017     0.012177     0.008762
   1975       58   0.007247     0.013059     0.009849
   1975       59   0.007543     0.013477     0.010202
   1975       60   0.005973     0.012463     0.008902
   1975       61   0.008641     0.016117     0.012011
   1975       62   0.008864     0.016986     0.012510
   1975       63   0.009558     0.018576     0.013584
   1975       64   0.012677     0.023397     0.017437
   1975       65   0.012376     0.023698     0.017423
   1975       66   0.013987     0.029977     0.021216
   1975       67   0.017546     0.031961     0.024044
   1975       68   0.020357     0.036028     0.027391
   1975       69   0.016106     0.042161     0.027660
   1975       70   0.023754     0.043012     0.032221
   1975       71   0.029277     0.049863     0.038399
   1975       72   0.031560     0.055772     0.042105
   1975       73   0.036520     0.059050     0.046213
   1975       74   0.043824     0.070045     0.054885
   1975       75   0.043742     0.084267     0.060536
   1975       76   0.050664     0.073707     0.060102
   1975       77   0.065139     0.083808     0.072727
   1975       78   0.074823     0.096997     0.083601
   1975       79   0.081847     0.108684     0.092122
   1975       80   0.092305     0.127738     0.105583
   1975       81   0.096337     0.127306     0.107591
   1975       82   0.102327     0.155840     0.121460
   1975       83   0.126792     0.147371     0.134210
   1975       84   0.142213     0.167666     0.151201
   1975       85   0.157956     0.215702     0.177042
   1975       86   0.180973     0.224730     0.194186
   1975       87   0.206445     0.246634     0.218023
   1975       88   0.197955     0.234092     0.208238
   1975       89   0.230770     0.272252     0.242241
   1975       90   0.276597     0.280591     0.277696
   1975       91   0.272806     0.398792     0.303827
   1975       92   0.323584     0.388553     0.339215
   1975       93   0.344262     0.404199     0.359735
   1975       94   0.289286     0.727471     0.389067
   1975       95   0.384241     0.484702     0.405954
   1975       96   0.291842     0.338028     0.302877
   1975       97   0.599640     0.481412     0.576061
   1975       98   0.206683     0.535954     0.274023
   1975       99   0.400000     0.666667     0.461538
   1975      100   0.157895     0.857143     0.266667
   1975      101   0.000000     0.000000     0.000000
   1975      102   1.800000     0.000000     1.125000
   1975      103   0.000000     0.000000     0.000000
   1975      104   4.000000     0.000000     2.000000
   1975      105          .     0.000000     0.000000
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.008345     0.011297     0.009846
   1976        1   0.001332     0.000929     0.001127
   1976        2   0.000571     0.001710     0.001150
   1976        3   0.000368     0.000608     0.000490
   1976        4   0.000704     0.000463     0.000581
   1976        5   0.000443     0.000519     0.000482
   1976        6   0.000392     0.000521     0.000459
   1976        7   0.000276     0.000467     0.000375
   1976        8   0.000209     0.000150     0.000179
   1976        9   0.000237     0.000283     0.000260
