44.Oita.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009584     0.012492     0.011059
   1975        1   0.000742     0.001422     0.001089
   1975        2   0.000960     0.002109     0.001552
   1975        3   0.000436     0.001025     0.000739
   1975        4   0.000778     0.000423     0.000596
   1975        5   0.000225     0.000751     0.000494
   1975        6   0.000336     0.000428     0.000383
   1975        7   0.000324     0.000617     0.000474
   1975        8   0.000501     0.000353     0.000424
   1975        9   0.000000     0.000122     0.000063
   1975       10   0.000221     0.000106     0.000163
   1975       11   0.000112     0.000214     0.000164
   1975       12   0.000223     0.000536     0.000382
   1975       13   0.000446     0.000535     0.000492
   1975       14   0.000771     0.000636     0.000702
   1975       15   0.000421     0.000102     0.000259
   1975       16   0.000101     0.000297     0.000200
   1975       17   0.000221     0.000671     0.000445
   1975       18   0.000790     0.001842     0.001297
   1975       19   0.000823     0.000658     0.000748
   1975       20   0.000390     0.002056     0.001108
   1975       21   0.000240     0.002263     0.001100
   1975       22   0.000219     0.001314     0.000689
   1975       23   0.000717     0.002232     0.001382
   1975       24   0.000784     0.002132     0.001394
   1975       25   0.000453     0.001153     0.000779
   1975       26   0.000863     0.000961     0.000909
   1975       27   0.000443     0.002324     0.001343
   1975       28   0.001073     0.001181     0.001124
   1975       29   0.000971     0.001680     0.001309
   1975       30   0.000129     0.001298     0.000688
   1975       31   0.001051     0.000774     0.000919
   1975       32   0.000694     0.002203     0.001409
   1975       33   0.000782     0.001643     0.001188
   1975       34   0.001235     0.001532     0.001375
   1975       35   0.001106     0.002538     0.001780
   1975       36   0.001136     0.002041     0.001558
   1975       37   0.001031     0.002539     0.001732
   1975       38   0.001207     0.002915     0.002006
   1975       39   0.001097     0.003366     0.002168
   1975       40   0.001935     0.003194     0.002529
   1975       41   0.002594     0.002541     0.002568
   1975       42   0.001701     0.004136     0.002880
   1975       43   0.001378     0.004325     0.002807
   1975       44   0.002143     0.003684     0.002891
   1975       45   0.002709     0.005168     0.003901
   1975       46   0.002731     0.005061     0.003858
   1975       47   0.002314     0.003762     0.003007
   1975       48   0.004088     0.004537     0.004299
   1975       49   0.002981     0.006150     0.004438
   1975       50   0.002770     0.007371     0.004846
   1975       51   0.002972     0.006620     0.004571
   1975       52   0.002957     0.006590     0.004495
   1975       53   0.004532     0.007759     0.005888
   1975       54   0.005598     0.009102     0.007081
   1975       55   0.005814     0.008955     0.007177
   1975       56   0.004356     0.011394     0.007421
   1975       57   0.007804     0.011190     0.009278
   1975       58   0.006747     0.012485     0.009270
   1975       59   0.006774     0.015044     0.010423
   1975       60   0.009799     0.016933     0.012966
   1975       61   0.008612     0.020701     0.013946
   1975       62   0.010270     0.019768     0.014414
   1975       63   0.008717     0.019621     0.013417
   1975       64   0.011466     0.021945     0.016003
   1975       65   0.014259     0.023931     0.018549
   1975       66   0.012529     0.026403     0.018756
   1975       67   0.013677     0.029739     0.020872
   1975       68   0.015358     0.034181     0.023937
   1975       69   0.021911     0.034251     0.027566
   1975       70   0.022977     0.043040     0.032077
   1975       71   0.030170     0.045441     0.037088
   1975       72   0.032479     0.050248     0.040459
   1975       73   0.030222     0.058310     0.042810
   1975       74   0.035706     0.057752     0.045585
   1975       75   0.046289     0.065912     0.055057
   1975       76   0.045457     0.074690     0.058309
   1975       77   0.061141     0.082179     0.070236
   1975       78   0.061678     0.080625     0.069805
   1975       79   0.069904     0.100503     0.082781
   1975       80   0.085120     0.099469     0.091142
   1975       81   0.088146     0.135649     0.107532
   1975       82   0.101220     0.142983     0.118050
   1975       83   0.119293     0.162898     0.136474
   1975       84   0.119453     0.155301     0.132860
   1975       85   0.135250     0.202852     0.160732
   1975       86   0.167051     0.226738     0.189723
   1975       87   0.198118     0.202640     0.199693
   1975       88   0.255921     0.261206     0.257689
   1975       89   0.223001     0.289001     0.244566
   1975       90   0.312658     0.318208     0.314412
   1975       91   0.313005     0.382127     0.332649
   1975       92   0.368717     0.382129     0.372592
   1975       93   0.305246     0.379651     0.326600
