33.Okayama.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.006680     0.009582     0.008165
   1975        1   0.001612     0.001856     0.001737
   1975        2   0.000779     0.001229     0.001010
   1975        3   0.000801     0.001059     0.000934
   1975        4   0.000618     0.000710     0.000665
   1975        5   0.000783     0.000942     0.000865
   1975        6   0.000221     0.000627     0.000429
   1975        7   0.000073     0.000278     0.000179
   1975        8   0.000000     0.000239     0.000124
   1975        9   0.000263     0.000327     0.000296
   1975       10   0.000386     0.000511     0.000450
   1975       11   0.000080     0.000611     0.000353
   1975       12   0.000000     0.000078     0.000040
   1975       13   0.000167     0.000238     0.000203
   1975       14   0.000163     0.000317     0.000241
   1975       15   0.000229     0.000381     0.000305
   1975       16   0.000363     0.001405     0.000880
   1975       17   0.000378     0.001196     0.000777
   1975       18   0.000241     0.001461     0.000813
   1975       19   0.000576     0.001079     0.000805
   1975       20   0.000676     0.001717     0.001150
   1975       21   0.000247     0.001054     0.000620
   1975       22   0.000540     0.001900     0.001182
   1975       23   0.000575     0.001326     0.000935
   1975       24   0.001010     0.000789     0.000903
   1975       25   0.000240     0.000962     0.000592
   1975       26   0.000385     0.001596     0.000982
   1975       27   0.000767     0.001341     0.001052
   1975       28   0.001045     0.001785     0.001414
   1975       29   0.001183     0.001088     0.001135
   1975       30   0.000867     0.001548     0.001205
   1975       31   0.000845     0.001377     0.001108
   1975       32   0.000640     0.001508     0.001074
   1975       33   0.000978     0.001486     0.001231
   1975       34   0.000936     0.001781     0.001356
   1975       35   0.000501     0.001646     0.001068
   1975       36   0.000435     0.001730     0.001073
   1975       37   0.001177     0.001971     0.001568
   1975       38   0.001179     0.001924     0.001546
   1975       39   0.001407     0.002080     0.001739
   1975       40   0.000916     0.002866     0.001880
   1975       41   0.001385     0.002933     0.002154
   1975       42   0.002176     0.003027     0.002600
   1975       43   0.001568     0.002824     0.002194
   1975       44   0.001860     0.003619     0.002740
   1975       45   0.001614     0.004538     0.003078
   1975       46   0.002692     0.003412     0.003052
   1975       47   0.002617     0.003803     0.003208
   1975       48   0.002576     0.005273     0.003906
   1975       49   0.002037     0.005427     0.003692
   1975       50   0.002340     0.005351     0.003780
   1975       51   0.003277     0.005430     0.004260
   1975       52   0.003264     0.008444     0.005514
   1975       53   0.004572     0.005724     0.005062
   1975       54   0.004366     0.007215     0.005575
