47.Okinawa.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.010195     0.013688     0.011986
   1975        1   0.001765     0.001941     0.001855
   1975        2   0.000720     0.001289     0.001012
   1975        3   0.000555     0.000532     0.000543
   1975        4   0.000281     0.000902     0.000597
   1975        5   0.000473     0.000816     0.000648
   1975        6   0.000000     0.000726     0.000370
   1975        7   0.000183     0.000534     0.000361
   1975        8   0.000103     0.000100     0.000101
   1975        9   0.000313     0.000711     0.000515
   1975       10   0.000469     0.000550     0.000510
   1975       11   0.000285     0.000275     0.000280
   1975       12   0.000188     0.000729     0.000462
   1975       13   0.000092     0.000630     0.000365
   1975       14   0.000276     0.000447     0.000363
   1975       15   0.000552     0.000990     0.000773
   1975       16   0.000272     0.001519     0.000900
   1975       17   0.000000     0.001256     0.000634
   1975       18   0.000919     0.001203     0.001065
   1975       19   0.000746     0.001493     0.001134
   1975       20   0.000864     0.001038     0.000954
   1975       21   0.000589     0.001671     0.001144
   1975       22   0.000792     0.001510     0.001160
   1975       23   0.001095     0.001459     0.001282
   1975       24   0.001054     0.001588     0.001329
   1975       25   0.000942     0.001569     0.001267
   1975       26   0.000429     0.001597     0.001035
   1975       27   0.000680     0.001811     0.001265
   1975       28   0.001212     0.000868     0.001035
   1975       29   0.001517     0.000831     0.001166
   1975       30   0.001527     0.003043     0.002294
   1975       31   0.002036     0.002025     0.002030
   1975       32   0.000595     0.001920     0.001263
   1975       33   0.001284     0.001847     0.001567
   1975       34   0.000412     0.002350     0.001385
   1975       35   0.000703     0.002264     0.001487
   1975       36   0.000849     0.001687     0.001272
   1975       37   0.001792     0.003151     0.002477
   1975       38   0.001653     0.002057     0.001857
   1975       39   0.002248     0.002859     0.002560
   1975       40   0.002577     0.003577     0.003092
   1975       41   0.002208     0.003681     0.002965
   1975       42   0.001796     0.003866     0.002861
   1975       43   0.002401     0.004186     0.003313
   1975       44   0.002308     0.003414     0.002869
   1975       45   0.002471     0.003848     0.003161
   1975       46   0.001863     0.004145     0.002973
   1975       47   0.003861     0.003216     0.003558
   1975       48   0.003162     0.007279     0.004994
