27.Osaka.fu, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008015     0.010238     0.009159
   1975        1   0.001051     0.000997     0.001023
   1975        2   0.000599     0.000688     0.000645
   1975        3   0.000406     0.000660     0.000537
   1975        4   0.000364     0.000640     0.000506
   1975        5   0.000391     0.000332     0.000361
   1975        6   0.000238     0.000503     0.000374
   1975        7   0.000252     0.000321     0.000287
   1975        8   0.000281     0.000312     0.000297
   1975        9   0.000208     0.000212     0.000210
   1975       10   0.000174     0.000257     0.000216
   1975       11   0.000188     0.000214     0.000201
   1975       12   0.000219     0.000296     0.000258
   1975       13   0.000214     0.000333     0.000275
   1975       14   0.000142     0.000330     0.000239
   1975       15   0.000290     0.000535     0.000415
   1975       16   0.000269     0.000836     0.000558
   1975       17   0.000366     0.001053     0.000717
   1975       18   0.000365     0.000557     0.000463
   1975       19   0.000361     0.000711     0.000541
   1975       20   0.000288     0.000796     0.000550
   1975       21   0.000503     0.000793     0.000653
   1975       22   0.000524     0.000943     0.000740
   1975       23   0.000501     0.000849     0.000679
   1975       24   0.000536     0.001129     0.000839
   1975       25   0.000666     0.000942     0.000805
   1975       26   0.000702     0.000997     0.000850
   1975       27   0.000650     0.000886     0.000768
   1975       28   0.000648     0.001001     0.000825
   1975       29   0.000609     0.000991     0.000802
   1975       30   0.000861     0.001175     0.001019
   1975       31   0.000554     0.001211     0.000884
   1975       32   0.000894     0.001001     0.000948
   1975       33   0.001095     0.001302     0.001200
   1975       34   0.000871     0.001542     0.001212
   1975       35   0.001110     0.001600     0.001360
   1975       36   0.000850     0.001647     0.001258
   1975       37   0.001036     0.001949     0.001504
   1975       38   0.001254     0.002182     0.001730
   1975       39   0.001545     0.002473     0.002023
   1975       40   0.001803     0.002590     0.002207
   1975       41   0.001434     0.002903     0.002190
   1975       42   0.001918     0.003127     0.002541
   1975       43   0.002120     0.003232     0.002694
   1975       44   0.002254     0.004267     0.003293
   1975       45   0.002178     0.004395     0.003313
   1975       46   0.002513     0.004567     0.003558
   1975       47   0.002918     0.005032     0.003987
   1975       48   0.003330     0.005094     0.004216
   1975       49   0.003571     0.005699     0.004624
   1975       50   0.003105     0.005872     0.004445
   1975       51   0.004048     0.006270     0.005091
   1975       52   0.004210     0.008220     0.006016
   1975       53   0.004818     0.007627     0.006050
   1975       54   0.004682     0.008309     0.006254
   1975       55   0.005777     0.010104     0.007665
   1975       56   0.005209     0.009692     0.007171
   1975       57   0.006910     0.010069     0.008298
   1975       58   0.006603     0.012978     0.009434
   1975       59   0.008430     0.013608     0.010734
   1975       60   0.007787     0.014211     0.010658
   1975       61   0.009237     0.015724     0.012137
   1975       62   0.010021     0.018444     0.013778
   1975       63   0.010990     0.022148     0.015995
   1975       64   0.012044     0.024119     0.017479
   1975       65   0.014545     0.023752     0.018677
   1975       66   0.015598     0.027379     0.020899
   1975       67   0.016619     0.031405     0.023232
   1975       68   0.021507     0.039578     0.029709
   1975       69   0.021455     0.037742     0.028859
   1975       70   0.023761     0.043209     0.032429
   1975       71   0.026681     0.046726     0.035703
   1975       72   0.032920     0.052252     0.041510
   1975       73   0.037161     0.062391     0.048169
   1975       74   0.039847     0.069215     0.052434
   1975       75   0.046754     0.071426     0.057254
   1975       76   0.050924     0.080746     0.063485
   1975       77   0.060552     0.088064     0.071857
   1975       78   0.064220     0.096858     0.077423
   1975       79   0.082634     0.108663     0.092972
   1975       80   0.090003     0.116494     0.100354
   1975       81   0.100003     0.127810     0.110709
   1975       82   0.106758     0.158788     0.126081
   1975       83   0.122099     0.148759     0.131555
   1975       84   0.140129     0.175124     0.152000
   1975       85   0.152771     0.188704     0.164567
   1975       86   0.157972     0.210675     0.174445
