41.Saga.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009336     0.011254     0.010324
   1975        1   0.001621     0.001985     0.001807
   1975        2   0.000747     0.001577     0.001171
   1975        3   0.000460     0.000874     0.000672
   1975        4   0.000626     0.000294     0.000455
   1975        5   0.000469     0.000443     0.000456
   1975        6   0.000616     0.000873     0.000748
   1975        7   0.000296     0.000844     0.000577
   1975        8   0.000000     0.000628     0.000321
   1975        9   0.000489     0.000316     0.000401
   1975       10   0.000145     0.000286     0.000216
   1975       11   0.000299     0.000145     0.000221
   1975       12   0.000150     0.000282     0.000218
   1975       13   0.000293     0.000139     0.000214
   1975       14   0.000284     0.000138     0.000210
   1975       15   0.000139     0.000272     0.000206
   1975       16   0.000000     0.000666     0.000336
   1975       17   0.000000     0.000896     0.000443
   1975       18   0.000492     0.000381     0.000441
   1975       19   0.000674     0.001280     0.000941
   1975       20   0.001151     0.001267     0.001202
   1975       21   0.000774     0.000398     0.000610
   1975       22   0.000437     0.002046     0.001143
   1975       23   0.000281     0.001569     0.000857
   1975       24   0.000691     0.001135     0.000895
   1975       25   0.000784     0.001194     0.000976
   1975       26   0.000906     0.001855     0.001358
   1975       27   0.000695     0.001312     0.000997
   1975       28   0.000507     0.001255     0.000872
   1975       29   0.000875     0.000958     0.000914
   1975       30   0.001034     0.001630     0.001317
   1975       31   0.000913     0.001872     0.001363
   1975       32   0.000886     0.001427     0.001139
   1975       33   0.001193     0.002320     0.001724
   1975       34   0.001013     0.001713     0.001345
   1975       35   0.001084     0.002674     0.001835
   1975       36   0.000942     0.001730     0.001311
   1975       37   0.001590     0.001599     0.001595
   1975       38   0.002024     0.002627     0.002312
   1975       39   0.001161     0.002213     0.001663
   1975       40   0.000977     0.003440     0.002155
   1975       41   0.002272     0.003421     0.002821
   1975       42   0.001552     0.003988     0.002710
   1975       43   0.002350     0.004798     0.003526
   1975       44   0.001789     0.005397     0.003545
   1975       45   0.001447     0.004761     0.003044
   1975       46   0.002546     0.004388     0.003426
   1975       47   0.003107     0.004846     0.003941
   1975       48   0.002818     0.003248     0.003026
   1975       49   0.003959     0.007487     0.005642
   1975       50   0.002219     0.004364     0.003216
   1975       51   0.003645     0.006955     0.005123
   1975       52   0.004179     0.010280     0.006788
   1975       53   0.005023     0.009819     0.007023
   1975       54   0.004646     0.007330     0.005767
   1975       55   0.006003     0.008023     0.006854
   1975       56   0.006374     0.011086     0.008386
   1975       57   0.005917     0.010444     0.007880
   1975       58   0.007533     0.010984     0.009036
   1975       59   0.007541     0.016343     0.011355
   1975       60   0.006988     0.016511     0.011128
   1975       61   0.007484     0.015154     0.010775
   1975       62   0.007487     0.018290     0.012061
   1975       63   0.010935     0.022233     0.015744
   1975       64   0.012668     0.022109     0.016780
   1975       65   0.012396     0.021584     0.016479
   1975       66   0.013342     0.026012     0.018997
   1975       67   0.016642     0.026011     0.020788
   1975       68   0.018541     0.039077     0.027681
   1975       69   0.017321     0.031262     0.023550
   1975       70   0.022172     0.051502     0.035152
   1975       71   0.022507     0.043705     0.031853
   1975       72   0.025593     0.044454     0.033805
   1975       73   0.032272     0.053786     0.041647
   1975       74   0.032345     0.059222     0.043908
   1975       75   0.042132     0.059145     0.049338
   1975       76   0.050832     0.084879     0.064865
   1975       77   0.061485     0.079039     0.068594
   1975       78   0.060132     0.088680     0.071672
   1975       79   0.076159     0.107423     0.088714
   1975       80   0.083977     0.106666     0.092971
   1975       81   0.088041     0.122814     0.100921
   1975       82   0.115913     0.151726     0.128899
   1975       83   0.112028     0.141957     0.122607
   1975       84   0.130615     0.193178     0.151996
   1975       85   0.142516     0.176401     0.153923
   1975       86   0.143841     0.203008     0.163974
   1975       87   0.188516     0.225449     0.200895
   1975       88   0.213532     0.217233     0.214716
   1975       89   0.190091     0.133515     0.172646
   1975       90   0.208985     0.246428     0.219560
   1975       91   0.307424     0.203936     0.281025
   1975       92   0.315477     0.400373     0.337389
   1975       93   0.339623     0.431869     0.362406
   1975       94   0.428571     0.233493     0.384739
   1975       95   0.436830     0.000000     0.330809
   1975       96   0.234320     0.714286     0.352879
   1975       97   0.374579     0.272727     0.352630
   1975       98   0.499251     0.000000     0.399521
