11.Saitama.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008550     0.011461     0.010047
   1975        1   0.001026     0.001297     0.001165
   1975        2   0.000688     0.000686     0.000687
   1975        3   0.000359     0.000697     0.000533
   1975        4   0.000488     0.000443     0.000465
   1975        5   0.000449     0.000676     0.000565
   1975        6   0.000277     0.000503     0.000393
   1975        7   0.000128     0.000324     0.000229
   1975        8   0.000151     0.000498     0.000330
   1975        9   0.000135     0.000231     0.000184
   1975       10   0.000202     0.000339     0.000272
   1975       11   0.000112     0.000213     0.000164
   1975       12   0.000244     0.000261     0.000253
   1975       13   0.000264     0.000312     0.000289
   1975       14   0.000274     0.000390     0.000334
   1975       15   0.000000     0.000630     0.000322
   1975       16   0.000140     0.001143     0.000651
   1975       17   0.000244     0.000896     0.000579
   1975       18   0.000425     0.000840     0.000642
   1975       19   0.000242     0.000728     0.000499
   1975       20   0.000479     0.001044     0.000777
   1975       21   0.000325     0.001183     0.000774
   1975       22   0.000357     0.001228     0.000808
   1975       23   0.000349     0.000862     0.000612
   1975       24   0.000673     0.001033     0.000855
   1975       25   0.000506     0.001069     0.000786
   1975       26   0.000389     0.000747     0.000566
   1975       27   0.000563     0.000949     0.000754
   1975       28   0.000565     0.000983     0.000772
   1975       29   0.000592     0.000819     0.000706
   1975       30   0.000683     0.001135     0.000909
   1975       31   0.000726     0.001178     0.000953
   1975       32   0.000722     0.001030     0.000879
   1975       33   0.000656     0.001159     0.000915
   1975       34   0.000619     0.001051     0.000843
   1975       35   0.000847     0.001026     0.000941
   1975       36   0.000728     0.001347     0.001055
   1975       37   0.001159     0.001745     0.001471
   1975       38   0.001218     0.001803     0.001531
   1975       39   0.001377     0.002036     0.001732
   1975       40   0.001261     0.002310     0.001826
   1975       41   0.001489     0.002878     0.002236
   1975       42   0.001726     0.002675     0.002236
   1975       43   0.001744     0.003115     0.002479
   1975       44   0.002036     0.003683     0.002914
   1975       45   0.002117     0.003573     0.002887
   1975       46   0.002983     0.003910     0.003470
   1975       47   0.002063     0.004148     0.003149
   1975       48   0.003243     0.005274     0.004289
   1975       49   0.002929     0.005391     0.004175
   1975       50   0.003571     0.004704     0.004129
   1975       51   0.003859     0.006888     0.005286
   1975       52   0.003749     0.006065     0.004790
   1975       53   0.004638     0.006732     0.005560
   1975       54   0.005430     0.006931     0.006092
   1975       55   0.005317     0.007370     0.006235
   1975       56   0.005168     0.009558     0.007147
   1975       57   0.006779     0.010644     0.008517
   1975       58   0.006603     0.011439     0.008792
   1975       59   0.006352     0.012061     0.008950
   1975       60   0.006531     0.014712     0.010263
