25.Shiga.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009491     0.011644     0.010599
   1975        1   0.000555     0.001796     0.001191
   1975        2   0.000671     0.001062     0.000871
   1975        3   0.000573     0.000542     0.000557
   1975        4   0.000833     0.000452     0.000637
   1975        5   0.000124     0.000472     0.000303
   1975        6   0.000255     0.000728     0.000497
   1975        7   0.000252     0.000121     0.000186
   1975        8   0.000595     0.000569     0.000581
   1975        9   0.000781     0.000000     0.000378
   1975       10   0.000000     0.000262     0.000135
   1975       11   0.000144     0.000551     0.000352
   1975       12   0.000441     0.000426     0.000433
   1975       13   0.000000     0.000581     0.000295
   1975       14   0.000000     0.000146     0.000074
   1975       15   0.000140     0.000432     0.000284
   1975       16   0.000134     0.001837     0.000965
   1975       17   0.000418     0.001466     0.000929
   1975       18   0.000144     0.000611     0.000371
   1975       19   0.000991     0.001028     0.001009
   1975       20   0.000571     0.001607     0.001083
   1975       21   0.000139     0.001152     0.000638
   1975       22   0.000524     0.001346     0.000930
   1975       23   0.000247     0.001001     0.000623
   1975       24   0.000581     0.000810     0.000696
   1975       25   0.000518     0.001463     0.000990
   1975       26   0.000484     0.000780     0.000632
   1975       27   0.000500     0.001189     0.000846
   1975       28   0.000609     0.000720     0.000665
   1975       29   0.000637     0.000776     0.000707
   1975       30   0.000741     0.001640     0.001193
   1975       31   0.000643     0.001272     0.000961
   1975       32   0.000515     0.000992     0.000759
   1975       33   0.000781     0.000998     0.000893
   1975       34   0.001740     0.001173     0.001451
   1975       35   0.001827     0.001053     0.001434
   1975       36   0.000986     0.001790     0.001393
   1975       37   0.000912     0.001349     0.001133
   1975       38   0.000717     0.001706     0.001217
   1975       39   0.001149     0.002438     0.001799
   1975       40   0.001748     0.002663     0.002206
   1975       41   0.001200     0.001347     0.001274
   1975       42   0.001465     0.002862     0.002176
   1975       43   0.001882     0.003071     0.002490
   1975       44   0.001943     0.004278     0.003146
   1975       45   0.003355     0.002206     0.002764
   1975       46   0.002131     0.003798     0.002986
   1975       47   0.002471     0.003290     0.002890
   1975       48   0.004274     0.003562     0.003912
   1975       49   0.002540     0.003879     0.003207
   1975       50   0.004970     0.004311     0.004652
   1975       51   0.005102     0.003579     0.004417
   1975       52   0.004036     0.005613     0.004681
   1975       53   0.003856     0.008951     0.005886
   1975       54   0.005255     0.007358     0.006116
   1975       55   0.007466     0.007273     0.007384
   1975       56   0.003611     0.009807     0.006296
   1975       57   0.005590     0.011181     0.007993
   1975       58   0.007828     0.012741     0.009932
   1975       59   0.008713     0.012720     0.010455
   1975       60   0.007899     0.016012     0.011478
   1975       61   0.007753     0.013878     0.010414
   1975       62   0.008666     0.016146     0.011901
   1975       63   0.010048     0.016554     0.012903
   1975       64   0.011393     0.019679     0.015072
   1975       65   0.012111     0.026596     0.018663
   1975       66   0.014545     0.025231     0.019400
   1975       67   0.015656     0.034326     0.024051
   1975       68   0.019126     0.042172     0.029644
   1975       69   0.020822     0.041987     0.030474
   1975       70   0.024999     0.048558     0.035558
   1975       71   0.028990     0.053004     0.039753
   1975       72   0.030837     0.055464     0.041707
   1975       73   0.029234     0.056163     0.040969
   1975       74   0.048877     0.068671     0.057437
   1975       75   0.052406     0.073648     0.061611
   1975       76   0.054635     0.094180     0.071539
   1975       77   0.061700     0.087507     0.072429
   1975       78   0.067330     0.099505     0.080515
   1975       79   0.074137     0.101141     0.084980
   1975       80   0.079256     0.108191     0.090574
   1975       81   0.104973     0.141355     0.119053
   1975       82   0.123651     0.147244     0.132553
   1975       83   0.135378     0.188148     0.154584
   1975       84   0.140050     0.200115     0.159906
   1975       85   0.158223     0.188779     0.168107
   1975       86   0.166336     0.197006     0.176092
   1975       87   0.199949     0.248076     0.214769
   1975       88   0.176981     0.331749     0.222234
   1975       89   0.247452     0.319041     0.266495
   1975       90   0.238523     0.411557     0.282493
   1975       91   0.372854     0.430353     0.387232
   1975       92   0.240477     0.507534     0.308444
   1975       93   0.254717     0.471689     0.308590
   1975       94   0.304348     0.399600     0.327788
   1975       95   0.293988     0.856225     0.415145
   1975       96   0.322853     0.342857     0.327094
   1975       97   0.652174     1.200000     0.786885
   1975       98   0.400000     2.250000     0.789474
   1975       99   0.642857     0.000000     0.486486
   1975      100   0.000000     0.375000     0.240000
   1975      101   0.000000     0.000000     0.000000
   1975      102   0.000000            .     0.000000
   1975      103          .            .            .
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+  0.000000            .     0.000000
   1976        0   0.008598     0.011401     0.010036
   1976        1   0.001133     0.001070     0.001101
   1976        2   0.000660     0.000732     0.000697
   1976        3   0.000332     0.001052     0.000702
   1976        4   0.000227     0.000753     0.000497
   1976        5   0.000354     0.000224     0.000287
   1976        6   0.000616     0.000585     0.000600
   1976        7   0.000253     0.000121     0.000185
   1976        8   0.000251     0.000362     0.000307
   1976        9   0.000148     0.000282     0.000216
   1976       10   0.000000     0.000437     0.000225
   1976       11   0.000276     0.000260     0.000268
   1976       12   0.000143     0.000275     0.000210
   1976       13   0.000146     0.000284     0.000215
   1976       14   0.000149     0.000145     0.000147
   1976       15   0.000000     0.000736     0.000369
   1976       16   0.000141     0.001025     0.000575
   1976       17   0.000000     0.001287     0.000627
   1976       18   0.000140     0.001481     0.000794
   1976       19   0.000292     0.000613     0.000448
   1976       20   0.000423     0.000884     0.000650
   1976       21   0.000142     0.001015     0.000575
   1976       22   0.000693     0.000997     0.000843
   1976       23   0.000776     0.001064     0.000918
   1976       24   0.001106     0.001115     0.001111
   1976       25   0.000346     0.001044     0.000696
   1976       26   0.000408     0.000925     0.000666
   1976       27   0.000865     0.000482     0.000674
   1976       28   0.001092     0.001379     0.001237
   1976       29   0.000961     0.001302     0.001133
   1976       30   0.000315     0.000312     0.000313
   1976       31   0.000438     0.001021     0.000731
   1976       32   0.000636     0.001515     0.001080
   1976       33   0.001018     0.000734     0.000872
   1976       34   0.001163     0.000616     0.000882
   1976       35   0.001467     0.001799     0.001637
   1976       36   0.000300     0.001772     0.001048
   1976       37   0.000816     0.002111     0.001472
   1976       38   0.001206     0.001482     0.001346
   1976       39   0.001139     0.001695     0.001420
   1976       40   0.001860     0.002011     0.001936
   1976       41   0.002178     0.001767     0.001972
   1976       42   0.001048     0.003266     0.002168
   1976       43   0.002626     0.003004     0.002819
   1976       44   0.001885     0.002243     0.002069
   1976       45   0.001191     0.002572     0.001902
   1976       46   0.003663     0.003061     0.003353
   1976       47   0.002128     0.004675     0.003433
   1976       48   0.003239     0.004639     0.003954
   1976       49   0.001581     0.003257     0.002432
   1976       50   0.003329     0.005170     0.004245
   1976       51   0.003302     0.005375     0.004301
   1976       52   0.002724     0.006093     0.004239
   1976       53   0.004390     0.005381     0.004794
   1976       54   0.005520     0.008428     0.006676
   1976       55   0.004535     0.008472     0.006144
   1976       56   0.005188     0.010702     0.007532
   1976       57   0.004040     0.009572     0.006431
   1976       58   0.005159     0.011803     0.008007
   1976       59   0.007664     0.010887     0.009040
   1976       60   0.007334     0.014239     0.010323
   1976       61   0.007530     0.013040     0.009954
   1976       62   0.007582     0.015951     0.011199
   1976       63   0.009796     0.016389     0.012635
   1976       64   0.011897     0.019123     0.015051
   1976       65   0.011721     0.018891     0.014885
   1976       66   0.018381     0.026045     0.021828
   1976       67   0.016739     0.035774     0.025309
   1976       68   0.017743     0.033932     0.024946
   1976       69   0.025983     0.040913     0.032729
   1976       70   0.024465     0.040987     0.031924
   1976       71   0.020477     0.053674     0.035168
   1976       72   0.032158     0.054407     0.042013
   1976       73   0.032346     0.061580     0.045057
   1976       74   0.034506     0.058171     0.044670
   1976       75   0.047193     0.088545     0.064815
   1976       76   0.060614     0.083720     0.070447
   1976       77   0.057234     0.095449     0.073195
   1976       78   0.070480     0.104234     0.084226
   1976       79   0.086406     0.123604     0.101392
   1976       80   0.074280     0.128147     0.095261
   1976       81   0.109445     0.138159     0.120385
   1976       82   0.103876     0.186752     0.134998
   1976       83   0.124391     0.190465     0.148619
   1976       84   0.130577     0.216616     0.160386
   1976       85   0.163018     0.165824     0.163907
   1976       86   0.210437     0.208063     0.209671
   1976       87   0.189172     0.216325     0.197689
   1976       88   0.237577     0.297692     0.255159
   1976       89   0.156372     0.390415     0.219484
   1976       90   0.262873     0.318664     0.275999
   1976       91   0.331538     0.369607     0.340306
   1976       92   0.367550     0.338752     0.360521
   1976       93   0.310345     0.202703     0.284314
   1976       94   0.373770     0.428440     0.387068
   1976       95   0.341969     0.239569     0.320869
   1976       96   0.599615     0.998004     0.669997
   1976       97   0.517943     1.125000     0.617983
   1976       98   0.461538     0.000000     0.375000
   1976       99   0.000000     6.000000     0.272727
   1976      100   0.260870     1.200000     0.428571
   1976      101   4.000000     0.000000     0.800000
   1976      102   0.000000     0.000000     0.000000
   1976      103   0.000000            .     0.000000
   1976      104          .            .            .
   1976      105          .            .            .
   1976      106          .            .            .
   1976      107          .            .            .
   1976      108          .            .            .
   1976      109          .            .            .
   1976      110+  1.500000            .     1.500000
   1977        0   0.007586     0.010174     0.008914
   1977        1   0.001275     0.001321     0.001299
   1977        2   0.001005     0.001053     0.001030
   1977        3   0.000108     0.001238     0.000687
   1977        4   0.000545     0.000726     0.000638
   1977        5   0.000224     0.000212     0.000218
   1977        6   0.000116     0.000442     0.000283
   1977        7   0.000486     0.000578     0.000533
   1977        8   0.000374     0.000357     0.000366
   1977        9   0.000372     0.000357     0.000364
   1977       10   0.000146     0.000000     0.000071
   1977       11   0.000153     0.000000     0.000074
   1977       12   0.000410     0.000258     0.000332
   1977       13   0.000422     0.000273     0.000347
   1977       14   0.000287     0.000708     0.000499
   1977       15   0.000449     0.000294     0.000371
   1977       16   0.000295     0.000448     0.000371
   1977       17   0.000426     0.000299     0.000364
   1977       18   0.000138     0.000291     0.000212
   1977       19   0.000571     0.001500     0.001024
   1977       20   0.000582     0.000616     0.000599
   1977       21   0.000423     0.000728     0.000573
   1977       22   0.000424     0.001429     0.000923
   1977       23   0.000139     0.000140     0.000140
   1977       24   0.000641     0.000263     0.000454
   1977       25   0.000609     0.000369     0.000490
   1977       26   0.000795     0.001357     0.001077
   1977       27   0.000201     0.000406     0.000303
   1977       28   0.000661     0.001051     0.000856
   1977       29   0.000292     0.001165     0.000731
   1977       30   0.000711     0.000705     0.000708
   1977       31   0.000156     0.001517     0.000846
   1977       32   0.000574     0.001586     0.001083
   1977       33   0.000502     0.001237     0.000874
   1977       34   0.000630     0.001204     0.000925
   1977       35   0.001024     0.000732     0.000874
   1977       36   0.000921     0.001400     0.001166
   1977       37   0.001634     0.001453     0.001542
   1977       38   0.000487     0.002233     0.001372
   1977       39   0.001046     0.002809     0.001940
   1977       40   0.000848     0.001560     0.001208
   1977       41   0.001279     0.002545     0.001918
   1977       42   0.002028     0.002333     0.002181
   1977       43   0.001343     0.002078     0.001714
   1977       44   0.003340     0.002545     0.002935
   1977       45   0.002456     0.003940     0.003215
   1977       46   0.002228     0.003545     0.002906
   1977       47   0.002129     0.004360     0.003276
   1977       48   0.003638     0.005106     0.004389
   1977       49   0.003075     0.003442     0.003262
   1977       50   0.003472     0.004966     0.004231
   1977       51   0.003320     0.004354     0.003834
   1977       52   0.004284     0.004297     0.004291
   1977       53   0.004758     0.007137     0.005827
   1977       54   0.004030     0.004880     0.004377
   1977       55   0.004592     0.007338     0.005680
   1977       56   0.004165     0.009557     0.006362
   1977       57   0.004031     0.009221     0.006229
   1977       58   0.005965     0.009882     0.007652
   1977       59   0.004737     0.012737     0.008157
   1977       60   0.006634     0.010140     0.008126
   1977       61   0.010646     0.009993     0.010363
   1977       62   0.011463     0.015226     0.013116
   1977       63   0.010745     0.016393     0.013181
   1977       64   0.012024     0.017224     0.014254
   1977       65   0.009760     0.025256     0.016485
   1977       66   0.015243     0.023076     0.018676
   1977       67   0.017904     0.026319     0.021667
   1977       68   0.015451     0.034971     0.024162
   1977       69   0.020168     0.038170     0.028096
   1977       70   0.020823     0.040565     0.029669
   1977       71   0.025930     0.045998     0.034875
   1977       72   0.027999     0.053009     0.038937
   1977       73   0.030621     0.066833     0.046406
   1977       74   0.040708     0.067230     0.052049
   1977       75   0.047830     0.069168     0.056869
   1977       76   0.048769     0.086940     0.064790
   1977       77   0.052420     0.082088     0.064777
   1977       78   0.067522     0.068929     0.068099
   1977       79   0.079977     0.105378     0.090184
   1977       80   0.072217     0.107893     0.086201
   1977       81   0.104866     0.125682     0.112813
   1977       82   0.088568     0.126444     0.102584
   1977       83   0.116630     0.178280     0.138954
   1977       84   0.115289     0.154468     0.129033
   1977       85   0.145434     0.189839     0.160452
   1977       86   0.178270     0.234859     0.195821
   1977       87   0.195319     0.192794     0.194514
   1977       88   0.198803     0.244243     0.212908
   1977       89   0.268937     0.171482     0.240711
   1977       90   0.222129     0.300142     0.241774
   1977       91   0.316877     0.211740     0.293065
   1977       92   0.268800     0.349206     0.287469
   1977       93   0.308725     0.197368     0.280467
   1977       94   0.420732     0.560748     0.455172
   1977       95   0.266010     0.491562     0.318146
   1977       96   0.442623     1.005405     0.535296
   1977       97   0.329345     1.333333     0.419622
   1977       98   0.452063     2.000000     0.609240
   1977       99   0.315789            .     0.315789
   1977      100   1.058824            .     1.058824
   1977      101   1.500000     3.000000     1.800000
   1977      102          .     0.750000     0.750000
   1977      103   3.000000     0.000000     0.750000
   1977      104          .            .            .
   1977      105          .            .            .
   1977      106          .            .            .
   1977      107          .            .            .
   1977      108          .            .            .
   1977      109          .            .            .
   1977      110+         .            .            .
   1978        0   0.006705     0.008828     0.007799
   1978        1   0.001065     0.001576     0.001327
   1978        2   0.000914     0.000980     0.000948
   1978        3   0.000441     0.000830     0.000642
   1978        4   0.000748     0.000711     0.000729
   1978        5   0.000216     0.000511     0.000367
   1978        6   0.000441     0.000523     0.000483
   1978        7   0.000115     0.000218     0.000168
   1978        8   0.000240     0.000000     0.000117
   1978        9   0.000123     0.000236     0.000181
   1978       10   0.000123     0.000353     0.000240
   1978       11   0.000289     0.000414     0.000353
   1978       12   0.000152     0.000287     0.000221
   1978       13   0.000134     0.000256     0.000197
   1978       14   0.000416     0.000679     0.000549
   1978       15   0.000425     0.000283     0.000354
   1978       16   0.000439     0.000880     0.000659
   1978       17   0.000295     0.000605     0.000448
   1978       18   0.000144     0.000760     0.000444
   1978       19   0.000419     0.001781     0.001080
   1978       20   0.000577     0.001365     0.000962
   1978       21   0.000439     0.000458     0.000449
   1978       22   0.000282     0.001727     0.000996
   1978       23   0.000419     0.000988     0.000702
   1978       24   0.000541     0.001246     0.000889
   1978       25   0.000631     0.001302     0.000963
   1978       26   0.000598     0.000969     0.000783
   1978       27   0.001007     0.000446     0.000725
   1978       28   0.000795     0.000796     0.000796
   1978       29   0.000836     0.000747     0.000792
   1978       30   0.000575     0.000574     0.000575
   1978       31   0.000697     0.000913     0.000806
   1978       32   0.000915     0.000752     0.000832
   1978       33   0.000848     0.000988     0.000918
   1978       34   0.000371     0.001594     0.000990
   1978       35   0.000372     0.001199     0.000796
   1978       36   0.001003     0.001314     0.001163
   1978       37   0.000781     0.001127     0.000958
   1978       38   0.000587     0.001152     0.000874
   1978       39   0.000962     0.001112     0.001038
   1978       40   0.000740     0.000882     0.000812
   1978       41   0.001677     0.003320     0.002509
   1978       42   0.001128     0.002960     0.002053
