32.Shimane.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.006557     0.012056     0.009365
   1975        1   0.000705     0.001505     0.001115
   1975        2   0.001764     0.000675     0.001207
   1975        3   0.000366     0.000525     0.000447
   1975        4   0.000379     0.000354     0.000366
   1975        5   0.000192     0.000356     0.000277
   1975        6   0.000191     0.000537     0.000369
   1975        7   0.000000     0.000340     0.000175
   1975        8   0.000000     0.001132     0.000587
   1975        9   0.000000     0.000582     0.000301
   1975       10   0.000359     0.000171     0.000263
   1975       11   0.000000     0.000172     0.000088
   1975       12   0.000525     0.000679     0.000603
   1975       13   0.000000     0.000167     0.000085
   1975       14   0.000168     0.000656     0.000415
   1975       15   0.000496     0.000157     0.000322
   1975       16   0.000163     0.000308     0.000237
   1975       17   0.000000     0.000884     0.000452
   1975       18   0.000745     0.001423     0.001093
   1975       19   0.000293     0.001464     0.000876
   1975       20   0.002171     0.001213     0.001719
   1975       21   0.000714     0.003105     0.001808
   1975       22   0.000854     0.000748     0.000805
   1975       23   0.000195     0.001970     0.001034
   1975       24   0.000548     0.001363     0.000942
   1975       25   0.000163     0.002281     0.001194
   1975       26   0.000929     0.002063     0.001490
   1975       27   0.000773     0.001220     0.000998
   1975       28   0.000750     0.001684     0.001219
   1975       29   0.000766     0.000519     0.000643
   1975       30   0.000703     0.002266     0.001464
   1975       31   0.000405     0.001321     0.000845
   1975       32   0.000593     0.002558     0.001544
   1975       33   0.000780     0.001491     0.001122
   1975       34   0.000986     0.000886     0.000939
   1975       35   0.001290     0.001687     0.001479
   1975       36   0.001288     0.002615     0.001923
   1975       37   0.001872     0.001048     0.001480
   1975       38   0.000854     0.003115     0.001919
   1975       39   0.001835     0.002253     0.002033
   1975       40   0.001808     0.003127     0.002437
   1975       41   0.002622     0.003430     0.003010
   1975       42   0.001883     0.003895     0.002857
   1975       43   0.001090     0.004291     0.002652
   1975       44   0.002900     0.004296     0.003581
   1975       45   0.001752     0.004595     0.003114
   1975       46   0.002034     0.004455     0.003195
   1975       47   0.002072     0.004724     0.003344
   1975       48   0.003351     0.005025     0.004144
   1975       49   0.002062     0.005117     0.003489
   1975       50   0.004339     0.006725     0.005438
   1975       51   0.004671     0.008064     0.006204
   1975       52   0.001422     0.008284     0.004470
   1975       53   0.004556     0.006338     0.005339
   1975       54   0.004683     0.008494     0.006339
   1975       55   0.005201     0.008666     0.006725
   1975       56   0.005323     0.010108     0.007458
   1975       57   0.003719     0.011717     0.007242
   1975       58   0.007395     0.011150     0.009024
   1975       59   0.008849     0.011597     0.010041
   1975       60   0.007797     0.016244     0.011493
   1975       61   0.009714     0.014495     0.011811
   1975       62   0.010207     0.014297     0.011999
   1975       63   0.010043     0.020802     0.014751
   1975       64   0.013750     0.017483     0.015381
   1975       65   0.010134     0.021967     0.015316
   1975       66   0.014831     0.026256     0.019840
   1975       67   0.017927     0.029704     0.023065
   1975       68   0.016305     0.033021     0.023782
   1975       69   0.019871     0.035529     0.027024
   1975       70   0.026045     0.035923     0.030567
   1975       71   0.023563     0.041283     0.031722
   1975       72   0.025674     0.051902     0.037876
   1975       73   0.033245     0.056841     0.044217
   1975       74   0.040367     0.059215     0.048931
   1975       75   0.037797     0.066256     0.050548
   1975       76   0.045213     0.061100     0.052304
   1975       77   0.048867     0.086951     0.065477
   1975       78   0.063603     0.086458     0.073425
   1975       79   0.069296     0.092087     0.079086
   1975       80   0.067392     0.109670     0.085180
   1975       81   0.094478     0.129762     0.108783
   1975       82   0.093952     0.148691     0.116144
   1975       83   0.135560     0.155262     0.143327
   1975       84   0.124693     0.150115     0.134420
   1975       85   0.151552     0.165651     0.156741
   1975       86   0.144008     0.208189     0.167578
   1975       87   0.126722     0.230502     0.162149
   1975       88   0.227509     0.172219     0.209874
   1975       89   0.219920     0.243720     0.227532
   1975       90   0.244832     0.201369     0.231456
   1975       91   0.215869     0.298124     0.242263
   1975       92   0.249022     0.307427     0.265260
   1975       93   0.330781     0.305171     0.323980
   1975       94   0.317797     0.539545     0.378559
   1975       95   0.374965     0.174656     0.326172
   1975       96   0.418532     0.857755     0.545590
   1975       97   0.252552     0.486486     0.318110
   1975       98   0.608431     0.272727     0.527299
   1975       99   0.285714     0.000000     0.210526
   1975      100   0.888889     0.857143     0.882353
   1975      101   0.000000     0.000000     0.000000
   1975      102          .            .            .
   1975      103   3.000000            .     3.000000
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.007489     0.011657     0.009629
   1976        1   0.000362     0.001213     0.000796
   1976        2   0.001049     0.000998     0.001023
   1976        3   0.000350     0.001006     0.000685
   1976        4   0.000727     0.001217     0.000977
