22.Shizuoka.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008336     0.009893     0.009138
   1975        1   0.000996     0.001549     0.001279
   1975        2   0.000824     0.000822     0.000823
   1975        3   0.000536     0.000904     0.000724
   1975        4   0.000414     0.000629     0.000524
   1975        5   0.000322     0.000646     0.000488
   1975        6   0.000220     0.000520     0.000374
   1975        7   0.000215     0.000479     0.000350
   1975        8   0.000208     0.000475     0.000345
   1975        9   0.000173     0.000326     0.000252
   1975       10   0.000154     0.000401     0.000281
   1975       11   0.000202     0.000153     0.000177
   1975       12   0.000167     0.000157     0.000162
   1975       13   0.000127     0.000080     0.000103
   1975       14   0.000459     0.000403     0.000430
   1975       15   0.000405     0.000441     0.000423
   1975       16   0.000432     0.000871     0.000651
   1975       17   0.000247     0.001309     0.000772
   1975       18   0.000363     0.001050     0.000699
   1975       19   0.000417     0.001480     0.000931
   1975       20   0.000490     0.001078     0.000771
   1975       21   0.000666     0.001391     0.001009
   1975       22   0.000459     0.001116     0.000775
   1975       23   0.000427     0.001481     0.000943
   1975       24   0.000333     0.001314     0.000820
   1975       25   0.000539     0.001192     0.000864
   1975       26   0.000505     0.000991     0.000747
   1975       27   0.000515     0.000994     0.000756
   1975       28   0.000839     0.000828     0.000833
   1975       29   0.000441     0.000993     0.000721
   1975       30   0.000881     0.000894     0.000887
   1975       31   0.001100     0.001134     0.001117
   1975       32   0.000677     0.001200     0.000941
   1975       33   0.001001     0.001483     0.001245
   1975       34   0.000896     0.001882     0.001395
   1975       35   0.001463     0.001529     0.001496
   1975       36   0.000599     0.001397     0.001003
   1975       37   0.001221     0.002015     0.001622
   1975       38   0.001238     0.002201     0.001726
   1975       39   0.001616     0.002260     0.001944
   1975       40   0.001378     0.002976     0.002188
   1975       41   0.001846     0.002820     0.002340
   1975       42   0.001418     0.002834     0.002136
   1975       43   0.001852     0.004429     0.003164
   1975       44   0.001870     0.003972     0.002944
   1975       45   0.001982     0.004505     0.003269
   1975       46   0.002006     0.004411     0.003228
   1975       47   0.002540     0.004343     0.003451
   1975       48   0.002756     0.004368     0.003567
   1975       49   0.002492     0.004747     0.003612
   1975       50   0.003695     0.005737     0.004688
   1975       51   0.003430     0.006097     0.004668
   1975       52   0.003747     0.006925     0.005145
   1975       53   0.003925     0.005522     0.004604
   1975       54   0.003527     0.006329     0.004697
   1975       55   0.003938     0.008102     0.005713
   1975       56   0.004962     0.008243     0.006407
   1975       57   0.006305     0.011089     0.008446
   1975       58   0.004801     0.011873     0.007963
   1975       59   0.006504     0.011625     0.008797
   1975       60   0.006878     0.013128     0.009679
