09.Tochigi.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008716     0.013015     0.010928
   1975        1   0.000909     0.001664     0.001297
   1975        2   0.000976     0.001365     0.001176
   1975        3   0.000736     0.000827     0.000783
   1975        4   0.000554     0.000921     0.000743
   1975        5   0.000362     0.000412     0.000387
   1975        6   0.000149     0.000424     0.000290
   1975        7   0.000218     0.000629     0.000427
   1975        8   0.000333     0.000399     0.000367
   1975        9   0.000172     0.000497     0.000338
   1975       10   0.000077     0.000298     0.000189
   1975       11   0.000080     0.000307     0.000196
   1975       12   0.000245     0.000549     0.000400
   1975       13   0.000082     0.000554     0.000322
   1975       14   0.000081     0.000771     0.000433
   1975       15   0.000231     0.000373     0.000304
   1975       16   0.000074     0.001021     0.000552
   1975       17   0.000077     0.001162     0.000620
   1975       18   0.000508     0.001711     0.001107
   1975       19   0.000424     0.001546     0.000981
   1975       20   0.000564     0.001101     0.000826
   1975       21   0.000456     0.001801     0.001104
   1975       22   0.000285     0.001366     0.000808
   1975       23   0.001002     0.001250     0.001124
   1975       24   0.000759     0.001086     0.000922
   1975       25   0.000645     0.000997     0.000822
   1975       26   0.000744     0.001053     0.000901
   1975       27   0.000352     0.001455     0.000917
   1975       28   0.000349     0.001609     0.000995
   1975       29   0.000458     0.000607     0.000535
   1975       30   0.001410     0.001703     0.001560
   1975       31   0.000778     0.001640     0.001220
   1975       32   0.000387     0.001043     0.000723
   1975       33   0.001018     0.001279     0.001152
   1975       34   0.000395     0.001919     0.001173
   1975       35   0.000695     0.002300     0.001512
   1975       36   0.001027     0.001723     0.001383
   1975       37   0.000968     0.002054     0.001522
   1975       38   0.001705     0.002502     0.002110
   1975       39   0.002188     0.002078     0.002132
   1975       40   0.001095     0.003468     0.002292
   1975       41   0.001728     0.003011     0.002376
   1975       42   0.001265     0.003332     0.002311
   1975       43   0.001677     0.003569     0.002633
   1975       44   0.002704     0.003535     0.003123
   1975       45   0.002876     0.005046     0.003966
   1975       46   0.002965     0.005152     0.004056
   1975       47   0.003155     0.004766     0.003952
   1975       48   0.002790     0.005529     0.004141
   1975       49   0.002880     0.004953     0.003896
   1975       50   0.003406     0.005540     0.004427
   1975       51   0.002987     0.007630     0.005125
   1975       52   0.003777     0.007800     0.005533
   1975       53   0.005292     0.007279     0.006123
   1975       54   0.005858     0.009129     0.007234
   1975       55   0.003512     0.010363     0.006520
   1975       56   0.003957     0.008144     0.005831
   1975       57   0.005755     0.009699     0.007507
   1975       58   0.006871     0.015038     0.010499
   1975       59   0.008898     0.013374     0.010899
   1975       60   0.006541     0.016881     0.011213
   1975       61   0.009856     0.016532     0.012894
   1975       62   0.010012     0.017166     0.013299
   1975       63   0.010823     0.020202     0.015158
   1975       64   0.013624     0.023428     0.018194
   1975       65   0.016886     0.026313     0.021272
   1975       66   0.016297     0.029357     0.022435
   1975       67   0.017746     0.033489     0.025191
   1975       68   0.020701     0.037063     0.028424
   1975       69   0.022803     0.044199     0.032669
   1975       70   0.028080     0.047019     0.036566
   1975       71   0.027541     0.051436     0.038252
   1975       72   0.029730     0.054406     0.040603
   1975       73   0.036476     0.064596     0.048740
   1975       74   0.037751     0.071983     0.052300
   1975       75   0.043214     0.076984     0.057313
   1975       76   0.055026     0.098478     0.072962
   1975       77   0.060724     0.103696     0.078081
   1975       78   0.065628     0.101886     0.079935
   1975       79   0.084138     0.129227     0.101082
   1975       80   0.093969     0.134679     0.108857
   1975       81   0.101803     0.138093     0.114719
   1975       82   0.112424     0.175009     0.134416
   1975       83   0.131819     0.163200     0.142208
   1975       84   0.148565     0.201647     0.165341
   1975       85   0.152161     0.159808     0.154607
   1975       86   0.175272     0.269065     0.202402
   1975       87   0.217255     0.230971     0.220889
   1975       88   0.206213     0.303084     0.230642
   1975       89   0.241258     0.231553     0.239085
   1975       90   0.248736     0.306922     0.262574
   1975       91   0.348187     0.434904     0.367260
   1975       92   0.296962     0.430777     0.323685
   1975       93   0.462366     0.187383     0.391937
   1975       94   0.437838     0.333056     0.414148
   1975       95   0.132159     0.181818     0.143345
   1975       96   0.355932     0.139535     0.298137
   1975       97   0.340793     1.384615     0.475106
   1975       98   0.467350     0.000000     0.418459
   1975       99   1.200000     0.000000     1.000000
   1975      100   0.461538     0.000000     0.375000
   1975      101   1.090909            .     1.090909
   1975      102   0.000000     0.000000     0.000000
   1975      103   0.000000     1.200000     0.750000
   1975      104   0.000000            .     0.000000
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.008164     0.011257     0.009758
   1976        1   0.002021     0.001655     0.001833
   1976        2   0.000583     0.000921     0.000757
   1976        3   0.000844     0.000928     0.000887
   1976        4   0.000200     0.000570     0.000390
   1976        5   0.000553     0.000656     0.000606
   1976        6   0.000289     0.000410     0.000351
   1976        7   0.000148     0.000141     0.000144
   1976        8   0.000362     0.000557     0.000461
   1976        9   0.000166     0.000319     0.000244
   1976       10   0.000086     0.000331     0.000211
   1976       11   0.000231     0.000000     0.000113
   1976       12   0.000000     0.000306     0.000157
   1976       13   0.000327     0.000314     0.000321
   1976       14   0.000000     0.000080     0.000041
   1976       15   0.000412     0.000238     0.000323
   1976       16   0.000632     0.001395     0.001018
   1976       17   0.000228     0.000979     0.000605
   1976       18   0.000158     0.001433     0.000794
   1976       19   0.000342     0.000777     0.000558
   1976       20   0.000503     0.001280     0.000889
   1976       21   0.000319     0.001414     0.000855
   1976       22   0.000680     0.001366     0.001012
   1976       23   0.000846     0.001120     0.000979
   1976       24   0.000799     0.001027     0.000912
   1976       25   0.000884     0.001026     0.000955
   1976       26   0.000819     0.000983     0.000902
   1976       27   0.000629     0.000715     0.000673
   1976       28   0.000411     0.001342     0.000889
   1976       29   0.000487     0.001396     0.000954
   1976       30   0.000549     0.001403     0.000989
   1976       31   0.000787     0.001670     0.001242
   1976       32   0.001238     0.001340     0.001290
   1976       33   0.000693     0.002221     0.001475
   1976       34   0.001251     0.000823     0.001031
   1976       35   0.001186     0.001601     0.001398
   1976       36   0.000778     0.001943     0.001371
   1976       37   0.000932     0.001728     0.001339
   1976       38   0.001228     0.002041     0.001642
   1976       39   0.001788     0.002585     0.002194
   1976       40   0.001516     0.003431     0.002487
