36.Tokushima.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008090     0.013879     0.011015
   1975        1   0.000821     0.002080     0.001459
   1975        2   0.000993     0.001272     0.001135
   1975        3   0.001175     0.000640     0.000901
   1975        4   0.000679     0.000971     0.000828
   1975        5   0.000872     0.000497     0.000680
   1975        6   0.000354     0.000169     0.000259
   1975        7   0.000169     0.000806     0.000495
   1975        8   0.000580     0.000362     0.000468
   1975        9   0.000193     0.000736     0.000471
   1975       10   0.000000     0.000639     0.000325
   1975       11   0.000169     0.000000     0.000083
   1975       12   0.000343     0.000492     0.000419
   1975       13   0.000173     0.000329     0.000253
   1975       14   0.000341     0.000491     0.000417
   1975       15   0.000163     0.000159     0.000161
   1975       16   0.000620     0.000773     0.000696
   1975       17   0.000653     0.000863     0.000755
   1975       18   0.000000     0.001473     0.000674
   1975       19   0.000355     0.001609     0.000900
   1975       20   0.001075     0.001852     0.001414
   1975       21   0.000351     0.001321     0.000780
   1975       22   0.001466     0.001393     0.001433
   1975       23   0.001076     0.001780     0.001402
   1975       24   0.000440     0.001282     0.000843
   1975       25   0.001091     0.001137     0.001113
   1975       26   0.001014     0.001163     0.001088
   1975       27   0.001553     0.002171     0.001865
   1975       28   0.000332     0.001621     0.000986
   1975       29   0.000457     0.001127     0.000794
   1975       30   0.000836     0.001746     0.001286
   1975       31   0.000899     0.002296     0.001579
   1975       32   0.000879     0.001855     0.001356
   1975       33   0.001890     0.002706     0.002290
   1975       34   0.001382     0.001480     0.001430
   1975       35   0.001509     0.003218     0.002342
   1975       36   0.000980     0.001652     0.001310
   1975       37   0.002112     0.002426     0.002265
   1975       38   0.000655     0.002666     0.001626
   1975       39   0.001154     0.003017     0.002057
   1975       40   0.002452     0.003837     0.003130
   1975       41   0.000954     0.003373     0.002138
   1975       42   0.001829     0.003993     0.002892
   1975       43   0.002316     0.003520     0.002910
   1975       44   0.002188     0.003499     0.002827
   1975       45   0.003222     0.004746     0.003954
   1975       46   0.002470     0.003999     0.003208
   1975       47   0.004314     0.004254     0.004285
   1975       48   0.001449     0.006026     0.003674
   1975       49   0.003102     0.005748     0.004368
   1975       50   0.004149     0.007627     0.005768
   1975       51   0.004094     0.006478     0.005177
   1975       52   0.004318     0.005724     0.004940
   1975       53   0.005383     0.007679     0.006375
   1975       54   0.006147     0.005492     0.005864
   1975       55   0.005328     0.010793     0.007716
   1975       56   0.006821     0.011912     0.009047
   1975       57   0.007216     0.012677     0.009600
   1975       58   0.004546     0.014660     0.008932
   1975       59   0.006597     0.014091     0.009801
   1975       60   0.010208     0.011635     0.010817
   1975       61   0.010009     0.017044     0.013057
   1975       62   0.010580     0.017112     0.013420
   1975       63   0.008824     0.020705     0.013969
   1975       64   0.015559     0.019760     0.017398
   1975       65   0.014978     0.020598     0.017461
   1975       66   0.015724     0.025031     0.019861
   1975       67   0.017446     0.030011     0.023098
   1975       68   0.020965     0.031299     0.025716
   1975       69   0.021038     0.032487     0.026281
   1975       70   0.024380     0.042665     0.032594
   1975       71   0.033565     0.040908     0.036914
   1975       72   0.032592     0.055306     0.043111
   1975       73   0.038898     0.058898     0.048034
   1975       74   0.039991     0.055016     0.046754
   1975       75   0.053908     0.068980     0.060745
   1975       76   0.051819     0.085476     0.066794
   1975       77   0.074662     0.089407     0.081086
   1975       78   0.077609     0.099112     0.086726
   1975       79   0.075429     0.106280     0.088175
   1975       80   0.105209     0.109977     0.107193
   1975       81   0.108224     0.108459     0.108319
   1975       82   0.091856     0.127451     0.105687
   1975       83   0.120990     0.142416     0.129128
   1975       84   0.126282     0.171785     0.143659
   1975       85   0.134420     0.199334     0.159082
   1975       86   0.178605     0.206065     0.188823
   1975       87   0.181403     0.274788     0.214967
   1975       88   0.197763     0.296740     0.230435
   1975       89   0.209812     0.249229     0.222476
   1975       90   0.251827     0.161506     0.223390
   1975       91   0.266323     0.269297     0.267188
   1975       92   0.338188     0.506997     0.378822
   1975       93   0.360465     0.450262     0.381723
   1975       94   0.408669     0.058219     0.323898
   1975       95   0.381307     0.818471     0.476894
   1975       96   0.454477     0.777778     0.523747
   1975       97   0.477876     0.307692     0.434211
   1975       98   0.535714     0.900000     0.631579
   1975       99   0.250000     1.000000     0.400000
   1975      100   0.562500     0.600000     0.571429
   1975      101   1.000000     1.500000     1.125000
   1975      102   1.200000     0.000000     0.750000
   1975      103          .            .            .
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106   0.000000            .     0.000000
   1975      107   0.000000            .     0.000000
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.008656     0.012235     0.010480
   1976        1   0.001343     0.002140     0.001746
   1976        2   0.001145     0.000637     0.000887
   1976        3   0.000659     0.000951     0.000808
   1976        4   0.000668     0.001118     0.000898
   1976        5   0.000508     0.000484     0.000496
   1976        6   0.000522     0.000331     0.000424
   1976        7   0.000176     0.000168     0.000172
   1976        8   0.000337     0.000482     0.000411
   1976        9   0.000000     0.000724     0.000373
   1976       10   0.000000     0.000184     0.000094
   1976       11   0.000000     0.000000     0.000000
   1976       12   0.000338     0.000163     0.000249
   1976       13   0.000000     0.000331     0.000168
   1976       14   0.000175     0.000000     0.000086
   1976       15   0.000693     0.000513     0.000603
   1976       16   0.000166     0.001339     0.000752
   1976       17   0.000477     0.001625     0.001045
   1976       18   0.000334     0.001080     0.000694
   1976       19   0.000181     0.002995     0.001466
   1976       20   0.000532     0.001590     0.000997
   1976       21   0.000178     0.001575     0.000797
   1976       22   0.000699     0.002139     0.001345
   1976       23   0.000486     0.001550     0.000972
   1976       24   0.000307     0.001223     0.000736
   1976       25   0.000441     0.001600     0.001000
   1976       26   0.000813     0.001267     0.001036
   1976       27   0.001144     0.001664     0.001403
   1976       28   0.001037     0.000636     0.000834
   1976       29   0.000330     0.001127     0.000736
   1976       30   0.000453     0.000909     0.000683
   1976       31   0.000623     0.001504     0.001059
   1976       32   0.001794     0.001529     0.001665
   1976       33   0.001403     0.001846     0.001620
   1976       34   0.001715     0.002880     0.002287
   1976       35   0.001908     0.002205     0.002053
   1976       36   0.000938     0.001995     0.001453
   1976       37   0.001568     0.002692     0.002120
   1976       38   0.000877     0.002787     0.001808
   1976       39   0.000326     0.001779     0.001028
   1976       40   0.001321     0.003763     0.002505
   1976       41   0.001145     0.003135     0.002119
   1976       42   0.001116     0.003030     0.002051
   1976       43   0.001830     0.005629     0.003694
   1976       44   0.002324     0.003230     0.002771
   1976       45   0.000938     0.004694     0.002766
   1976       46   0.002928     0.004731     0.003793
   1976       47   0.002934     0.003344     0.003132
   1976       48   0.001921     0.007692     0.004729
   1976       49   0.002740     0.004168     0.003432
   1976       50   0.004256     0.006679     0.005414
   1976       51   0.004154     0.005634     0.004842
   1976       52   0.005190     0.007802     0.006376
   1976       53   0.006231     0.007692     0.006877
   1976       54   0.005221     0.005603     0.005386
   1976       55   0.004975     0.008715     0.006590
   1976       56   0.008168     0.010885     0.009353
   1976       57   0.006160     0.012003     0.008712
   1976       58   0.008871     0.008812     0.008845
   1976       59   0.007339     0.013604     0.010048
   1976       60   0.007572     0.016775     0.011496
   1976       61   0.009628     0.013986     0.011484
   1976       62   0.011266     0.017004     0.013745
   1976       63   0.010683     0.016498     0.013199
   1976       64   0.016906     0.023679     0.019825
   1976       65   0.014004     0.025097     0.018840
   1976       66   0.019082     0.025054     0.021708
   1976       67   0.020085     0.032618     0.025625
   1976       68   0.018621     0.032759     0.024932
   1976       69   0.022640     0.037171     0.029283
   1976       70   0.029382     0.037478     0.033056
   1976       71   0.028170     0.044303     0.035377
   1976       72   0.031746     0.053104     0.041388
   1976       73   0.035178     0.058579     0.045872
   1976       74   0.036042     0.059935     0.046838
   1976       75   0.053137     0.073931     0.062392
   1976       76   0.056403     0.069851     0.062443
   1976       77   0.056459     0.086214     0.069514
   1976       78   0.071072     0.106485     0.086266
   1976       79   0.074476     0.101756     0.085895
   1976       80   0.087507     0.129796     0.104797
   1976       81   0.105289     0.156099     0.126069
   1976       82   0.127486     0.154194     0.138136
   1976       83   0.126599     0.180089     0.147100
   1976       84   0.146813     0.212740     0.170988
   1976       85   0.133772     0.238498     0.171744
   1976       86   0.204160     0.239119     0.217023
   1976       87   0.189038     0.227749     0.202934
   1976       88   0.203354     0.244654     0.217507
   1976       89   0.254836     0.367434     0.290279
   1976       90   0.249210     0.308763     0.267894
   1976       91   0.350337     0.422375     0.372830
   1976       92   0.356612     0.286977     0.337691
   1976       93   0.236220     0.518380     0.296842
   1976       94   0.486486     0.458058     0.479611
   1976       95   0.507463     1.070855     0.630277
   1976       96   0.461450     0.887902     0.524418
   1976       97   0.264648     0.000000     0.212980
   1976       98   0.444444     0.387097     0.428571
   1976       99   0.580645     1.500000     0.685714
   1976      100   0.529412     1.200000     0.615385
   1976      101   0.315789     6.000000     0.600000
   1976      102   0.750000     0.000000     0.545455
   1976      103          .     0.000000     0.000000
   1976      104          .            .            .
   1976      105          .            .            .
   1976      106          .            .            .
   1976      107   0.000000            .     0.000000
   1976      108   0.000000            .     0.000000
   1976      109          .            .            .
   1976      110+         .            .            .
   1977        0   0.007096     0.008098     0.007612
   1977        1   0.001052     0.001859     0.001463
   1977        2   0.000667     0.000815     0.000742
   1977        3   0.000650     0.000474     0.000561
   1977        4   0.000327     0.000946     0.000643
   1977        5   0.000498     0.001432     0.000975
   1977        6   0.000337     0.000804     0.000576
   1977        7   0.000346     0.000165     0.000253
   1977        8   0.000176     0.000167     0.000171
   1977        9   0.000335     0.000160     0.000246
   1977       10   0.000000     0.000180     0.000093
   1977       11   0.000000     0.000000     0.000000
   1977       12   0.000164     0.000319     0.000243
   1977       13   0.000338     0.000490     0.000415
   1977       14   0.000173     0.000675     0.000427
   1977       15   0.000000     0.000716     0.000358
   1977       16   0.000715     0.001301     0.001003
   1977       17   0.000519     0.000544     0.000531
   1977       18   0.000828     0.001406     0.001109
   1977       19   0.000347     0.001143     0.000726
   1977       20   0.000182     0.001513     0.000793
   1977       21   0.000000     0.000435     0.000195
   1977       22   0.000533     0.001498     0.000971
   1977       23   0.000173     0.000820     0.000469
   1977       24   0.000324     0.001122     0.000696
   1977       25   0.000463     0.001027     0.000732
   1977       26   0.000738     0.001090     0.000910
   1977       27   0.000678     0.000972     0.000824
   1977       28   0.000507     0.002296     0.001403
   1977       29   0.000517     0.001386     0.000958
   1977       30   0.000826     0.000970     0.000900
   1977       31   0.000456     0.001341     0.000902
   1977       32   0.000828     0.000856     0.000842
   1977       33   0.001438     0.001325     0.001383
   1977       34   0.000880     0.002387     0.001619
   1977       35   0.000173     0.002163     0.001150
   1977       36   0.001039     0.001840     0.001430
   1977       37   0.001310     0.001586     0.001445
   1977       38   0.001373     0.003084     0.002213
   1977       39   0.001581     0.003190     0.002366
