13.Tokyo.to, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.007484     0.010134     0.008844
   1975        1   0.000985     0.000992     0.000989
   1975        2   0.000566     0.000706     0.000638
   1975        3   0.000545     0.000668     0.000608
   1975        4   0.000241     0.000416     0.000331
   1975        5   0.000329     0.000387     0.000358
   1975        6   0.000360     0.000507     0.000436
   1975        7   0.000207     0.000329     0.000269
   1975        8   0.000250     0.000236     0.000243
   1975        9   0.000204     0.000257     0.000232
   1975       10   0.000213     0.000191     0.000202
   1975       11   0.000081     0.000334     0.000211
   1975       12   0.000215     0.000244     0.000230
   1975       13   0.000149     0.000254     0.000203
   1975       14   0.000227     0.000342     0.000286
   1975       15   0.000321     0.000341     0.000331
   1975       16   0.000293     0.000621     0.000464
   1975       17   0.000209     0.000712     0.000472
   1975       18   0.000151     0.000522     0.000347
   1975       19   0.000235     0.000571     0.000417
   1975       20   0.000460     0.000574     0.000523
   1975       21   0.000290     0.000548     0.000434
   1975       22   0.000433     0.000665     0.000563
   1975       23   0.000447     0.000681     0.000576
   1975       24   0.000455     0.000883     0.000690
   1975       25   0.000522     0.000818     0.000683
   1975       26   0.000486     0.000652     0.000575
   1975       27   0.000468     0.000835     0.000664
   1975       28   0.000618     0.000888     0.000761
   1975       29   0.000598     0.000896     0.000754
   1975       30   0.000615     0.000928     0.000777
   1975       31   0.000665     0.001083     0.000879
   1975       32   0.000674     0.001060     0.000871
   1975       33   0.000798     0.001292     0.001049
   1975       34   0.000787     0.001253     0.001022
   1975       35   0.000966     0.001401     0.001183
   1975       36   0.000902     0.001208     0.001054
   1975       37   0.001076     0.001728     0.001400
   1975       38   0.001034     0.001886     0.001459
   1975       39   0.001100     0.001889     0.001494
   1975       40   0.001147     0.002410     0.001778
   1975       41   0.001259     0.002251     0.001754
   1975       42   0.001567     0.002932     0.002248
   1975       43   0.001802     0.002900     0.002347
   1975       44   0.001733     0.003217     0.002465
   1975       45   0.001805     0.004050     0.002905
   1975       46   0.002362     0.003927     0.003126
   1975       47   0.002798     0.004118     0.003445
   1975       48   0.002559     0.004529     0.003524
   1975       49   0.003193     0.005358     0.004242
   1975       50   0.003441     0.004761     0.004071
   1975       51   0.003342     0.005698     0.004432
   1975       52   0.003894     0.006623     0.005110
   1975       53   0.004006     0.006261     0.004993
   1975       54   0.003998     0.007279     0.005424
   1975       55   0.004642     0.008384     0.006282
   1975       56   0.005182     0.008760     0.006771
   1975       57   0.005090     0.010013     0.007306
   1975       58   0.006667     0.011167     0.008719
   1975       59   0.006736     0.012979     0.009616
   1975       60   0.007225     0.012718     0.009791
   1975       61   0.008600     0.016064     0.012085
   1975       62   0.009510     0.016771     0.012879
   1975       63   0.009392     0.017635     0.013209
   1975       64   0.010302     0.019612     0.014596
   1975       65   0.012441     0.022721     0.017164
   1975       66   0.014288     0.024269     0.018914
   1975       67   0.016088     0.026771     0.021005
   1975       68   0.019274     0.030244     0.024376
   1975       69   0.019608     0.032601     0.025689
   1975       70   0.022498     0.038310     0.029767
   1975       71   0.023803     0.041263     0.031822
   1975       72   0.027323     0.046701     0.036111
   1975       73   0.032816     0.049647     0.040398
   1975       74   0.035535     0.062374     0.047477
   1975       75   0.042873     0.064078     0.052166
   1975       76   0.048837     0.070936     0.058460
   1975       77   0.053632     0.084320     0.066741
   1975       78   0.059358     0.087822     0.071302
   1975       79   0.066162     0.099236     0.079860
   1975       80   0.078976     0.109450     0.091341
   1975       81   0.093400     0.126303     0.106455
   1975       82   0.106901     0.130299     0.116077
   1975       83   0.111579     0.155075     0.128125
   1975       84   0.131157     0.157681     0.140906
   1975       85   0.150845     0.157489     0.153254
   1975       86   0.163811     0.203369     0.177703
   1975       87   0.181266     0.221797     0.195052
   1975       88   0.201922     0.248499     0.216919
   1975       89   0.220340     0.228208     0.222735
