31.Tottori.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009800     0.011131     0.010488
   1975        1   0.001348     0.002146     0.001756
   1975        2   0.000672     0.001732     0.001212
   1975        3   0.000920     0.000879     0.000899
   1975        4   0.000483     0.000228     0.000352
   1975        5   0.000752     0.000705     0.000728
   1975        6   0.000252     0.000951     0.000611
   1975        7   0.000239     0.000917     0.000585
   1975        8   0.000271     0.000773     0.000528
   1975        9   0.000000     0.000261     0.000134
   1975       10   0.000949     0.000452     0.000694
   1975       11   0.000000     0.000000     0.000000
   1975       12   0.000000     0.000451     0.000228
   1975       13   0.000228     0.000223     0.000226
   1975       14   0.000000     0.000660     0.000337
   1975       15   0.000444     0.001068     0.000762
   1975       16   0.000430     0.000833     0.000635
   1975       17   0.000700     0.000450     0.000573
   1975       18   0.000557     0.000835     0.000696
   1975       19   0.000303     0.001635     0.000943
   1975       20   0.000580     0.001315     0.000925
   1975       21   0.000267     0.000621     0.000430
   1975       22   0.000718     0.000282     0.000517
   1975       23   0.000222     0.001014     0.000593
   1975       24   0.000428     0.000706     0.000560
   1975       25   0.000789     0.001496     0.001131
   1975       26   0.000371     0.000757     0.000563
   1975       27   0.000384     0.001319     0.000857
   1975       28   0.001440     0.001423     0.001432
   1975       29   0.000314     0.001573     0.000945
   1975       30   0.000582     0.001791     0.001186
   1975       31   0.000515     0.001059     0.000785
   1975       32   0.000255     0.001856     0.001044
   1975       33   0.000986     0.002839     0.001897
   1975       34   0.000492     0.001839     0.001148
   1975       35   0.001352     0.002362     0.001838
   1975       36   0.000828     0.001525     0.001162
   1975       37   0.001491     0.003544     0.002476
   1975       38   0.002072     0.002006     0.002040
   1975       39   0.001801     0.002965     0.002359
   1975       40   0.001345     0.003258     0.002257
   1975       41   0.001142     0.002697     0.001899
   1975       42   0.001774     0.003679     0.002715
   1975       43   0.001928     0.005433     0.003642
   1975       44   0.001723     0.004168     0.002911
   1975       45   0.002592     0.004217     0.003380
   1975       46   0.001739     0.003290     0.002488
   1975       47   0.002407     0.004280     0.003310
   1975       48   0.002619     0.005926     0.004215
   1975       49   0.003465     0.004340     0.003881
   1975       50   0.002457     0.006188     0.004202
   1975       51   0.003068     0.007009     0.004839
   1975       52   0.003173     0.007672     0.005081
   1975       53   0.003692     0.007054     0.005081
   1975       54   0.005184     0.007240     0.006021
   1975       55   0.004627     0.012333     0.007832
