16.Toyama.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.009281     0.011244     0.010286
   1975        1   0.002082     0.000627     0.001337
   1975        2   0.000871     0.001345     0.001114
   1975        3   0.000332     0.000738     0.000540
   1975        4   0.000925     0.000873     0.000899
   1975        5   0.000608     0.000446     0.000524
   1975        6   0.000372     0.000345     0.000358
   1975        7   0.000000     0.000345     0.000177
   1975        8   0.000283     0.000000     0.000137
   1975        9   0.000000     0.000418     0.000216
   1975       10   0.000132     0.000000     0.000064
   1975       11   0.000408     0.000000     0.000198
   1975       12   0.000279     0.000264     0.000271
   1975       13   0.000000     0.000408     0.000208
   1975       14   0.000550     0.000134     0.000339
   1975       15   0.000000     0.000260     0.000131
   1975       16   0.000257     0.000647     0.000451
   1975       17   0.000542     0.000847     0.000691
   1975       18   0.000753     0.001514     0.001113
   1975       19   0.001221     0.001285     0.001250
   1975       20   0.000729     0.001287     0.000976
   1975       21   0.000694     0.001211     0.000924
   1975       22   0.000258     0.001080     0.000632
   1975       23   0.000610     0.001947     0.001235
   1975       24   0.000897     0.001114     0.001000
   1975       25   0.000486     0.000955     0.000712
   1975       26   0.000902     0.001127     0.001012
   1975       27   0.000341     0.001385     0.000861
   1975       28   0.001516     0.001238     0.001378
   1975       29   0.000432     0.001470     0.000947
   1975       30   0.000803     0.000843     0.000823
   1975       31   0.000463     0.001566     0.001006
   1975       32   0.000913     0.001294     0.001101
   1975       33   0.001028     0.001162     0.001095
   1975       34   0.000477     0.001482     0.000974
   1975       35   0.001469     0.001125     0.001300
   1975       36   0.001579     0.002283     0.001923
   1975       37   0.001079     0.002297     0.001672
   1975       38   0.001102     0.001592     0.001339
   1975       39   0.002285     0.002487     0.002382
   1975       40   0.000873     0.002316     0.001571
   1975       41   0.000738     0.002553     0.001613
   1975       42   0.001066     0.002834     0.001918
   1975       43   0.001318     0.002831     0.002052
   1975       44   0.001857     0.003544     0.002681
   1975       45   0.001876     0.004034     0.002927
   1975       46   0.002384     0.004140     0.003239
   1975       47   0.002064     0.003819     0.002923
   1975       48   0.001714     0.005465     0.003543
   1975       49   0.003025     0.004023     0.003505
   1975       50   0.003831     0.006835     0.005246
   1975       51   0.003808     0.004847     0.004287
   1975       52   0.004012     0.004965     0.004439
   1975       53   0.005281     0.005975     0.005593
   1975       54   0.006090     0.005344     0.005751
   1975       55   0.005140     0.008139     0.006505
   1975       56   0.005550     0.008479     0.006879
   1975       57   0.006067     0.008670     0.007248
   1975       58   0.007065     0.013699     0.010076
   1975       59   0.007816     0.015768     0.011423
   1975       60   0.007913     0.014441     0.010890
   1975       61   0.009023     0.017346     0.012833
   1975       62   0.008490     0.018183     0.012886
   1975       63   0.009440     0.021799     0.014976
   1975       64   0.012586     0.021339     0.016489
   1975       65   0.014338     0.030661     0.021523
   1975       66   0.017105     0.028657     0.022221
   1975       67   0.017515     0.029435     0.022849
   1975       68   0.022695     0.039585     0.030284
   1975       69   0.019122     0.040100     0.028395
   1975       70   0.025554     0.045681     0.034276
   1975       71   0.026644     0.043781     0.034133
   1975       72   0.031629     0.053044     0.040950
   1975       73   0.036274     0.063032     0.047871
   1975       74   0.037579     0.059722     0.047002
   1975       75   0.044570     0.066925     0.054056
   1975       76   0.053225     0.077187     0.063294
   1975       77   0.064231     0.098251     0.078183
   1975       78   0.063903     0.088042     0.073574
   1975       79   0.081376     0.113202     0.093798
   1975       80   0.095604     0.128039     0.107784
   1975       81   0.104891     0.143093     0.118812
   1975       82   0.105862     0.148873     0.121584
   1975       83   0.117704     0.160577     0.133017
   1975       84   0.115860     0.152941     0.128219
   1975       85   0.129629     0.218497     0.157511
   1975       86   0.171536     0.209771     0.182964
   1975       87   0.153173     0.165072     0.156736
   1975       88   0.177997     0.213781     0.187731
   1975       89   0.215753     0.301308     0.236290
   1975       90   0.261785     0.293020     0.269512
   1975       91   0.241977     0.293548     0.252593
   1975       92   0.353116     0.278264     0.335825
   1975       93   0.274112     0.353172     0.296233
   1975       94   0.426877     0.440513     0.430986
   1975       95   0.485297     0.428204     0.468846
   1975       96   0.352708     0.375000     0.359838
   1975       97   0.322581     0.307692     0.318182
   1975       98   0.782609     1.500000     0.840000
   1975       99   0.300000     0.000000     0.260870
   1975      100   0.000000     0.000000     0.000000
   1975      101   0.000000     0.000000     0.000000
   1975      102   1.500000            .     1.500000
   1975      103   0.000000            .     0.000000
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.008422     0.010352     0.009421
   1976        1   0.001832     0.001963     0.001899
   1976        2   0.000657     0.001044     0.000855
   1976        3   0.000652     0.000929     0.000794
   1976        4   0.000332     0.000526     0.000432
   1976        5   0.000231     0.000873     0.000561
   1976        6   0.000121     0.000781     0.000465
   1976        7   0.000247     0.000804     0.000536
   1976        8   0.000362     0.000345     0.000353
   1976        9   0.000000     0.000398     0.000205
   1976       10   0.000149     0.000000     0.000072
   1976       11   0.000132     0.000125     0.000128
   1976       12   0.000271     0.000513     0.000395
   1976       13   0.000278     0.000662     0.000475
   1976       14   0.000143     0.000277     0.000211
   1976       15   0.000141     0.000693     0.000419
   1976       16   0.000136     0.000957     0.000546
   1976       17   0.000132     0.000543     0.000335
   1976       18   0.000277     0.000590     0.000429
   1976       19   0.000460     0.001029     0.000728
   1976       20   0.000302     0.001095     0.000662
   1976       21   0.000146     0.001074     0.000562
   1976       22   0.000692     0.000673     0.000683
   1976       23   0.000386     0.001055     0.000694
   1976       24   0.000244     0.001094     0.000645
   1976       25   0.000448     0.001116     0.000767
   1976       26   0.000389     0.001145     0.000755
   1976       27   0.000814     0.000654     0.000735
   1976       28   0.000686     0.000954     0.000819
   1976       29   0.000303     0.001437     0.000867
   1976       30   0.001439     0.001046     0.001244
   1976       31   0.000533     0.000827     0.000678
   1976       32   0.000692     0.001089     0.000887
   1976       33   0.001024     0.001995     0.001505
   1976       34   0.000228     0.001625     0.000924
   1976       35   0.000479     0.001966     0.001215
   1976       36   0.000664     0.001254     0.000954
   1976       37   0.000575     0.001071     0.000817
   1976       38   0.000403     0.001714     0.001042
   1976       39   0.001102     0.002522     0.001789
   1976       40   0.001084     0.002641     0.001834
   1976       41   0.000622     0.002446     0.001504
   1976       42   0.001969     0.002140     0.002051
   1976       43   0.001063     0.003103     0.002046
   1976       44   0.001920     0.003242     0.002561
   1976       45   0.001977     0.004355     0.003138
   1976       46   0.001757     0.004689     0.003184
   1976       47   0.001758     0.005771     0.003709
   1976       48   0.002327     0.003837     0.003064
   1976       49   0.002510     0.005641     0.004035
   1976       50   0.002243     0.006064     0.004076
   1976       51   0.002466     0.005141     0.003724
   1976       52   0.002940     0.006600     0.004625
   1976       53   0.003724     0.006530     0.004983
   1976       54   0.004535     0.008931     0.006505
   1976       55   0.004591     0.009675     0.006898
   1976       56   0.005824     0.008379     0.006986
   1976       57   0.005217     0.008101     0.006523
   1976       58   0.003692     0.012550     0.007702
   1976       59   0.009087     0.012977     0.010848
   1976       60   0.006472     0.014931     0.010296
   1976       61   0.008848     0.015110     0.011692
   1976       62   0.010327     0.017015     0.013375
   1976       63   0.013943     0.018752     0.016113
   1976       64   0.009554     0.019482     0.013981
   1976       65   0.014650     0.025657     0.019527
   1976       66   0.013961     0.034394     0.022880
   1976       67   0.015921     0.030697     0.022411
   1976       68   0.021381     0.032070     0.026128
   1976       69   0.020723     0.046303     0.032106
   1976       70   0.023279     0.038361     0.029867
   1976       71   0.023160     0.053163     0.036010
   1976       72   0.028774     0.059194     0.041853
   1976       73   0.031780     0.060330     0.044008
   1976       74   0.043078     0.063443     0.051780
   1976       75   0.050227     0.069739     0.058436
   1976       76   0.055840     0.085734     0.068345
   1976       77   0.057352     0.088825     0.070361
   1976       78   0.065125     0.087865     0.074288
   1976       79   0.069920     0.105484     0.083954
   1976       80   0.093399     0.115135     0.101867
   1976       81   0.096272     0.142357     0.113238
   1976       82   0.101701     0.173054     0.126901
   1976       83   0.152302     0.176991     0.161023
   1976       84   0.153285     0.177626     0.161769
   1976       85   0.128215     0.198436     0.150720
   1976       86   0.186142     0.204591     0.191800
   1976       87   0.212644     0.342003     0.249484
   1976       88   0.179693     0.242023     0.197560
   1976       89   0.256277     0.233267     0.250239
   1976       90   0.207528     0.240794     0.215338
   1976       91   0.234961     0.310104     0.252444
   1976       92   0.225904     0.373178     0.256902
   1976       93   0.343220     0.476190     0.371237
   1976       94   0.273684     0.437363     0.314936
   1976       95   0.235955     0.479425     0.308191
   1976       96   0.333095     0.544712     0.387893
   1976       97   0.336738     0.681818     0.450823
   1976       98   0.654545     0.571429     0.631579
   1976       99   1.500000            .     1.500000
   1976      100   0.000000     0.000000     0.000000
   1976      101   2.000000     4.000000     2.666667
   1976      102   0.000000            .     0.000000
   1976      103   0.000000            .     0.000000
   1976      104   0.000000            .     0.000000
   1976      105          .            .            .
   1976      106          .            .            .
   1976      107          .            .            .
   1976      108          .            .            .
   1976      109          .            .            .
   1976      110+         .            .            .
   1977        0   0.008209     0.010037     0.009156
   1977        1   0.001460     0.002272     0.001880
   1977        2   0.000800     0.000870     0.000836
   1977        3   0.000437     0.000937     0.000693
   1977        4   0.000217     0.000309     0.000264
   1977        5   0.000663     0.000630     0.000646
   1977        6   0.000115     0.000109     0.000112
   1977        7   0.000242     0.000891     0.000580
   1977        8   0.000000     0.000229     0.000119
   1977        9   0.000000     0.000345     0.000177
   1977       10   0.000425     0.000795     0.000616
   1977       11   0.000149     0.000139     0.000144
   1977       12   0.000131     0.000250     0.000192
   1977       13   0.000000     0.000128     0.000066
   1977       14   0.000139     0.000134     0.000136
   1977       15   0.000000     0.000864     0.000436
   1977       16   0.000146     0.000446     0.000295
   1977       17   0.000284     0.000442     0.000362
   1977       18   0.000275     0.001024     0.000639
   1977       19   0.000000     0.000781     0.000374
   1977       20   0.000307     0.000876     0.000574
   1977       21   0.000599     0.001061     0.000811
   1977       22   0.000575     0.001200     0.000860
   1977       23   0.000278     0.001137     0.000673
   1977       24   0.000258     0.000586     0.000412
   1977       25   0.000612     0.001080     0.000836
   1977       26   0.000560     0.001090     0.000815
   1977       27   0.000291     0.001239     0.000753
   1977       28   0.000632     0.000936     0.000782
   1977       29   0.000599     0.001295     0.000946
   1977       30   0.000606     0.001454     0.001029
   1977       31   0.000145     0.000731     0.000436
