30.Wakayama.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.010765     0.013187     0.012014
   1975        1   0.000919     0.001187     0.001057
   1975        2   0.000802     0.001604     0.001217
   1975        3   0.000698     0.000969     0.000839
   1975        4   0.000586     0.000979     0.000790
   1975        5   0.000358     0.000668     0.000519
   1975        6   0.000485     0.000567     0.000527
   1975        7   0.000118     0.000447     0.000286
   1975        8   0.000411     0.000259     0.000333
   1975        9   0.000419     0.000397     0.000407
   1975       10   0.000120     0.000348     0.000236
   1975       11   0.000125     0.000240     0.000183
   1975       12   0.000000     0.000367     0.000189
   1975       13   0.000268     0.000378     0.000324
   1975       14   0.000135     0.000387     0.000264
   1975       15   0.000132     0.000128     0.000130
   1975       16   0.000390     0.000892     0.000644
   1975       17   0.000144     0.001562     0.000859
   1975       18   0.001171     0.002705     0.001935
   1975       19   0.000842     0.003042     0.001905
   1975       20   0.001419     0.000714     0.001088
   1975       21   0.001016     0.001194     0.001098
   1975       22   0.000665     0.001856     0.001216
   1975       23   0.000868     0.001111     0.000983
   1975       24   0.000809     0.001379     0.001083
   1975       25   0.000512     0.001000     0.000748
   1975       26   0.000759     0.000907     0.000831
   1975       27   0.000669     0.001089     0.000876
   1975       28   0.000351     0.000725     0.000536
   1975       29   0.000465     0.000971     0.000713
   1975       30   0.001399     0.000904     0.001158
   1975       31   0.000724     0.001789     0.001243
   1975       32   0.000827     0.001348     0.001084
   1975       33   0.001158     0.001069     0.001114
   1975       34   0.001073     0.001116     0.001094
   1975       35   0.000809     0.001266     0.001035
   1975       36   0.000567     0.001915     0.001232
   1975       37   0.001709     0.002038     0.001872
   1975       38   0.000872     0.002308     0.001584
   1975       39   0.001354     0.002420     0.001882
   1975       40   0.001237     0.002474     0.001847
   1975       41   0.001742     0.003099     0.002413
   1975       42   0.001941     0.005368     0.003661
   1975       43   0.001610     0.004621     0.003137
   1975       44   0.002302     0.004011     0.003172
   1975       45   0.001421     0.004239     0.002848
   1975       46   0.002689     0.002929     0.002810
   1975       47   0.001669     0.005206     0.003437
   1975       48   0.002873     0.005941     0.004391
   1975       49   0.003864     0.004550     0.004197
   1975       50   0.004450     0.006007     0.005183
   1975       51   0.004113     0.003987     0.004056
   1975       52   0.005061     0.007454     0.006096
   1975       53   0.004051     0.006849     0.005231
   1975       54   0.003342     0.005807     0.004388
   1975       55   0.005624     0.008797     0.007012
   1975       56   0.004308     0.009162     0.006451
   1975       57   0.006264     0.009457     0.007663
   1975       58   0.005315     0.012673     0.008527
   1975       59   0.006222     0.012933     0.009121
   1975       60   0.007098     0.012739     0.009527
   1975       61   0.010418     0.015305     0.012537
   1975       62   0.008755     0.018242     0.012902
   1975       63   0.012996     0.023194     0.017454
