06.Yamagata.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.008227     0.009997     0.009131
   1975        1   0.001237     0.001854     0.001551
   1975        2   0.001134     0.000987     0.001059
   1975        3   0.000349     0.000894     0.000627
   1975        4   0.000473     0.000907     0.000695
   1975        5   0.000723     0.000457     0.000586
   1975        6   0.000484     0.000455     0.000469
   1975        7   0.000000     0.000865     0.000444
   1975        8   0.000255     0.000243     0.000249
   1975        9   0.000515     0.000493     0.000504
   1975       10   0.000336     0.000320     0.000328
   1975       11   0.000000     0.000212     0.000109
   1975       12   0.000000     0.000935     0.000481
   1975       13   0.000213     0.000000     0.000104
   1975       14   0.000103     0.000296     0.000201
   1975       15   0.000200     0.000474     0.000341
   1975       16   0.000197     0.000742     0.000478
   1975       17   0.000536     0.001030     0.000788
   1975       18   0.000508     0.001302     0.000900
   1975       19   0.000274     0.000588     0.000425
   1975       20   0.000665     0.001745     0.001182
   1975       21   0.000498     0.000678     0.000584
   1975       22   0.000682     0.000869     0.000771
   1975       23   0.000739     0.001709     0.001206
   1975       24   0.000399     0.000928     0.000660
   1975       25   0.000754     0.001446     0.001100
   1975       26   0.000288     0.001484     0.000898
   1975       27   0.000924     0.000760     0.000839
   1975       28   0.000869     0.000699     0.000781
   1975       29   0.000933     0.000301     0.000611
   1975       30   0.001136     0.001268     0.001203
   1975       31   0.000637     0.001266     0.000954
   1975       32   0.000886     0.001390     0.001140
   1975       33   0.001355     0.001644     0.001499
   1975       34   0.000357     0.002269     0.001293
   1975       35   0.000618     0.001204     0.000902
   1975       36   0.000868     0.001465     0.001158
   1975       37   0.001018     0.001832     0.001411
   1975       38   0.000859     0.003170     0.001971
   1975       39   0.001266     0.002635     0.001927
   1975       40   0.001669     0.001946     0.001803
   1975       41   0.001347     0.003506     0.002388
   1975       42   0.001807     0.002799     0.002288
   1975       43   0.001774     0.004247     0.002971
   1975       44   0.001558     0.003489     0.002490
   1975       45   0.002537     0.004418     0.003440
   1975       46   0.001360     0.003542     0.002401
   1975       47   0.002122     0.005672     0.003816
   1975       48   0.002826     0.005697     0.004187
   1975       49   0.003158     0.005775     0.004383
   1975       50   0.002459     0.004818     0.003550
   1975       51   0.002996     0.004417     0.003631
   1975       52   0.002956     0.005960     0.004243
   1975       53   0.003557     0.007909     0.005410
   1975       54   0.004095     0.009576     0.006461
   1975       55   0.003930     0.008077     0.005775
   1975       56   0.006523     0.009777     0.007991
   1975       57   0.005834     0.011724     0.008488
   1975       58   0.004319     0.012481     0.007990
   1975       59   0.006291     0.012372     0.009032
   1975       60   0.009158     0.017214     0.012830
   1975       61   0.009238     0.015649     0.012184
   1975       62   0.008607     0.017833     0.012834
   1975       63   0.012258     0.018622     0.015129
   1975       64   0.010139     0.023164     0.015962
   1975       65   0.013376     0.028366     0.020031
   1975       66   0.014128     0.032710     0.022401
   1975       67   0.016688     0.033610     0.024222
   1975       68   0.022957     0.037704     0.029578
   1975       69   0.020390     0.036853     0.027716
   1975       70   0.023571     0.045717     0.033137
   1975       71   0.027621     0.053797     0.038878
   1975       72   0.035835     0.056231     0.044530
   1975       73   0.038339     0.060790     0.047842
   1975       74   0.038338     0.075479     0.053738
   1975       75   0.049653     0.076625     0.060574
   1975       76   0.060324     0.086484     0.070824
   1975       77   0.069153     0.095615     0.079605
   1975       78   0.065305     0.091719     0.075579
   1975       79   0.075641     0.119225     0.092361
   1975       80   0.091238     0.111914     0.098788
   1975       81   0.099510     0.118666     0.106090
   1975       82   0.133656     0.175541     0.147766
   1975       83   0.139398     0.184319     0.154527
   1975       84   0.134460     0.184910     0.150944
   1975       85   0.153885     0.221476     0.174124
   1975       86   0.193204     0.222761     0.201844
   1975       87   0.196748     0.269759     0.217540
   1975       88   0.223909     0.232773     0.226224
   1975       89   0.281821     0.163901     0.249194
   1975       90   0.318812     0.282428     0.308726
   1975       91   0.320656     0.251045     0.304363
   1975       92   0.283645     0.235294     0.274257
   1975       93   0.313187     0.067393     0.264883
   1975       94   0.366667     0.130265     0.318500
   1975       95   0.440246     0.000000     0.345175
   1975       96   0.315665     0.705882     0.386972
   1975       97   0.093750     1.636364     0.320000
   1975       98   0.533333     0.750000     0.566038
   1975       99   0.000000            .     0.000000
   1975      100   1.000000            .     1.000000
   1975      101          .            .            .
   1975      102          .            .            .
   1975      103          .            .            .
   1975      104          .            .            .
   1975      105   0.000000            .     0.000000
   1975      106   0.000000            .     0.000000
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.010507     0.011509     0.011019
   1976        1   0.001038     0.002657     0.001864
   1976        2   0.000448     0.000652     0.000552
   1976        3   0.000679     0.000765     0.000723
   1976        4   0.000348     0.000891     0.000625
   1976        5   0.000354     0.000339     0.000347
   1976        6   0.000481     0.000342     0.000409
   1976        7   0.000363     0.000000     0.000176
   1976        8   0.000000     0.000324     0.000166
   1976        9   0.000255     0.000727     0.000497
   1976       10   0.000257     0.000492     0.000378
   1976       11   0.000112     0.000426     0.000273
   1976       12   0.000113     0.000211     0.000163
   1976       13   0.000110     0.000208     0.000161
   1976       14   0.000109     0.000522     0.000320
   1976       15   0.000320     0.000515     0.000419
   1976       16   0.000208     0.000600     0.000408
   1976       17   0.000205     0.000681     0.000449
   1976       18   0.000665     0.000754     0.000710
   1976       19   0.000775     0.002252     0.001503
   1976       20   0.000536     0.000580     0.000557
   1976       21   0.000392     0.001131     0.000747
   1976       22   0.000491     0.001319     0.000890
   1976       23   0.000337     0.001091     0.000700
   1976       24   0.000630     0.000670     0.000650
   1976       25   0.000299     0.001542     0.000915
   1976       26   0.000094     0.001493     0.000797
   1976       27   0.000385     0.000918     0.000658
   1976       28   0.000824     0.000949     0.000889
   1976       29   0.001360     0.001271     0.001314
   1976       30   0.000930     0.000610     0.000766
   1976       31   0.000706     0.001110     0.000911
   1976       32   0.000634     0.001009     0.000824
   1976       33   0.000631     0.001258     0.000946
   1976       34   0.000983     0.000757     0.000871
   1976       35   0.000479     0.001630     0.001043
   1976       36   0.001230     0.001055     0.001145
   1976       37   0.000992     0.001473     0.001226
   1976       38   0.000564     0.002551     0.001524
   1976       39   0.001289     0.002591     0.001915
   1976       40   0.000951     0.002772     0.001831
   1976       41   0.001772     0.002521     0.002133
   1976       42   0.002703     0.002596     0.002652
   1976       43   0.001604     0.002813     0.002191
   1976       44   0.002372     0.002682     0.002522
   1976       45   0.002823     0.004891     0.003820
   1976       46   0.001764     0.004723     0.003183
   1976       47   0.002039     0.004205     0.003072
   1976       48   0.002224     0.005168     0.003626
   1976       49   0.002542     0.005293     0.003844
   1976       50   0.002471     0.005001     0.003654
   1976       51   0.004099     0.008216     0.005999
   1976       52   0.002580     0.005241     0.003768
   1976       53   0.003999     0.007078     0.005315
   1976       54   0.003812     0.008630     0.005857
   1976       55   0.005077     0.008380     0.006500
   1976       56   0.004748     0.011290     0.007652
   1976       57   0.006555     0.011650     0.008848
   1976       58   0.005101     0.013085     0.008694
   1976       59   0.005858     0.013735     0.009388
   1976       60   0.008554     0.013821     0.010920
   1976       61   0.007304     0.012428     0.009632
   1976       62   0.010431     0.016793     0.013350
   1976       63   0.008049     0.018868     0.012985
   1976       64   0.012701     0.021337     0.016576
   1976       65   0.014584     0.026196     0.019743
   1976       66   0.010666     0.026835     0.017778
   1976       67   0.015038     0.030795     0.021998
   1976       68   0.021051     0.038691     0.028845
   1976       69   0.024761     0.042751     0.032781
   1976       70   0.023126     0.038944     0.030094
   1976       71   0.029971     0.043530     0.035763
   1976       72   0.032646     0.058045     0.043426
   1976       73   0.040423     0.064518     0.050556
   1976       74   0.038862     0.063339     0.049079
   1976       75   0.045259     0.074564     0.057216
   1976       76   0.057940     0.080749     0.067004
   1976       77   0.057589     0.083954     0.067996
   1976       78   0.071164     0.099078     0.082029
   1976       79   0.086328     0.110490     0.095540
   1976       80   0.068788     0.123586     0.089261
   1976       81   0.106714     0.148930     0.121785
   1976       82   0.100383     0.161981     0.120809
   1976       83   0.137946     0.194788     0.156457
   1976       84   0.157964     0.201398     0.172183
   1976       85   0.173307     0.228851     0.190669
   1976       86   0.177135     0.226169     0.191357
   1976       87   0.194181     0.232272     0.204865
   1976       88   0.238969     0.273765     0.248576
   1976       89   0.239407     0.306123     0.256912
   1976       90   0.186358     0.324375     0.224603
   1976       91   0.273141     0.360184     0.297086
   1976       92   0.347561     0.305982     0.337992
   1976       93   0.358407     0.200000     0.325175
   1976       94   0.334661     0.077892     0.274365
   1976       95   0.564103     0.315292     0.503031
   1976       96   0.473497     0.898652     0.562149
   1976       97   0.218063     0.000000     0.196625
   1976       98   0.250000     0.000000     0.222222
   1976       99   1.384615     0.000000     1.125000
   1976      100   0.750000            .     0.750000
   1976      101   0.000000            .     0.000000
   1976      102          .            .            .
   1976      103          .            .            .
   1976      104          .            .            .
   1976      105          .            .            .
   1976      106   0.000000            .     0.000000
   1976      107   0.000000            .     0.000000
   1976      108          .            .            .
   1976      109          .            .            .
   1976      110+         .            .            .
   1977        0   0.007322     0.008658     0.008011
   1977        1   0.000930     0.001888     0.001420
   1977        2   0.000916     0.000660     0.000785
   1977        3   0.000446     0.000649     0.000549
   1977        4   0.000451     0.000435     0.000443
   1977        5   0.000347     0.000554     0.000453
   1977        6   0.000471     0.000338     0.000403
   1977        7   0.000000     0.000000     0.000000
   1977        8   0.000241     0.000905     0.000583
   1977        9   0.000114     0.000000     0.000055
   1977       10   0.000000     0.000242     0.000124
   1977       11   0.000257     0.000123     0.000188
   1977       12   0.000225     0.000318     0.000273
   1977       13   0.000000     0.000105     0.000054
   1977       14   0.000224     0.000211     0.000218
   1977       15   0.000000     0.000331     0.000168
   1977       16   0.000456     0.000670     0.000564
   1977       17   0.000223     0.000543     0.000386
   1977       18   0.000437     0.001053     0.000751
   1977       19   0.000696     0.000685     0.000690
   1977       20   0.000515     0.000535     0.000525
   1977       21   0.000390     0.001534     0.000943
   1977       22   0.000382     0.001079     0.000720
   1977       23   0.000363     0.000889     0.000619
   1977       24   0.000781     0.001055     0.000914
   1977       25   0.000313     0.000873     0.000588
   1977       26   0.000597     0.001787     0.001192
   1977       27   0.000375     0.000736     0.000558
   1977       28   0.000480     0.000641     0.000563
   1977       29   0.000307     0.000658     0.000491
   1977       30   0.000495     0.001269     0.000898
   1977       31   0.000624     0.001336     0.000988
   1977       32   0.000422     0.000695     0.000561
   1977       33   0.000761     0.001125     0.000945
   1977       34   0.000886     0.002381     0.001638
   1977       35   0.000370     0.001522     0.000942
   1977       36   0.000596     0.001259     0.000921
   1977       37   0.000614     0.002095     0.001334
   1977       38   0.000745     0.001994     0.001351
   1977       39   0.000903     0.002945     0.001889
   1977       40   0.001618     0.003330     0.002442
   1977       41   0.000952     0.002985     0.001934
   1977       42   0.001466     0.003203     0.002302
   1977       43   0.001774     0.002276     0.002016
   1977       44   0.001205     0.003460     0.002298
   1977       45   0.001687     0.004448     0.003020
   1977       46   0.002344     0.003946     0.003115
   1977       47   0.001471     0.005061     0.003191
   1977       48   0.002243     0.005087     0.003597
   1977       49   0.002720     0.005417     0.004003
