35.Yamaguchi.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.010056     0.011052     0.010567
   1975        1   0.001041     0.002282     0.001678
   1975        2   0.000554     0.001126     0.000847
   1975        3   0.000323     0.000680     0.000508
   1975        4   0.000412     0.000546     0.000481
   1975        5   0.000252     0.000322     0.000288
   1975        6   0.000425     0.000737     0.000584
   1975        7   0.000083     0.000562     0.000326
   1975        8   0.000194     0.000557     0.000380
   1975        9   0.000102     0.000193     0.000149
   1975       10   0.000089     0.000341     0.000218
   1975       11   0.000092     0.000175     0.000134
   1975       12   0.000186     0.000179     0.000183
   1975       13   0.000470     0.000180     0.000322
   1975       14   0.000094     0.000357     0.000229
   1975       15   0.000548     0.000526     0.000537
   1975       16   0.000177     0.000772     0.000479
   1975       17   0.000190     0.000470     0.000331
   1975       18   0.000214     0.000901     0.000548
   1975       19   0.000435     0.001973     0.001154
   1975       20   0.000529     0.002243     0.001316
   1975       21   0.000492     0.001640     0.001017
   1975       22   0.001077     0.000943     0.001015
   1975       23   0.000662     0.000747     0.000702
   1975       24   0.000386     0.000932     0.000646
   1975       25   0.000900     0.001205     0.001046
   1975       26   0.000917     0.001789     0.001335
   1975       27   0.000793     0.000573     0.000688
   1975       28   0.001077     0.001254     0.001162
   1975       29   0.000797     0.001083     0.000935
   1975       30   0.000478     0.001055     0.000755
   1975       31   0.001017     0.001742     0.001367
   1975       32   0.000584     0.001611     0.001081
   1975       33   0.000803     0.001653     0.001213
   1975       34   0.000888     0.002498     0.001659
   1975       35   0.000821     0.001738     0.001257
   1975       36   0.001254     0.001398     0.001323
   1975       37   0.000799     0.002169     0.001452
   1975       38   0.000924     0.001946     0.001413
   1975       39   0.001989     0.002010     0.001999
   1975       40   0.001568     0.003194     0.002349
   1975       41   0.001671     0.002628     0.002134
   1975       42   0.002104     0.002769     0.002427
   1975       43   0.001941     0.003846     0.002872
   1975       44   0.002028     0.003724     0.002862
   1975       45   0.001461     0.005373     0.003379
   1975       46   0.002135     0.005115     0.003595
