19.Yamanashi.ken, Death Rates (period 1x1)     Last modified:2021-06-18, ver.003_10 JMD(IPSS)

   Year      Age       Female       Male         Total
   1975        0   0.007966     0.008762     0.008373
   1975        1   0.001936     0.002521     0.002232
   1975        2   0.001110     0.001400     0.001257
   1975        3   0.000802     0.000766     0.000783
   1975        4   0.001130     0.000608     0.000861
   1975        5   0.000323     0.000917     0.000628
   1975        6   0.000642     0.000461     0.000549
   1975        7   0.000000     0.000297     0.000152
   1975        8   0.000000     0.000496     0.000257
   1975        9   0.000543     0.000677     0.000613
   1975       10   0.000161     0.000152     0.000156
   1975       11   0.000164     0.000624     0.000399
   1975       12   0.000496     0.000315     0.000403
   1975       13   0.000166     0.000475     0.000324
   1975       14   0.000500     0.000469     0.000484
   1975       15   0.000000     0.000155     0.000080
   1975       16   0.000159     0.000307     0.000235
   1975       17   0.000000     0.001012     0.000501
   1975       18   0.000901     0.000614     0.000766
   1975       19   0.000559     0.001349     0.000915
   1975       20   0.000181     0.001327     0.000697
   1975       21   0.000879     0.001266     0.001055
   1975       22   0.000514     0.002374     0.001378
   1975       23   0.000987     0.001101     0.001041
   1975       24   0.000627     0.001362     0.000979
   1975       25   0.000290     0.000310     0.000299
   1975       26   0.000416     0.001157     0.000780
   1975       27   0.000574     0.001018     0.000795
   1975       28   0.000531     0.000877     0.000706
   1975       29   0.000698     0.001803     0.001261
   1975       30   0.000412     0.001055     0.000732
   1975       31   0.001927     0.001253     0.001593
   1975       32   0.001221     0.001401     0.001312
   1975       33   0.001408     0.001236     0.001321
   1975       34   0.000892     0.001257     0.001075
   1975       35   0.000763     0.002738     0.001748
   1975       36   0.001171     0.002654     0.001901
   1975       37   0.000928     0.002707     0.001805
   1975       38   0.001295     0.002436     0.001866
   1975       39   0.000557     0.003550     0.002061
   1975       40   0.001288     0.002847     0.002064
   1975       41   0.000370     0.003423     0.001889
   1975       42   0.001425     0.003413     0.002421
   1975       43   0.002107     0.003521     0.002817
   1975       44   0.002500     0.004445     0.003482
   1975       45   0.001270     0.003761     0.002535
   1975       46   0.002180     0.003943     0.003071
   1975       47   0.002897     0.004587     0.003741
   1975       48   0.002957     0.006235     0.004588
   1975       49   0.003910     0.006812     0.005335
   1975       50   0.002996     0.007293     0.005043
   1975       51   0.003446     0.005072     0.004188
   1975       52   0.004005     0.006492     0.005092
   1975       53   0.002704     0.006603     0.004391
   1975       54   0.003718     0.005688     0.004573
   1975       55   0.004154     0.008632     0.006133
   1975       56   0.006127     0.009150     0.007474
   1975       57   0.005214     0.010125     0.007397
   1975       58   0.004526     0.009791     0.006879
   1975       59   0.005852     0.013165     0.009145
   1975       60   0.008799     0.012415     0.010441
   1975       61   0.007815     0.016892     0.011927
   1975       62   0.007084     0.019117     0.012469
   1975       63   0.009886     0.017460     0.013236
   1975       64   0.014512     0.017819     0.015985
   1975       65   0.011005     0.024453     0.017089
   1975       66   0.013085     0.026319     0.019103
   1975       67   0.015122     0.028677     0.021248
   1975       68   0.017636     0.032580     0.024478
   1975       69   0.018866     0.033503     0.025577
   1975       70   0.019778     0.044071     0.030631
   1975       71   0.022469     0.044219     0.032263
   1975       72   0.025277     0.055969     0.039061
   1975       73   0.033363     0.054009     0.042508
   1975       74   0.035713     0.058671     0.045775
   1975       75   0.037574     0.069365     0.051547
   1975       76   0.045628     0.071360     0.056673
   1975       77   0.068182     0.083510     0.074535
   1975       78   0.051855     0.096762     0.070091
   1975       79   0.080065     0.108512     0.091436
   1975       80   0.089825     0.125299     0.103700
   1975       81   0.092651     0.119905     0.103053
   1975       82   0.104541     0.118996     0.109984
   1975       83   0.110821     0.157796     0.127725
   1975       84   0.141929     0.143543     0.142494
   1975       85   0.162226     0.171283     0.165413
   1975       86   0.152954     0.234796     0.178541
   1975       87   0.193721     0.216429     0.200399
   1975       88   0.212827     0.285468     0.234026
   1975       89   0.205361     0.266832     0.221720
   1975       90   0.280860     0.469045     0.334202
   1975       91   0.287929     0.300070     0.291265
   1975       92   0.190420     0.339519     0.228876
   1975       93   0.367647     0.553421     0.415372
   1975       94   0.172662     0.285612     0.198879
   1975       95   0.375000     0.295082     0.356877
   1975       96   0.338710     0.101695     0.262295
   1975       97   0.645856     0.514286     0.599820
   1975       98   0.576590     0.545455     0.571157
   1975       99   0.206897     0.000000     0.171429
   1975      100   0.857143     0.000000     0.461538
   1975      101   1.500000     0.000000     0.857143
   1975      102   0.000000            .     0.000000
   1975      103   1.200000            .     1.200000
   1975      104          .            .            .
   1975      105          .            .            .
   1975      106          .            .            .
   1975      107          .            .            .
   1975      108          .            .            .
   1975      109          .            .            .
   1975      110+         .            .            .
   1976        0   0.005985     0.008707     0.007381
   1976        1   0.001014     0.001939     0.001487
   1976        2   0.001127     0.001256     0.001192
   1976        3   0.000949     0.001707     0.001332
   1976        4   0.000320     0.000611     0.000469
   1976        5   0.000322     0.000303     0.000312
   1976        6   0.000483     0.000000     0.000235
   1976        7   0.000320     0.000460     0.000392
   1976        8   0.000311     0.000296     0.000304
   1976        9   0.000177     0.000165     0.000171
   1976       10   0.000181     0.000507     0.000350
   1976       11   0.000000     0.000000     0.000000
   1976       12   0.000327     0.000000     0.000159
   1976       13   0.000166     0.000158     0.000162
   1976       14   0.000335     0.000484     0.000411
   1976       15   0.000681     0.000323     0.000498
   1976       16   0.000340     0.001615     0.000996
   1976       17   0.000000     0.000799     0.000405
   1976       18   0.000339     0.001573     0.000947
   1976       19   0.000368     0.001044     0.000685
   1976       20   0.000740     0.001565     0.001115
   1976       21   0.000729     0.000875     0.000795
   1976       22   0.000530     0.002079     0.001242
   1976       23   0.001542     0.001558     0.001549
   1976       24   0.000993     0.002178     0.001558
   1976       25   0.000629     0.000852     0.000737
   1976       26   0.000719     0.001373     0.001037
   1976       27   0.000418     0.001005     0.000707
   1976       28   0.000863     0.001162     0.001012
   1976       29   0.000529     0.001046     0.000791
   1976       30   0.000000     0.001364     0.000695
   1976       31   0.000409     0.001253     0.000829
   1976       32   0.000697     0.001609     0.001150
   1976       33   0.000000     0.001394     0.000700
   1976       34   0.000526     0.002288     0.001410
   1976       35   0.000178     0.001786     0.000984
   1976       36   0.000757     0.001160     0.000958
   1976       37   0.000391     0.002051     0.001209
   1976       38   0.000927     0.001920     0.001417
   1976       39   0.001110     0.003376     0.002243
   1976       40   0.000930     0.002445     0.001691
   1976       41   0.001287     0.003987     0.002629
   1976       42   0.001484     0.003038     0.002256
   1976       43   0.001779     0.003433     0.002607
   1976       44   0.001586     0.004261     0.002928
   1976       45   0.001607     0.004648     0.003139
   1976       46   0.002725     0.004284     0.003516
   1976       47   0.001635     0.004316     0.002988
   1976       48   0.001994     0.003319     0.002655
   1976       49   0.002406     0.004181     0.003288
   1976       50   0.002797     0.005088     0.003920
   1976       51   0.003187     0.007101     0.005047
   1976       52   0.004230     0.005786     0.004939
   1976       53   0.004420     0.007582     0.005799
   1976       54   0.003132     0.008873     0.005611
   1976       55   0.003104     0.006009     0.004363
   1976       56   0.004614     0.007549     0.005908
   1976       57   0.004969     0.010711     0.007522
   1976       58   0.006890     0.008683     0.007685
   1976       59   0.006227     0.014062     0.009718
   1976       60   0.007613     0.013644     0.010321
   1976       61   0.008126     0.013183     0.010414
   1976       62   0.008609     0.013241     0.010697
   1976       63   0.009946     0.017163     0.013165
   1976       64   0.008408     0.018436     0.012824
   1976       65   0.012288     0.016774     0.014280
   1976       66   0.013578     0.024405     0.018441
   1976       67   0.010957     0.025584     0.017567
   1976       68   0.016273     0.034920     0.024622
   1976       69   0.021395     0.034426     0.027319
   1976       70   0.021522     0.035781     0.027993
   1976       71   0.023952     0.046938     0.034099
   1976       72   0.027700     0.045404     0.035568
   1976       73   0.032672     0.056927     0.043423
   1976       74   0.039081     0.058838     0.047718
   1976       75   0.043464     0.068510     0.054286
   1976       76   0.049139     0.076010     0.060729
   1976       77   0.065352     0.080292     0.071702
